Tweet,Date
 domestic abuse ,2024-08-09
"what is the point of this? So people who are blocked because you found them offensive or abusive, they still won't be able to interact with you but they can spy on you? Why would anybody want to be able to see your post if they're not able to interact with you? 
It's like This",2024-10-16
"YOUTUBE SUPPORTS THE NWO CULT AND PEDOPHILES 
     

Dear @TheEmmapreneur has had her account shut down after helping us survivors of 
SATANIC RITUAL ABUSE 

    IT IS REAL

NOT A LIE 
We are being GASLIT 

This is what we deal with all of our lives ",2024-10-17
"Hi, I’m A.J. I have bipolar, ADHD, and substance abuse disorder. I’m also a husband, son, brother, best friend, dog dad, and attorney.

It’s #WorldMentalHealthDay, and I want you to know you’re not alone. We got this. ",2024-10-10
"Our 2 year investigation at this RSPCA Assured M&S select flagship farm uncovered horrific abuse of cows. M&S have previously used this horror farm in their promotional videos and advertisements. If this is the best of the best and the ‘highest welfare’ dairy in the UK, that",2024-09-16
"NEW: Mother accused of pushing her 1-year-old out of a car after the child spilled shampoo

Tasshay Mills, 29, was arrested on child abuse and neglect charges

Witnesses found the child in the roadway after she allegedly pushed her out of the car

""I'm not giving you this baby!""",2024-09-13
"The way I'm about to abuse this record, bro.
See as wizkid finish work w this Brent feature.
Fackkkkkk.",2024-10-17
"Guess what?  The FBI now tracks animal abuse the same way they track homicides.   It is now a Class A felony.  
Long past due",2024-08-03
"FUCK you for calling this man a woman!

FUCK you for letting him abuse women!

FUCK you for forcing one of his victims to say sorry!

FUCK you for calling us far-right, for telling the truth!

FUCK you for silencing our voices!

FUCK you for killing young women’s dreams!",2024-08-03
Do you think encouraging a child to be trans is child abuse?,2024-09-18
"I’m not taking anymore abuse on here as a survivor of Rape by my father, impregnated, and a live birth at 13, in 1969 before #Roe. Your bs replies are done over here … I’m not backing down. I’m 68 now, and I’m standing firm. No child should be forced into carrying a baby! ",2024-06-05
"Michael Moore can’t seem to grasp the definition of elder abuse.

He seems to think elder abuse is letting a man continue to run as president while he’s doing a tremendous job at 81 years old.

I think elder abuse is forcing an 81 year old man to pasture even after his brain",2024-07-09
"We can and must prevent the abuse of presidential power. 
We can and must restore the public’s faith in the Supreme Court. 
We can and must strengthen the guardrails of democracy.",2024-07-29
"For those who have endured abuse. 
For those who are afraid to speak up. 
I see you and I will fight for you. 

This is for you. 

The time for accountability in the @nwsl is now.",2024-07-03
"Six years old and Raped

I don’t know if he can be deported but I’d sure like to find out  

Serial rapist from Cambridgeshire jailed for abuse of six-year-old girl
Razzaq Latif, 32, was found guilty of nine counts of rape of a child under 13",2024-07-19
Textbook Elder Abuse.  Pathetic.,2024-10-02
