Tweet,Date
"Last night, three U.S. service members were killed, and many wounded, during an unmanned aerial drone attack on our forces stationed in northeast Jordan near the Syria border.

Jill and I join the families and friends of our fallen in grieving the loss of these warriors in this",2024-01-28
"#MilitaryHistory Did the IAF plan to attack USS Enterprise during 1971 war?
This is supposed log book extract of Air Commodore KK Bhadwar, decorated and legendary Canberra pilot who took part in the 1965 and 1971 war.
This would have been one hell of an aerial combat with the",2024-10-10
": Showcasing capabilities 

F-35B Lightning II aircraft, assigned to the Marine Fighter Attack Training Squadron (VMFAT) 502, conduct an aerial demonstration during the 2024 Marine Corps Air Station Miramar Airshow in San Diego, California.",2024-10-08
"Engels air base may be under attack again for the third time this morning. 

Air defence clearly active.",2022-12-29
"Six civilians killed in a massacre resulting from an aerial attack of unidentified source in #Damascus city, October 8, 2024
#SNHR #Syria
For more: https://news.snhr.org/?p=141744",2024-10-09
"Ali Shoeib:

Before the ground offensive on the border region in Southern Lebanon began, the enemy carried out an unprecedented aerial attack, claiming that they had obliterated the Resistance's missile capabilities.

Yet after three weeks of the relentless aerial and ground",2024-10-13
"【New Live Video】
今週、東名阪を熱く盛り上げた""Spanish Metal Attack!""ツアー大阪公演からVesper the Aerialのライブ映像を1曲フル公開します!!
https://youtube.com/watch?v=Udx_-2rf4nQ…
スペイン × 日本、情熱のヘヴィメタルで起こせミラクル

Lighting @gyyyniku
Shooting @piikann38_photo",2024-10-10
#Kharkiv is under attack with Russian glide aerial bombs: explosions were heard in the city and region,2024-10-08
"Eco-fascists atack a private jet this morning at Cascais aerodrome, Portugal.
It's unclear how they had access to the runway, but it poses a great security risk.",2023-12-06
"Multiple Syrian cities are apparently under an aerial attack right now and their air defenses are working.

Potentially radars.",2024-10-06
It appears that the Runway has been Targeted once again; Regular Service at the Airport had only Resumed yesterday following the previous IAF Strikes on the Runway.,2023-11-26
"| Hezbollah confirms:

We launched an aerial attack at 08:30am, using a squadron of strike drones targetinf the Air Defense Command base in Kiryat Eliezer, Haifa.",2024-10-11
"Hezbollah Strikes With Overnight Aerial Attack On Tel Aviv And Northern Communities.
#Hezbollah‌ #Lebanon #Israel #IsraelIranWar 

Read more: https://shorturl.at/VmDex",2024-10-08
"heroes at work!
The aerial reconnaissance of the 1st operational battalion of the 15th operational brigade of the Kara-Dag NGU shares an episode of a fire attack by the APCS-4E crew. ""Bucephalus"" at the Russian position near the village of Mykhailivka (Pokrovske direction).",2024-10-12
"Kherson. Today, the Russian army launched an attack on a residential area in the outskirts of the city, using a guided aerial bomb. This devastating strike resulted in the destruction of seven buildings, and tragically, civilians were trapped under the rubble.

Rescue teams",2023-10-03
"A large-scale attack on the russian military airfield ""Saki"" in #Crimea was attacked by the SBU and the Navy at night.

According to the sources, there were at least 12 combat aircraft (Su-24 and Su-30) and Pantsir MANPADS at the airfield.",2023-09-21
"*Update*
MOROZOVSK AIR BASE
0.5m from today, BEFORE (~11:51 UTC, 4 Apr 2024) the UAV attack on the airfield. 

Plenty of targets, let's see what the BDA is tomorrow

26x Su-34 Fullback
3x Su-30 / 35

Image quality wasn't the best so happy for any corrections.",2024-04-05
"28 Palestinians, including children and women, were killed and over 160 others were injured in an Israeli attack targeting tents at an UNRWA school sheltering displaced people in Jabalia camp in the northern Gaza Strip. 

The camp has been under renewed ground and aerial assault",2024-10-17
" Syrian Defense Ministry: Israel carried out an aerial attack this evening from North Lebanon, targeting several military sites in the central region (Homs), resulting in material losses.",2024-10-06
"On this day in '51-KOREAN WAR. 5th AF F-86 Sabre pilots destroyed 9 MiG-15s in aerial combat, a record daily high. Additionally, through 17 October B-29s flew 31 day and night sorties, the high for the month, to attack rail bridges, marshaling yards. https://nationalmuseum.af.mil/Visit/Museum-Exhibits/Fact-Sheets/Display/Article/196118/…",2024-10-16
"I spoke today with @bbclysedoucet about the @IDF campaign against #Hezbollah, the aerial defense systems, and how the operations on the border are limited and focused against Hezbollah's attack infrastructure, and the difference between carpet bombing and precision strikes.",2024-10-08
"Takao (now Kaohsiung) harbor under US aerial attack, Taiwan, 17 Nov 1944",2024-10-17
Russia launches 4th aerial attack in a week against Ukraine's grain-exporting Odesa region,2024-10-11
" This week alone, russians used about 900 guided aerial bombs, more than 40 missiles and 400 attack drones of various types against Ukraine.

This was announced by Volodymyr Zelenskyy.

Follow
@blyskavka_ua",2024-10-13
"IDF: New Images of the Remnants of Iranian Ballistic Missiles Fired at Israel on October 1st that were Located and Removed by the IDF and Israeli Authorities

On October 1st, Iran launched a large-scale aerial attack against the citizens of the State of Israel, firing over 180",2024-10-08
