Tweet,Date
BREAKING Air raid sirens heard in center Kyiv,2022-02-24
BREAKING VIDEO: AIR RAID SILENCE IN CAPITAL CITY OF KYIV #Ukraine #worldwar3,2022-02-24
"#BREAKING: An air raid alert has been declared for all of Ukraine, as cruise and ballistic missiles are being launched, and is currently heading towards multiple regions.",2024-03-29
"An Air Raid Alert is currently in place across the entirety of #Ukraine. 
Stay strong Ukrainians the world stands with you and for your complete freedom 
#RussiaIsATerroristState",2023-02-14
"#BREAKING: An air raid alert has been declared for all of Ukraine, as there are reports of missiles entering the Ukrainian airspace.",2024-03-31
"This is footage from the Tel Aviv airport as air raid sirens go off

Notice how they focus on gate number 33",2023-10-11
Multiple airstrikes on terrorist positions,2024-09-30
"Because last night’s air raid on my phone was clearly “western propaganda” … here you go: an air raid sound covering Kyiv. 

#Ukraine #UkraineRussiaWar️",2023-09-19
An Air Raid Alert has been announced only for the Ukrainian Region and Capital City of Kyiv; the reason is currently Unknown.,2023-05-04
Air Raid Alerts are spreading across Ukraine including in the Capital of Kyiv; there is currently No Information on whether this is related to the recent claims of Tu-95 Strategic Bomber launches from Air Bases in Russia or something else.,2023-05-06
Air raid sirens in Kyiv. Air defense explosions are heard in the Kyiv region. Kamikaze drone on the way.,2023-05-27
"This is the size of Ukraine compared to the US. Imagine an air raid siren going off from New Jersey to Missouri, from Michigan to North Carolina. A Ukrainian territory of the same size is currently under a missile attack from Russia. And the same goes on every week.",2024-03-29
"The martyrdom of the mayor of Nabatieh, Dr. Ahmad Kahil, in an Israeli raid

The #Israeli air force committed a horrific massacre in the city of #Nabatieh today, during which 14 #martyrs were killed, including the #mayor of Nabatieh, Dr. #Ahmad_Kahil, when warplanes destroyed a",2024-10-16
"yesterday evening and tonight were disturbing. air raid siren, sounds of explosions. went outside for morning coffee and saw a woman who was selling food and flowers. look how beautiful! she sells flowers at minimal prices. the phrase she told me: ""I have a lot of flowers…",2024-10-17
スーパームーンGX,2024-10-17
Air Raid Crash!!!!!!! @rasslin,2021-11-16
"This is the Carter air raid siren from WWII, listen to its haunting sound..",2024-06-10
Air raid alert is in Kyiv city and more than half of Ukraine as Russian drones are attacking.,2024-10-15
"This is my beloved  city #Odesa . And it is being attacked by Shaheds again. Air raid  . We believe in air defense.
Burn in hell, ruzzians .",2024-10-16
"An Israeli journalist has exposed an image showing Israeli soldiers hiding in a sewage drain during a rocket strike launched by Hezbollah from Lebanon. 

Halil Beiton, a correspondent for Channel 14, reported that the soldiers sought refuge in the drainage system when air raid",2024-10-15
Air raid in Kyiv now,2024-10-16
BREAKING: Air raid sirens wail across Ukraine's capital,2022-02-24
There is an air raid alert in Kyiv region and some other Ukraine regions -- due to a Russian drone attack.,2024-10-15
"In this video, we can see Israeli school children running for their lives to the bomb shelter as air raid sirens sound, a daily occurrence now.

Israel has been hit by more than 20,000 missiles in a year. 

Where is the outrage?",2024-10-08
"Excited for a trade deadline article and this is all I get, lmfao.",2024-10-17
"Air Raid at 7 Years Old Is 
#BullittFootballAcademy #BelieveTheHype #TrustTheProcess",2024-10-16
 Air raid sirens in Haifa,2024-10-13
"It was Air Raid Siren in the town of OR Yahuda 
Followed by an explosion which was iron dome intercepting the missile… 

एक बार फिर सायरन की आवाज़ और अफ़रातफ़री का माहौल 
#IsraelFightsBack",2023-10-15
The #cat was sitting on our front porch again. Poor juju puffed herself up to 3x her size and made the loudest indescribable sounds. Sounded like an air raid siren mixed with a woman screaming.  ,2024-10-16
"22:39LT Kyiv, Ukraine 
 Kyiv, Air raid sirens, ADS working.
 About 30 drones in the sky over Ukraine threaten to Zhytomyr, Kyiv, Chernihiv, Sumy, Poltava, Cherkasy, and Kharkiv regions.
#RussiaIsATerroristState",2024-10-17
" BREAKING: ALL OF UKRAINE GOES  INTO AIR RAID ALERT

The report comes after confirmation that 14 Russian bombers have carried out airstrikes on Ukraine. 

Source: @sentdefender",2024-03-24
"Air raid launched by the IDF aircraft targeted the Wardaniyeh area, Tyre District, southern Lebanon.",2024-10-17
 Explosions in Haifa and its surroundings after a rocket barrage from Lebanon and the activation of air raid sirens.,2024-10-15
We are spending DT week designing and building WW2 air raid shelters. Looking great so far! #BGDT #BGHistory,2024-10-15
Air raid in Kyiv,2024-10-15
"RAW: Air raid sirens rang out in Kyiv the morning after a strike on a TV tower reportedly killed five people.

Kyiv remains on high alert as a massive Russian military convoy moves toward the city.",2022-03-02
" An Israeli journalist has exposed an image showing Israeli soldiers hiding in a sewage drain during a rocket strike launched by Hezbollah from Lebanon. 

Halil Beiton, a correspondent for Channel 14, reported that the soldiers sought refuge in the drainage system when air raid",2024-10-15
"Air raid on the town of Beit Shama in the Bekaa Valley, eastern #Lebanon.",2024-10-17
