Tweet,Date
"For those who claim that ""it wasn’t a direct strike"".

The rocket on the video was not hit by air defenses and was flying straight at the target, which is exactly the Ohmatdyt hospital below it.",2024-07-08
"This women on tiktok posted an update that this little boy from Gaza was still alive and survived the air strike. 
An Israeli women replied with this:",2023-10-26
"Inside the ICU, too crowded and dirty to be called an ICU.
Due to big numbers of injuries that arrive to the hospital after each Israeli air strike, there is no space for anyone even the medical team. 
With a big shortage in equipments, medical supplies and tools. 
A lot of",2024-01-01
Julia (3 years old) lost her only family to an Israeli air strike.,2023-11-10
Even after all that. They called an air strike and brought the building down on him.  Their cowardice truly is legendary.,2024-10-17
Birdstrike caught on camera from the flight deck ,2024-07-18
Huge flames of fire rising in the sky of Khan Yones after an Israeli air strike,2024-01-21
"My friend Amro, he is the only survivor from the Israeli air strike of the WCK car.
7 lost their lives and he is now in ICU
Pray for him to survive this please",2024-04-02
Israeli airstrikes near Beirut International Airport.,2024-09-28
An Israeli air strike on a building in front of Al Aqsa hospital killed a number of people and injured many.,2024-01-11
"An Israeli air strike blasted the area just outside the Latin Church in Gaza while the Christian community was praying: “Holy Mary, pray for us sinners, now and at the hour of our death.”",2023-11-01
"This is a recording from a home improvement hypermarket in Kharkiv during a Russian air strike on Saturday afternoon.

At least 14 people were killed. The bodies of 7 people are still being searched for.",2024-05-26
"Live from my street 
An Israeli air strike",2023-12-04
"Behind the scenes video in Gaza shows a group of journalists filming a staged video with a young boy, playing the role of an air strike victim. 

After the cameras stop rolling, the men laugh and lift the boy up as he breaks out in a smile.",2024-05-16
"Hamas Crisis Actor pretends to be a victim of an Israeli air strike- appearing in a hospital bed while pretending to be in a critical condition as two supporting actors hold his hand. 

In reality, the man is a Hamas musician and actor who has been appearing in various videos for",2023-10-25
"Legendary Syed Sajjad Haider; saviour of Lahore who led the most successful air strike on main Indian airbase of Pathankot during 1965 ,  being treated in this shameful behaviour and language by Islamabad Police officer. 

Incredibly shameful! #آئین_بچاؤ_پاکستان_بچاؤ",2023-05-14
here is the proof that it was an air strike,2022-04-05
"Last night bombing 
Israeli air strike  destroyed  the main road to the camp",2023-12-25
An Israeli air strike  targeted the rooftop of a residential tower just behind my house in Dair Al-Balah,2024-01-05
Palestinian child uncontrollably shakes after surviving an lsraeli air strike.,2023-10-21
