Tweet,Date
"BREAKING: High-Ranking Senior officer in the Islamic Revolutinary Guard Corps, was successfully eliminated by an airstrike in Syria.

Good riddance. There is nowhere to hide.",2024-08-15
"The family of the 14-year-old girl who died in a Russian airstrike in Kharkiv had just begun to recover from another loss — the girl's father had previously gone missing in the Donetsk area, her relative Olga told Ukrainian media 'Suspilne.'

In the video, the girl's mother is",2024-08-31
"BREAKING 
#Hamas leader Yahya Sinwar was killed in an Israeli airstrike in Gaza.

Yahya Sinwar was defending his land against those he considered to be the most despicable people in history. May Allah save Gaza and Palestine.",2024-10-17
"The moment Aljazeera Journalist Momen Al-Sharafi breaks the news that his entire family of 21 members were just killed in an Israeli Airstrike in #Gaza.

The look he gives as he is no longer able to talk, is heartbreaking.",2023-12-07
"Liya, my 3-year-old cousin, was killed by Israeli army along with 7 of my other cousins and my grandmother in an airstrike on a house they had fled to in the so-called safe zone the army directed them to!

We will never forget and never forgive, no matter how much time passes",2024-07-26
"People claim that the lack of craters at the Al-Ahli Hospital in Gaza, rules out an airstrike by Israel.

But JDAM (includes the MK.83 GBU-32) does have an airburst mode, which does not produce a crater.

It kills using shrapnel, shockwave and fireball from the explosion
1/2",2023-10-18
"They witnessed their father burning before them in an Israeli airstrike !

Is there a pain greater than this ? 
STOP STOP STOP  #GazaGenocide",2023-12-12
"BREAKING: Reports indicate that Yahya Sinwar, Hamas leader, is dead. Israeli sources claim a firefight, but evidence suggests he was targeted in a cowardly airstrike after evacuation. More updates soon.

#Gaza",2024-10-17
"In the latest toll, 8 #Palestinians have been reported killed and several others injured following the #Israeli airstrike that targeted a residential building Tel Al-Hawa neighborhood in southwestern #Gaza City last night.
#GazaGenocide‌ 
PALYOUTH .H.B",2024-10-17
"Liya, my 3-year-old cousin, was killed by Israeli army along with 7 of my other cousins and my grandmother in an airstrike on a house they had fled to in the so-called safe zone the army directed them to!

We will never forget and never forgive, no matter how much time passes",2024-07-18
"This video is going viral among Lebanese Christians right now.

The new Hezbollah leader Hashem Safieddine, who was likely killed in an Israeli airstrike yesterday, can be seen on the video threatening Lebanon’s Christians.

He said their time is running out (demography)",2024-10-04
"ELIMINATED. 

The Secretary-General of Al-Jama'a Al-Islamiya, the Islamic Group in Lebanon that assisted Hezbollah in firing rockets toward Israel, was killed in the Israeli airstrike on central Beirut.

Good riddance. Hell awaits.",2024-09-29
"Muhammad Zahad, the terrorist who was killed in the airstrike in the Balata camp in Nablus
Four other terrorists were killed along with him",2023-11-18
"This is 17 year old Khader Zomlot. He was killed yesterday by Israel in an airstrike on his family home in Gaza. Khader is the son of my father’s niece Amal. He was a high school student, exceptionally bright, and wanted to become a scientist. His mother told us “they took my",2024-01-21
" This 2-year-old Palestinian lost both of her legs due to an Israeli airstrike.

“This is my daughter after 14 years of fertility treatment.”

Now she has no legs.",2023-11-17
#Animalactivist Hussein Hamze and a group of cats and dogs survived an airstrike on the town of #Zefta on Wednesday. Hussein insists on staying in the South to care for and rescue these animals despite all the dangers of the Israeli assault.,2024-10-17
" Asif Abu Mahadi dreamed of being a footballer, and then an Israeli airstrike took a leg from him.

His favorite footballer then reached out via FaceTime to comfort him.",2023-11-22
"BREAKING: Israeli officials are investigating the possibility that Yahya Sinwar, the leader of Hamas, may have been killed in an airstrike on the Gaza Strip.",2024-09-22
"Tragic update from Al Shifa hospital, with a doctor killed and others pinned down by IDF fire: 

""Dr Hammam Alloh, physician in nephrology at Al Shifa hospital, has been killed by an airstrike this morning with his father in their house, next to Al Shifa hospital. His mother who",2023-11-12
"My primary school teacher, and one of my mother’s best friends, Mrs. Huda Hamada, was killed today in an Israeli airstrike near her house. She dedicated her whole life to teaching children in UNRWA’s schools. Today Israel killed her.",2023-10-17
"NOT A COINCIDENCE ISRAEL KILLING AID AND MEDICAL WORKERS  US SUPPLY THE WEAPONS AND INTELLIGENCE FOR THE STIRKE

Breaking | Ahmed Al-Talbani, the Director of the Central Medical Station (Emergency and Ambulance Department), and his family were massacred in an Israeli airstrike",2024-10-17
"Every Hour and even seconds matter.

Stand with Palestinian Journalists

Last November, journalist Salman al-Bashir broke down on live TV, reporting the de•th of his colleague Mohammad al-Hattab and his family, victims of an Isr•eli airstrike in Ga•za. “These vests do not",2024-10-17
"Israeli airstrike targets Qana town in southern Lebanon, killing at least 10 and injuring 15",2024-10-15
 The moment a Palestinian Uber driver in Egypt finds out his father was killed in an Israeli airstrike.,2023-10-27
"The Israeli airstrike that killed seven @WCKitchen aid workers, including an American citizen, was absolutely horrifying and unacceptable. 
Today, I called on the Biden Admin to withhold offensive arms transfers to Israel with @RepMcGovern, @Janschakowsky and 37 other colleagues.",2024-04-05
An IDF airstrike in northern Gaza targeting Hamas,2024-04-26
