Tweet,Date
"We are now very close to another World War, with two nuclear armed nations in direct confrontation. #Iran",2024-10-01
The End of Watch Procession for Toronto Police K9 officer Bingo the German Shepherd shot/killed during confrontation with armed suspect. As one officer told me “These are not animals. They are our partners and Bingo gave his life to protect others”. Dozens of officers were here.,2023-07-27
"There is consequences to every action

Cho Ayoba and Ambazonia 
signed a treaty with IPOB for alliance between the two nations

Instead of keeping to that agreement

Cho Ayoba fall for a cr!m!nal who told him that armed confrontation is the way out",2024-09-27
It’s much worse than that. People are openly calling for armed confrontation,2024-10-05
"Here's an example of the convergence of dialectical and historical materialism in a real life armed confrontation. 

Then as now, those closest to you are usually the more credible threat.  And, then as now, the law is not always  ""fair and impartial'.

https://zinnedproject.org/news/tdih/herbert-lee-murdered/…",2024-09-26
"September 1, 1961, is a pivotal date in Eritrean history, marking the start of the armed struggle for independence. On this day, Hamid Idris Awate led a small group of fighters in the first armed confrontation against Ethiopia, responding to its annexation and repression of ",2024-08-29
"Armed Confrontation between FBI and Former Judge. 

FBI agent opens fire, exactly why is unknown

Retired judge in Orange County kills self as FBI arrive to arrest him https://youtu.be/MOYIgtJaMlU?si=izVdDdOxb0a0QC6q… via @YouTube updated 4 hours ago",2024-09-25
"In the district of Bookh, located in the Doolo region of the Somali region in Ethiopia, a tense situation has developed last night and continue to grow and that could lead to a military confrontation between Puntland forces and armed clan militias. These militias are currently",2024-09-20
"events of #october7 increased political and social awareness among Palestinians an Palestinian people realized that struggle for their rights requires not only armed confrontation, but also new political and social tactics.
#Gazaliveson
#StandWithPalestine
#365DayOfGenocide",2024-10-06
"POLICE NEWS: BROOKLYN, NY: OFFICER SHOT DURING A CONFRONTATION WITH A SUBWAY PASSENGER WHO REFUSED TO PAY AND  WAS ARMED WITH A KNIFE . POS SHOT: 
#PRAYERS",2024-09-16
"Shots were fired near the Israeli General Consulate in Munich, Germany, during a shootout between the police and an unidentified suspect armed with a long gun. The broad-daylight confrontation ended swiftly when officers shot down the gunman. Moments before, an unknown suspect",2024-09-05
