Tweet,Date
"This might be a good time to bring up Bill Clinton’s assault weapons ban that reduced mass shooting deaths by 43% - but after George W Bush & Republicans let it expire - mass shooting deaths jumped 239%.

Why TF would anyone need an AK-47.",2024-09-16
"Don't quote me, but I'm pretty sure the driver of this truck is an America First, hate spewing racist, Confederate/Nazi flag waving, Fox News watching, mad that Trump lost, assault rifle owning, Kid Rock fanboy named Bubba.
#ProudBlue #VoteBlueToStopTheStupid #HarrisWalz2024",2024-09-29
"I been telling y’all about all this weird shit, I don’t do NO puffy party’s. you didn’t believe me but I bet you believe me now! https://variety.com/2024/tv/news/diddy-sexual-assault-allegation-doc-50-cent-netflix-1236012610/…",2024-09-25
"“I was sexually assaulted by Ava [ Kris ] Tyson”

Ava Kris Tyson is now being ACCUSED of SEXUAL ASSAULT by new alleged victim. ",2024-07-27
"Atrocity Inc: How Israel Sells The Destruction Of Gaza

Watch @MaxBlumenthal's new documentary takedown of the media deceptions and hoaxes Israel pushed to manufacture consent for its genocidal assault on Gaza

In collaboration w/ @propandco & @sutjhally",2024-10-07
"Guess who refused to charge Mohamed Fayed with sexual assault while he was chief prosecutor.

",2024-09-20
"Daily reminder the world is better with you in it! 

Suicide & Crisis Hotline : 988

Domestic Violence Hotline: 1−800−799−7233 
 
Sexual Assault Hotline: 1-800-656-4673 

You are amazing. You are loved. You are worth it. You are not alone. ",2024-10-17
"This isn't the first time John ""Jack"" Callis was arrested for Assault...this guy needs to be locked up for a while.
#baltimore",2024-10-17
Congress must renew the assault weapons ban.,2024-08-25
"Would you support the President signing an executive order banning assault rifles until one can be codified? 

Yes or No? ",2024-09-26
"Diddy faces 120 new s*xual assault allegations

Attorney Tony Buzbee is representing 120 new accusers in civil suits spanning 20 years, with victims as young as 9, 14, and 15.

A Diddy s*xual assault hotline is available for victims to come forward with allegations.",2024-10-01
"Assault, battery, disorderly conduct, public intoxication. 
Here he is …..",2024-10-14
Man accused of threatening FEMA workers with assault rifle in western North Carolina https://trib.al/VhMyprN,2024-10-14
"What do we know about all the shooters?

100% of them are white.
100% of them are male.
100% of them had assault rifles.
100% of them are not Haitians.
100% of them are not immigrants. 
100% of them are Republicans.",2024-09-16
"When a man commits sexual assault it's ""Not All Men"", but when a trans person commits any kind of crime it's ""All Trans People""
Make it make sense",2024-07-28
"Labour colleagues should be able to speak freely about Israel’s genocidal assault in Gaza, and now in Lebanon, without fearing their jobs.

I will always stand up against injustice and for the rights of the Palestinian people. #R4Today",2024-10-03
" BREAKING  

An African man who attacked a schoolgirl and another woman with a knife in February and was set free, has gone on to sexually assault a woman in Cork yesterday. 

Chinonso Igboanusi should not have been free to attack again, even gardai begged for him not to be",2024-06-20
my jiaoqiu about to end up as a air assault dps or something because these relics are getting RIDICULOUS,2024-10-17
Book'm Danno...,2024-10-17
"“When maximum sentence for chaining yourself to railings is more than twice maximum sentence for racially aggravated assault, anyone who cares about justice should be appalled”. Spot on ⁦@GeorgeMonbiot⁩ - Labour should repeal these draconian laws now",2024-10-01
"Donald Trump is literally saying he will deport children who are full fledged American citizens. He's not even hiding it...and hardly a word from MSM?! #TrumpIsInsane, cruel and every bit the Nazi Hitler was. #VoteBlue2024 & stop the assault on minorities.",2024-09-22
"With her ex Jason sentenced today for assault on her son Tyler, I just want to congratulate @laurenboebert for being voted Crime Family of the Year by Crime Family Magazine!",2024-06-12
this is the most mask-off thing about the whole transphobia-industrial complex: ella emhoff isn't even trans and has never suggested she identifies as anything other than a woman.  but because she isn't Performing Fox News Femininity she's a horror assault on the family,2024-08-20
This is from the 80s. You could literally mail order assault and battle rifles.,2024-09-13
When you lose and won’t accept the results and assault the Capitol and Congress it’s a direct assault on the freedom and independence of the nation,2024-07-04
" Indians storm a house and BRUTALLY assault residents, simply for being Muslims!",2024-09-07
Charleston White arrested and charged with aggravated assault with a deadly weapon and cruelty to non-livestock animals,2024-10-11
"Police Scotland confirm 37-year-old man has now been ""arrested and charged with the alleged assault"" and is due to appear in court today",2024-09-23
"Georgia wide receiver Colbie Young was arrested this morning on charges of battery and assault against an unborn child. 

He is the 7th Georgia football player to be arrested this year.",2024-10-08
