Tweet,Date
"One of the greatest actresses of all time, Cate Blanchett, presented her own movie about Ukraine. The movie is about living and surviving in Kharkiv. You can watch ""Ukraine: Life under attack"" on Amazon Video or Apple TV. Thank you, Cate Blanchett !
Shame on @TIFF_NET !",2024-09-18
"I'm so fucking angry
We are having a memorial service for the victims and 101 hostages and families of a terror attack by a proscribed terrorist organisation. 

Listen to those savages! We are in mourning!  It's a memorial. 

It's been one year since 1200 people were",2024-10-06
"My country  is under attack from Lebanon
My country is under attack from Syria
My country is under attack from Iraq
My country is under attack from Iran
My country is under attack from Yemen
My country is under attack from Gaza

And my country  is being accused of genocide?",2024-10-04
"BREAKING NEWS : A photo has been making the rounds on social media showing what’s claimed to be the body of Hamas leader Yahya Sinwar. 

Reports suggest a major attack happened tonight in the Rafah area. However, it’s still unclear if Sinwar was actually the target.",2024-10-17
"#HIGNFY
This is DISGUSTING!
A group of men, all leftists,committing blatant misogyny & bullying an intelligent & much loved female politician.
This brave woman is the fragrant Andrea Jenkyns whose courage is so inspiring as Hislop & his gang attack her.",2024-10-11
"BREAKING NEWS: Minnesota Supreme Court Rules Person Under Attack or Threat MUST Retreat Before Using Deadly Force  

Thoughts on this ruling?",2024-10-10
"Blame your wife when you have
a heart attack -Be A Man",2024-10-10
"This Palestinian protestor thought he could attack German police officers without facing any consequences. 

 FAFO!",2024-09-22
"Day 8 of counting down to The Great Impersonator, October 25th 

THE GREAT IMPERSONATOR #8: the mystical madame herself STEVIE NICKS!

TRACK 5: PANIC ATTACK

I HAD to invoke this witchy ballerina from Rumors. Stevie, as we know, is made of magic ",2024-10-14
"Iranian Crown Prince @PahlaviReza condemns the Iranian regimes attack on Israel; brands the Supreme Leader a “tyrant” 

“Ali Khamenei has brought our beloved nation to the brink of war. But this tyrant, this pariah, is increasingly isolated. 

For decades he has wrought terror",2024-10-01
"The media is attacking me for providing Starlink for rural communities in North Carolina devastated by the hurricane. 

They are saying I’m just being political. 

Is this a fair attack by the media?

(I’m honestly just trying to help)",2024-10-02
Our greatest ally in the Middle East is under attack. Praying for Israel’s safety and security. ,2024-10-01
"BREAKING: Pro-terror protesters attack Israel supporter in NYC.

The man is bleeding after he got hit on the head. His Israeli flag was also stolen
@FreeBeacon",2024-10-07
"Democrats File In Federal Court To Take Over Prominent X Accounts That Support Trump, Elon Musk & Free Speech.

This Attack On Free Speech Is Even More Over The Top Than Brazil’s Tyrannical Actions Against X.

Will @elonmusk Stop Them?",2024-10-17
"We’ll START getting over January 6th when every one of those who participated, funded, and supported the attack are in prison, @ScottWalker. Tic toc, tic toc, MFer.",2024-10-03
POV: you’re an Israeli “under attack”,2024-10-01
"It was great being a part of the this amazing event last night. Heart disease is a part of my life, my history. Go get checked out, it could be signs of a heart attack. ⁦@bryantawards⁩",2024-10-17
"A knife attack in HANLEY, STOKE in front of families and children in the city centre. #knifecrime #stoke",2024-10-13
if your first instinct after hearing the news about liam payne is to go attack and blame maya henry then just know that you are a terrible person,2024-10-16
"Iranian missiles clearly impacting in Tel Aviv. Never thought I'd see something like this, even after the retaliatory attack in April.",2024-10-01
"Chief Reform Party nutcase Lee Anderson has described the EU directive requiring the caps on plastic bottles to stay attached when opened as,
""An attack on the British way of life""",2024-10-14
"BREAKING NEWS

Another church was set on fire in Canada. These are not coincidences. There is an attack on Christianity in the West.",2024-10-04
"So many Black Men are speaking out against Obama and it’s incredible to see 

“You’re the biggest problem to black people. Not the Republican Party.”

“Just because our policies differ or our views differ .. now you want to attack? No .. you’re a liar and you’re part of the",2024-10-12
"Iran attack Israel*

Indians for no reason : 
#TelAviv #Iran",2024-10-01
"1st October, 2006

Lance Corporal Dennis Brady, aged 37 from Barrow-in-Furness, and of the Royal Army Medical Corps, died from wounds sustained in a mortar round attack by insurgents on his base at Shaat al-Arab Hotel, northern Basra, Iraq 

Lest we Forget this brave man  ",2024-09-30
Hezbollah releases a clip of a senior Hezbollah official who was seriously injured in the pager attack in Lebanon.,2024-09-21
"THIS IS INSANE
                              IT’S PREMEDITATED
IT WAS ALSO
AN ATTACK ON CITIZENS!

+ WHO KNOWS IF IT COULD      
    HAPPEN TO US?

WHY ARE GOVERNMENTS CONDUCTING TERRORIST ATTACKS LIKE THIS?

THIS IS WAR CRIMES?",2024-09-18
"Iran is about to repeat 7th Oct again...

Iran  is preparing to attack on Israel  within the next 24 hours.",2024-10-06
"It doesn’t matter how many transphobes  attack me in the last stages of my life, I won’t become them. I won’t think how they think - it’s a waste of their time banging on at me - I’m not going to be one of them",2024-09-28
Comrade Kamala Harris is authorizing an attack on Russia using United States weapons by Ukraine. This would mean that US and NATO are at war with Russia. Kamala is a warmonger and is leading us into #WWIII. I will stop this war as President-Elect!,2024-09-13
"A little history on how imperialism has destroyed Lebanon. It is in fact dual imperialism - both from the PLO out of Palestinian Territories and Hezbollah out of the Islamic regime in Iran. This tag team of imperialist forces have crippled Lebanon, using it as a base to attack",2024-09-26
"A BALANCED ATTACK FROM THE LIBERTY TO TAKE DOWN THE ACES  

Sabrina Ionescu | 24 PTS
Breanna Stewart | 15 PTS
Jonquel Jones | 14 PTS 
Courtney Vandersloot | 12 PTS",2024-10-02
"The Mossad’s patience despite the urgent need to respond to the ballistic missile attack on Israel means only one thing: 

The response is going to be devastating and on the enemy’s GROUND, where the Islamic Revolution leaders will witness horror and fear as they count their",2024-10-07
"This is MAGA. Threatening to physically attack someone if they see them wearing Harris merch.
@FBI @dojphofficial
#MAGAareDomesticTerrorists",2024-10-05
" Lisbon, Portugal: A woman endured an attack and humiliation at the hands African invaders as she stood on a train station platform. 

She was verbally assaulted while bystanders, frozen in shock, did nothing but watch, allowing the ordeal to unfold without interference. This",2024-10-08
