Tweet,Date
"This is an important point. If the British had responded to IRA attacks on civilians by launching relentless air strikes on Irish civilian neighborhoods, it would have appeared obviously psychopathic and deranged. Yet in Gaza this is considered a reasonable response to terror.",2023-10-30
"In the past 24 hours alone, after the ICJ ruling, Israel carried out 21 mass killings, murdering 200 and injuring 370 civilians, attacks on hospital continuing. «So Israel’s message to the Court, and the world at large, is clear: It does not care for the opinion, demands or",2024-01-28
Here’s how these Western leaders reacted after attacks on civilians in Gaza vs. Ukraine.,2023-11-06
"Former Israeli Prime Minister Ehud Olmert urges caution in the #Israel-#Hezbollah conflict, emphasizing the need for a negotiated resolution while acknowledging Israel's right to respond to daily attacks on its civilians. .@Roolockwood | #GNT",2024-10-15
"#Abiy's forces conduct drone and air attacks on civilians in Abuna-Gindabarat town, and killed 16 civilians so far...",2022-04-24
"With Israeli’s horrific attacks on Lebanon, we rallied outside the Lebanese embassy in DC, standing in unwavering solidarity. While Congress cheers on violence, we remember Lebanon’s history of Israel’s invasions, relentless attacks, and the thousands of civilians injured or",2024-09-23
What specifically is “media propaganda bs”? Russia invaded Ukraine. Its war plan depends on attacks on civilians and infrastructure. Ukraine is defending its territory in part with sat comms. Those are facts - corroborated every day by journalists & eyewitnesses on the ground.,2023-02-13
"Oromo Prosperity Party regime forces have carried out widespread attacks on civilians, even persons with disabilities have been targeted. #WarOnAmhara @antonioguterres @JosepBorrellF @AUC_MoussaFaki @MikeHammerUSA @USEmbassyAddis @AUC_PAPS @TiranaHassan",2024-10-17
"Today across @MSF, we begin a campaign for an immediate ceasefire in Gaza. We are demanding governments to put pressure on Israel to stop the attacks on civilians and end the siege. 
It #MustStopNow.",2023-12-04
"Just to clarify, the bombing and civilian casualties occurred far from the hostage rescue operation site. The attack was solely a diversionary tactic, resulting in the deaths of more than 100 civilians.
More than 100 civilians were killed just for camouflage.",2024-02-12
"Immediately following the initial attacks on the World Trade Center, tunnels were closed, and traffic fleeing Manhattan via bridges reached a standstill.   

Many civilians, especially in those neighborhoods closest to the attacks, were desperate to escape the island but had no",2024-06-19
"
Defeaning silence from the I.C as #Amhara cries go unnoticed. @AbiyAhmedAli troops have continued their daily indiscriminate drone and heavy artillery attacks on civilians.
Say #NoMore, be their voice.
#AmharaGenocide
@UNHumanRights @AJEnglish @BBCAfrica",2024-10-17
Manipuri needs peaceful with each other. Again and again Kukizo Militants attack on Innocent Meitei Civilians Today also Myanmar base #KukizoMilitants attack on Innocent civilians at Jiribam.,2024-09-28
"""President Zelensky is really making the rounds to secure more support for his country's ability to defend itself against what are brutal attacks against civilians that are going on daily in Ukraine,"" @apolyakova outlines on @BBCWorld.",2024-10-17
"Tomorrow marks a year since Hezbollah dragged the region into a multi-front war and began their constant attacks on Israeli civilians.

Less than an hour until October 8, Hezbollah launched a number of projectiles toward central Israel.",2024-10-07
"Attacks on civilians in Myanmar ‘crimes against humanity’, says UN http://aje.io/ap2cmk",2021-11-06
"BREAKING: In a self-defense act to remove Hezbollah’s threat, the IDF is striking targets in south Lebanon, from which the Iranian-backed Lebanese terror organization was planning to launch their attacks on Israeli civilians.

Hezbollah rocket and drone attacks are targeting",2024-08-25
"Immediately following the initial attacks on the World Trade Center, tunnels were closed, and traffic fleeing Manhattan via bridges reached a standstill.   

Many civilians, especially in those neighborhoods closest to the attacks, were desperate to escape the island but had no",2024-05-28
"Again, the Israeli army targets civilians on Al-Rasheed Street, west of Gaza City, while they were waiting for flour.",2024-03-02
