Tweet,Date
BLAST  #thalaivar #superstar,2024-03-28
"The Igbo community in Massachusetts brings so much life and joy to our schools, churches, businesses, and more! Had a blast at the Igbo Day Festival in Boston today — thanks for inviting me to be a part of the celebration!",2024-08-10
a timelapse of crypto / ct,2024-05-08
"Get ready for a blast from the past! Subscribe to our emails by November 1st, 2024, to receive the Sonic Jam Legacy Skin, inspired by Sonic's first 3D appearance!

https://sonicxshadowgenerations.com/emailsignup/",2024-07-01
Dude does anyone else fucking remember these I just got hit with a brain blast,2024-04-13
"I'm having a blast doing there #Fallout themed meme redraws!

Post a meme you want to see Vault Boy in ",2024-06-04
"Hid merch in the theatres. 
Send me photos and vids from inside 
Actually take pics in a theatre is janky 
Whatevs who care let’s have a blast",2023-07-28
"Thank you Toronto, tonight was a blast!  #AndStill #NXTHeatwave 

Sol vs Kelani 2 when?? ",2024-07-08
"The Blast airdrop is launching June 26.

We know this is past our initial estimate of May and we’re sorry for the delay. The airdrop allocation will be increased to account for this.

There will be two final Dapp Gold distributions before the airdrop.",2024-05-15
"Two weeks until the Blast airdrop.

Are you excited?",2024-06-12
Priest puts @nytimes on blast -- and accurately equates Trump and MAGA-fascism with the mustache man and Nazi movement of 1930s Germany.,2024-06-29
"i had a BLAST co-hosting DeForm's very first SF happy hour with Privy and Pudgy SF

i felt so much joy from connecting together new & old friends across and within the industry",2024-10-17
"The Blast Mainnet is NOW LIVE

Early Access users can bridge to Mainnet and use Blast-native Dapps that don’t exist anywhere else",2024-02-29
" blonde & burgundy  

Thank you so much Milan!! I had an absolute blast!!  버니즈~~~ 항상 너무 고맙구요~~~ 굿데이 앤 굿나잇! 
#Hanni #하니 #NewJeans",2023-09-25
" XBL is an Omnichain Token 

With the power of interoperability protocol, XBL will be connected on multiple blockchains, improving users accessibility and seamless cross-chain messaging which scales the mining process.

| END OF TWEET |",2024-03-20
"Ever thought about becoming a gangster? In *Gangster Arena*, you’ll have that chance.
You can find the game on the @blast network and enjoy a variety of resources to boost your gang’s reputation.
Through gang wars in @GangsterArena, you’ll be able to earn ETH rewards",2024-10-17
"$PAC is the community coin of Blast.  

Say it back ",2024-03-01
"The Blast Airdrop is officially 3 weeks away!
​
There will be one final Gold distribution before the airdrop.
​
Dapps must distribute all Gold and Points to users by June 25, 8am ET in order for it to be counted. Here’s how it works:
​
• Points and Gold must be in User EOAs in",2024-06-05
My oil painting of the Baja Blast,2024-08-12
BAJA BLAST IS BACK. SEND TWEET.,2023-06-22
"Blast has reached $3.2 Billion in TVL.  

Users have deployed $1.8 Billion into Blast Dapps, making it the 2nd largest L2 and 5th largest chain globally by Dapp usage.

1,164,275 community members are now earning yield + Blast Points.

Stay tuned for June!",2024-05-21
