Tweet,Date
“Dad? What’s a Woj bomb?”,2024-09-18
"This era demands we speak the truth.

Facts:

Donald Trump is a pedophile who raped 12 AND 13 year old's - Jeffrey Epstein was the pimp.

How did then POTUS-elect Trump's circle get it dropped? Death AND Bomb threats.

READ IT FOR YOURSELF (share widely):

https://courtlistener.com/docket/4154484/katie-johnson-v-donald-j-trump/…",2024-07-02
11年でとても大きくなりました。,2024-08-05
"Who do you believe about the economy?

Trump, who has driven countless businesses into the ground?

Or 16 Nobel Prize-winning economists who all agree that Trump’s policies would be an inflation bomb?",2024-09-24
"“If a bomb goes off, I’m gone.”

- Patrick Beverley on playing in Israel

(Via @PatBevPod )",2024-08-12
Truth Bomb!,2024-10-05
 ,2024-09-14
Apparently there's a Lost Episode of Mythbusters that was supposedly completely wiped from existence by Discovery because they tested a bomb making recipe that used extremely accessible ingredients that they thought couldn't possibly work and it actually worked extremely well,2024-04-22
"""Little Boy"" exploded with an energy of approximately 15 kilotons of TNT (63 TJ) and had an explosion radius of approximately 1.3 kilometers which caused widespread death across the city of Hiroshima. About 70,000 people died from the atomic bomb in Hiroshima alone - and that was",2024-08-13
"Ark Warns of Ticking Time Bomb: ROBOTAXIS 

(it's not what you think!)

$TSLA",2024-07-13
Just when you thought they couldn’t get any better…DJT drops another bomb ad!,2024-07-02
Truth bomb ,2024-09-09
"What the fuck is Merrick Garland waiting for and where is he? Trump and crew are going to get someone killed in Springfield Ohio. The Haitian community is being terrorized in their home town. Bomb threats, broken windows, acid thrown on their cars and the Proud Boy's marching!",2024-09-14
I don't think we should have dropped the bomb on Hiroshima and Nagasaki.,2024-09-04
"They shot her, threw grenades at her,
they murdered her in the bomb shelter.
7/10
RAZ",2024-07-22
"British politician Ann Widdecombe drops a truth bomb:

""Nobody has the right to live their lives being protected from offence or from insults or from hurt feelings. It is an occupational hazard of living in society.""

",2024-09-18
We are giving away a copy of Bomb Rush Cyberfunk. Retweet this and follow us to join the giveaway.,2023-12-04
"BREAKING: AID FROM UK ARRIVES IN BEIRUT

Help the Israelis bomb
Then send the victims aid.",2024-10-08
"Nikki Haley arrived in Israel the day of the Rafah Massacre.

Here, she is writing “finish them” on a shell that will be used to BOMB innocent CHILDREN.",2024-05-28
"Cognitive Doctor discusses Trump's Brain Damage #TrumpIsNotWell 

It's not a joke, it's not sarcasm. 

""This is a neurological smoking gun.""

 #TrumpIsInsane, he’s a neurological ticking time bomb.",2024-09-21
"Spot the difference 

(Spoiler there isn't)",2024-10-17
"Spain’s Irene Montero:

“Europe and the U.S. allow Israel to bomb schools and hospitals; to deprive millions of people of water and food, and to kill with impunity. Today they are also bombing Lebanon and Yemen. The West’s collaboration with genocide puts all of humanity at risk”",2024-09-30
"A 14-year-old girl sitting on a bench was decapitated in the Russian glide bomb attack against Kharkiv 2 days ago.

Her father had recently gone missing in battle in the Donetsk region.

Her mother can be seen grieving next to her daughter body in a video.

The picture of her",2024-08-31
"They didn't want me to put my head above the parapet because they were afraid for my safety. Sure enough, they haven't enjoyed me being threatened with torture and rape. They'd rather I hadn't needed to sit through police interviews about credible death and bomb threats.",2024-05-30
Truth Bomb!,2024-08-04
"They shot her, threw grenades at her,
they murdered her in the bomb shelter.
7/10
KIM",2024-07-09
"BREAKING:  Charges were just filed against Donald Trump and JD Vance for their unsubstantiated claims about immigrants in Springfield, Ohio, eating pets.

The following charges were filed in Clark County Municipal Court:

- Disrupting public service: Causing bomb threats and",2024-09-24
"BREAKING: Lebanon hit with massive bomb, one of the largest Israel has ever sent.

Developing.

Shockwave felt many many miles away..",2024-09-21
"Imagine being a mother and signing a bomb that will be used to kill babies, toddlers, and children.

Imagine writing the words ""Finish Them"" on this bomb.

You're the worst of humanity @NikkiHaley.",2024-05-28
US warns Iran against launching ballistic missile attack on Israel. Shouldn't the US also warn Israel not to indiscriminately bomb Lebanon like this?,2024-10-01
"I watched this entire 34 minute video so you didn’t have to.

It starts with the usual land acknowledgment blah blah blah and is rather boring.

There is a lot of newspeak which confuses home equity with housing equity.

But at the 19 minute mark Justin Trudeau drops this bomb.",2024-07-10
