Tweet,Date
"We are on the ground in Lukeville, AZ, which has become the epicenter of the border crisis. The area sees thousands of illegal crossings daily from around globe, & is part of Border Patrol’s Tucson sector, which just saw a record setting 17,500 illegal crossings last week alone.",2023-12-05
"Reasons I don’t want to send more money to Ukraine:

1- They are literally Nazis
2- Our money is being stolen/laundered
3- The war will end if we stop funding
4- The US/NATO started the conflict
5- The West lied about everything
6- US oligarchs are making bioweapons
7- Our border",2024-02-13
" North Korea blew up two roads connecting it with South Korea. One is located in the western and the other one in the eastern part of the border region. This move was widely anticipated in recent days.

Source: kiber_boroshno (TG)",2024-10-15
"Visiting the Chad/Sudan border with HRH Duchess of Edinburgh brought home the truly devastating human impact of the conflict. 
As PM @Keir_Starmer said at the UN ‘We must work together for peace in Sudan … the world cannot look away.’",2024-10-15
"UN ""peacekeeping"" forces have had one mission in Lebanon--keep #Hezbollah from #Israel's border & prevent conflict.

They utterly failed.

Hezbollah built terror tunnels, amassed arms & weaponized civilian homes next to UN forces.

Were UN forces asleep...indifferent...complicit?",2024-10-14
"The political theater at the southern Border is harming people who live there. A public park in Eagle Pass was closed and covered (along a few miles) with barbed wired and shipping containers. The Mexican side is pretty, with a walkway and trees. The U.S. side is a depressing",2024-03-02
"Even Norway is temporarily reintroducing border controls at its Schengen borders due to the escalating Middle East conflict.

Europe is finally waking up to what has been obvious to many for decades.",2024-10-12
"NEW: Per CBP sources, CBP’s San Diego field office sent out this internal intel bulletin on Friday, alerting officers that Hamas, Hezbollah, & Palestinian Islamic Jihad foreign fighters inspired by the Israel conflict may be encountered at the U.S. southern border. Gives officers",2023-10-23
"The CIA was building spy bases in Ukraine along the Russian border starting in 2014. I wonder how we would respond if Russia or China built spy bases on the US/Mexico border.   

With all their information gathering and newly trained operatives, they couldn't wind down conflict",2024-02-26
The Iranian units of the forces present in the border area in the north have been placed in a war mode. It should be mentioned that unlike the politicized politicians and military,2023-09-19
"Borders are strange places aren’t they? 

Sometimes invisible, sometimes a fortress. Often a huge amount of history, politics, conflict attached

I spent a lot of time on the Irish border trying to explain it 

Now reporting from US-Mexico border on its tragic difficulties ",2024-09-28
"Footage from the southern border shows hundreds of fighting age males crossing the border.
Border Patrol reports a huge influx of Illegals from Syria.",2023-10-10
" Gunfires are heard at the border near Kiryat Shmona area, most likely in the Adaisseh direction where multiple confrontations occured in the past days. (01h -02h)",2024-10-04
" NEARING A CIVIL WAR?

“It is reported that Russian volunteers, who are fighting for Ukraine , destroyed the border checkpoint with the  Belgorod region. The number of killed and wounded is dozens of people.”",2023-05-22
" IS BEING ATTACKED

Russians, who are fighting on the side of , allegedly attacked and killed border guards with  today. They then began taking nearby Russian towns.",2023-05-22
"Russian channels report that fire fights along the Ukrainian-Russian border have flared up.

Source: Telegram / Wargonzo, Baza and Belgorod Online",2024-03-12
"Türkiye denies involvement in Syria border conflict #Syria #Idlib
https://ilkha.com/english/latest/turkiye-denies-involvement-in-syria-border-conflict-422305…",2024-10-17
"Hezbollah launches 24 operations against Israeli forces in intensified border conflict #Hezbollah #Lebanon
https://ilkha.com/english/world/hezbollah-launches-24-operations-against-israeli-forces-in-intensified-border-conflict-422138…",2024-10-16
"For hundreds of thousands across Lebanon, life changed overnight last month when a long-simmering border conflict between Hezbollah and Israel exploded into full-on war. Some 1.2 million people — about 20 percent of the population.",2024-10-14
"#RightBias
Exclusive: Afghan terror suspect flagged before arrest as border records conflict with DOJ story
https://justthenews.com/government/security/monafghan-terror-suspect-flagged-summer-feds-border-records-conflict-doj-story?utm_source=justthenews.com…
14 Oct 2024

#CBP records conflict with #DOJ court filings

#FrontPage #BorderObserver qt-fp-11130",2024-10-14
Happy to share a new article co-authored with my colleagues Rafael Villa and Camila Braga. We explore how civil society is developing alternative governance models in conflict-affected border regions of South America.,2024-10-16
"#LocalNews Ohio
Afghan Terror Suspect Flagged Before Arrest as Border Records Conflict with DOJ Story
https://theohiostar.com/news/afghan-terror-suspect-flagged-before-arrest-as-border-records-conflict-with-doj-story/jtnews/2024/10/14/…
14 Oct 2024

Nasir Ahmed Tawhedi, the Afghan refugee charged last week in Oklahoma with plotting an Election ..
#FrontPage #BorderObserver qt-fp-11169",2024-10-16
" JUST IN: Saudi Arabia’s Military on High Alert

Four Saudi soldiers were killed in clashes with Iran-backed Houthis near the Yemeni border.

The attack raises fears of a wider regional conflict amid the escalating Gaza war.

Source: Bloomberg",2023-10-30
"In an interview from India, Gov. Greg Abbott says ten other states have sent national guard to the Texas border, and others will follow. Abbott says he is “prepared” for a conflict with federal authorities.",2024-01-26
Today we are meeting Transboundary groups (Chiefs Forum and Cross Border Women Peace Forum) representatives brought from Kaabong-Moroto-Amudat. These groups have led the peace and conflict mitigation along the Uganda-Kenya border (Turkana-Karamoja-West Pokot).,2024-10-11
" Mass Evacuations: Over 30,000 Flee Russia's Border Amid Ongoing Conflict
 More than 30,000 people, including nearly 8,000 children, have evacuated from regions bordering Ukraine due to escalating shelling, according to Russia's human rights commissioner.",2024-10-14
 Binlerce kaçak sığınmacı ABD’nin El Paso/Teksas sınırına hücum etti.,2023-10-05
"Our teams are at all official Lebanese-Syrian border crossings to support people fleeing the conflict in Lebanon
Um Ahmed & her daughter Rania who suffers from cerebral palsy, crossed through Joussieh border crossing in Homs- like many others they are in need of urgent assistance",2024-10-15
" South Korean intelligence reveals unusual movements on the North Korean side of the border

Explosives are being moved around, indicating NK is actually about to go through with their threat from October 9th to blow up the highways and railways between NK and SK.",2024-10-14
"With support of @ciwaprogram, we're conducting research for impactful outcomes in the Horn of Africa's borderlands, including building resilient water services, mitigating social conflict & promoting regional integration.

http://wrld.bg/Et8I50TM9Tu
#WaterForPeace",2024-10-17
