Tweet,Date
"Schools which were hit by Chemical attack on May 6, 2023:

1) “Mabaas” girls’ school in Marivan
2) “Narges” girls’ school in Hamedan
#IRGCterrorists
#IranChemicalAttacks",2023-05-07
"Update: America under attack! Foreign sabotage due to open borders! A chemical plant has exploded in La Porte, Texas.",2024-09-16
"9 Columbia University students were hospitalized after the chemical attack on Friday's Pro-Palestine rally.

Two former IDF officers are allegedly responsible for the terror attack.",2024-01-25
Major incident in Bath city centre after 'chemical attack' http://dlvr.it/TBD71P,2024-07-29
"“Russian troops are carrying out a systematic campaign of illegal chemical attacks against  soldiers, according to a @Telegraph investigation.”
Via @JimmySecUK
What else must russia do for the Free World to wake up and stand up!
#ArmUkraineToWin",2024-05-01
Exclusive: another proof found of Russia preparing a chemical attack against Ukraine. Professional chemist spotted among Russia's occupation contingent. 1/3,2022-03-14
Russia is laying the groundwork for a chemical weapons attack. This is what they did in Syria. Defense Ministry would warn of chemical attack plot by ‘opposition’ and days later one would occur by Assad/Russia. Please I hope people are monitoring this,2022-03-09
Students posted their hospital reports & photos of themselves at the ER. This was a chemical attack by two soliders from a foreign military aimed at American college students. Independent footage from Columbia Spec confirmed the attack.,2024-08-16
BREAKING - Russia used ‘chemical weapon’ against Ukrainian forces: US State Dept https://rb.gy/s39bsn,2024-05-01
"First picture of a CHEMICAL attack by Ukrainian  artillery  in KURSK !!!!!!!

The Armed Forces of Ukraine used chemical weapons in the Kursk region

According to the Aida group, the enemy used ammunition filled with chlorine.

""Everyone who started breathing is having seizures",2024-08-10
"On April 9th, in  another attempt at a chemical attack, Russian fascist invaders shelled a nitric acid tank near Rubizhne, Luhansk region, Ukraine. But the wind blew the toxic plume back over the positions of the orcs.",2022-04-09
"stop saying that students at Columbia were attacked with a ""stink bomb"" it was a chemical agent. they're doing chest x rays and giving z packs at the hospital. people are still sick days later. it wasn't pepper spray either, far far worse. reporters please confirm if it was skunk",2024-01-23
"Just talked on @bbcworldservice about alleged #ChemicalAttack on #Mariupol. Yes, not yet officially confirmed. Because city is encircled and cut off by russian, thousands civilians killed, destroyed everything, no way to bring the full info out. Does the world care? #stoprussia",2022-04-12
"New chemical attack on the Rubizhne city. Occupiers hit for the second time a tank with nitric acid near the city in Luhansk region. This substance is very poisonous and affects, first of all, the respiratory system.",2022-04-09
" RED LINE: Russian fascists are using chemical warfare against Ukrainians.
The gas grenades contain Phenacyl Chloride (Chloroacetophenone), which kills within 5 minutes.
As the West starves Ukraine of weapons and munitions, Russia of course escalates.",2024-01-26
"As 2 IDF soldiers have been identified as using chemical weapons on @Columbia students, Israel was busy spreading the propaganda that Hamas is coming for the West next. Turns out, it is Israeli soldiers that have attacked tens of US college students with chemical weapons.",2024-01-23
