Tweet,Date
"The US State Department has officially accused Russia of using banned chemical weapons in Ukraine.
It is reported that the Russian army used chloropicrin, an asphyxiating gas that was actively used during the First World War. It is prohibited by the Chemical Weapons Convention.",2024-05-02
"The russians are using K-51 grenades with chlorpicrin on the front against the Armed Forces - this is a prohibited chemical weapon, - the spokesman of the Tavri District Oleksandr Shtupun.

Chlorpicrin causes severe inflammation of the eyes, throat, nose, and respiratory tract",2024-01-30
"Chemotherapy injected into people with Cancer IS the refined chemical ingredients from Mustard Gas, a Chemcial Weapon used in Warfare

It is murder and intellectually redundant to think that injecting people with a chemical weapon could make them healthier",2024-05-09
"Chemical weapons have been banned since 1925. But that's what the Novichok was: a weapon grade nerve agent. 

And here's what else you need to know about that pretty Wiltshire market town where Skripal lived. It's also the heart of the British military establishment. 

4/",2022-03-13
" U.S. Department of State is concurrently delivering to Congress a determination pursuant to the Chemical and Biological Weapons Control and Warfare Elimination Act of 1991 regarding Russia’s use of the chemical weapon chloropicrin against Ukrainian troops.

P.S. + Sanctions",2024-05-02
BREAKING - Russia used ‘chemical weapon’ against Ukrainian forces: US State Dept https://rb.gy/s39bsn,2024-05-01
"Prohibited chemical weapons are already being used, and it's not from the Ukrainian side, we already know russia has used white phosphorus numerous times in this war, but at least here it's being stated that they'll be used again, yet in Kherson most likely.",2022-10-19
"Pic: Newly produced Russian gas grenades, none of which are allowed in war. Not even CN or CS gases. Russia however has used another gas (chloropicrin), that it promised by treaty not to use and to destroy all stocks.

They kept stocks and now used them.

https://kyivpost.com/post/31986",2024-05-02
" TODAY'S FACT

The 1925 Geneva Convention banned the use of chemical and biological weapons.

The U.S. blatantly violated that, as it sprayed Agent Orange in Vietnam at up to 50 times the recommended concentration for killing plants.",2021-11-10
"CHEMICAL WARFARE: UKR’s southern command reported that Russia used a UAV to deploy K-51 chemical grenades filled with Chloropicrin.  Used as lung irritant and anti-riot agent, Chloropicrin is classified  by NATO as the chemical weapon PS. RU also used chemical agents in Mariupol.",2022-09-25
"ANOTHER RED LINE: Russia continues the widespread use of chemical weapons on the battlefield in Ukraine, including tear gas and asphyxiants.  Each of these attacks is a clear violation of the Chemical Weapons Convention.",2024-09-19
"The use of white phosphorus as a chemical weapon is deemed illegal by the UN. This is the upteenth war crime committed by Israel. Western governments, as usual, are looking the other way.",2023-10-09
"CHEMICAL WEAPONS: Despite explicit prohibitions by the Geneva Convention, Russia has been employing K-51 chemical grenades on the Pokrovsk axis. RU use of chemical weapons throughout Ukraine is well documented and continuing.
https://kyivindependent.com/silent-killer-russia-boosts-grinding-donbas-advance-with-chemical-warfare/…",2024-08-30
