Tweet,Date
Zionists are saying there are no civilian casualties to prove that the attack wasn’t successful  that’s the whole point dummies they’re targeting military targets NOT CIVILIANS like you genocidal maniacs.,2024-10-01
"60 out of 10,000+ people which means 99.4% were civilian casualties. you can’t convince me they see palestinians as humans",2023-11-07
"“the number of civilian casualties is zero”

they didn’t just fund and endorse the deaths of the Palestinians MURDERED since Oct 7, but now dishonor them in death by ERASING them.

the death toll is 26083 with 64487 injured. 

DO NOT FORGIVE DO NOT FORGET.",2024-01-28
"#Gaza – Given the high number of civilian casualties & the scale of destruction following Israeli airstrikes on Jabalia refugee camp, we have serious concerns that these are disproportionate attacks that could amount to war crimes.",2023-11-01
"When western media talks about civilian casualties, I wonder why it doesn’t mention these aberrant failures to protect & violations of international law that are the cause of those casualties. Is it because this is the best saviors think Middle Eastern countries can do?",2024-09-29
CNN talked about the deaths of Israeli civilians multiple times and did not mention Palestinian civilian casualties even once.,2023-10-08
Western leaders are crying crocodile tears over civilian casualties in Kyiv. Hypocrites. They didn’t care about thousands of civilians killed by Ukrainian forces in Donbass. Here’s a graph of all artillery explosions. The steep increase in early 2022 provoked Russia to intervene.,2022-10-11
"NYT: Israeli officials told their US counterparts that they ""believed mass civilian casualties were an acceptable price in the military campaign."" The Israelis also made specific references to the Allied bombings of Germany and Japan in World War II, ""including the dropping of",2023-10-31
"This hostage rescue operation took place in the heart of Nusirat- one of the most population condensed places in Gaza. 

For those who are concerned about civilian casualties, ask yourself why the hostages are being held in the most civilian dense places!!",2024-06-08
"Antony Blinken just made the preposterous claim that the U.S. *always* conditions its military aid on compliance with international and humanitarian law. 

If that is true with respect to Israel, then why does Blinken keep saying that Israel needs to reduce civilian casualties?",2024-01-07
"Israel had repeatedly claimed that it avoids civilian casualties. 

Israel has repeatedly lied.

Please watch and share this video.

Israel targets unarmed civilians and destroys entire neighborhoods.",2024-05-08
"There is no authority above this 
-Israel has the right to strike Hamas wherever and whenever without hesitation.  
-Hiding among civilians doesn't give Hamas any immunity. 
-""Palestinians and Muslims need to stop exaggerating and lying about the numbers of civilian casualties to",2024-09-10
"#Ukraine: Between 24 February morning and midnight last night, our Office has recorded 536 civilian casualties, incl. 136 civilians killed (13 children) and 400 civilians injured (26 children).

Hostilities must end now.

http://ow.ly/vtxl50I6KKa",2022-03-01
"Georgia

Military casualties: 350,000
Civilian casualties: 150,000
Total casualties: 500,000
Population: 3,716,858
Percentage of casualties to population: 13.44%",2023-05-09
"Absolutely, here is data from the UN showing that 81.4% of the civilian casualties since 2018 have been civilians living in Donbas at the hand of Ukrainian shelling. This has been the trend since 2014.",2022-02-24
"Update: 18 civilians were killed, at least 132 were injured, - National Police",2023-12-29
"The number of civilian casualties in #Ukraine is rising.

Fighting in or close to populated areas has already resulted in civilian deaths & injuries. 

Reports of civilian buses evacuated being hit by multiple launch rocket systems are appalling and unacceptable. ",2022-02-25
I’m still seeing that there was only one civilian casualty. Thousands of targets were hit. No nation in the history of warfare has achieved that little collateral damage on that broad an array of targets.,2024-09-18
"New casualty figures: ‘From 4am on 24 February 2022 until 12 midnight on 4 March 2022, the Office of the UN High Commissioner for Human Rights (OHCHR) recorded 1,058 civilian casualties in Ukraine: 351 killed and 707 injured.’",2022-03-05
"U.N. reports at least 240 civilian casualties, 64 deaths in Ukraine http://reut.rs/3vnLIQi",2022-02-27
"Earlier today, I phoned the legendary @mrjamesob to underscore the dangers of a heavy-handed approach in Gaza resulting in mass civilian casualties. My three main points were:

1. The right to self-defense, as defined by law, is never ""absolute""; it's a conditional right with",2023-10-13
"MUST WATCH

Putin speaks on the Middle East!

“They must minimize or reduce the civilian casualties to zero.”

“If men decide to fight, let them fight. Leave the women and children alone. This applies to both sides.”

Is he wrong?",2023-10-11
"Kremlin affiliated media first proudly reported the #Kramatorsk massacre, claiming their missile hit an ammunition train that arrived yesterday evening.
After the appearance of civilian casualties, they started blaming Ukraine.
Same story as with #MH17 in 2014.
#PutinAtWar",2022-04-08
"Biden admin is setting the stage to abandon Israel. What started off as “We are totally with you in destroying Hamas, which is as bad as ISIS,” is deteriorating into “You don’t have our support unless you can dismantle Hamas very quickly with very limited civilian casualties.”",2023-11-30
"EXCLUSIVE: Army Major Harrison Mann, a 13-year veteran, has resigned in protest over U.S. support for Israel's war in Gaza. Mann, who is Jewish, told CBS News' @JimAxelrod that civilian casualties from some U.S.-made weapons were a significant reason for his decision.",2024-06-04
How Hamas frames the civilian casualties of war in Gaza,2023-11-07
" ""We regret any civilian casualties in this war, but we provide weapons to Ukraine so that it can defend it's territory, including in Crimea, which, of course, is part of Ukraine”

– US department spokesperson, Matthew Miller

If Crimeans are Ukrainians, why do you bомb them?",2024-06-24
"NATO launched more than 10,000 air raids on Libya in 2011 with over 500,000 Civilian Casualties. When they were questioned about civilian Casualties they insisted that it was collateral damages and that it happens in wars.

The country that had one of the highest standard of",2024-08-10
"Delighted to learn that the first International Ellsberg Whistleblower Award will go to a man my father deeply admired: Daniel Everette Hale, a former NSA intelligence analyst who informed the public about high civilian casualties from US drone warfare. https://shorturl.at/G1j37",2024-10-17
" In just 25 days, Gaza has suffered FAR MORE civilian & child casualties than Ukraine has recorded after 563 days of their war.",2023-11-02
"Christmas Eve. Russian terror strike on Kherson leads to multiple civilian casualties. While families in Europe, North America, and beyond prepare festive dinners, spare a thought for Ukraine which is fighting evil right now. We need your active and lasting support to prevail.",2022-12-24
"Still seeing career foreign policy analysts discuss Israel's military strategy as if its exclusive target were Hamas & Hezbollah, without accounting for the clear, explicit goal of mass civilian casualties. Seems like a pretty foundational oversight",2024-10-17
