Tweet,Date
"My house was raided by police and i strongly condemn any violence directed at civilian or military property.
https://fb.watch/kCbpXcinSG/?mibextid=v7YzmG…",2023-05-18
"Unidentified uniform man beat one civilian because of house rent in Ado Ekiti. 

https://x.com/AdekolaOluwas18/status/1837105837677937146/video/1…",2024-09-20
TTP's relentless violence in 2023 caused civilian fatalities to amount to 31% of all violence-related fatalities. It's time to put an end to their destructive acts.,2023-10-15
"EU foreign policy chief urges immediate cease-fire in Lebanon amid rising civilian displacement
Josep Borrell calls for diplomatic efforts to halt escalating violence, prevent further destabilization in Lebanon

#News #DailyNews #LiveNews #WorldNews
#World",2024-10-08
"Chasing civilian vessels using Missile Boats & attacking small boats with water cannons China is now targeting Philippines's civilian population.

China's violence has turned majority of Filipinos against Beijing resulting in huge protests near Chinese Embassy in Manila. 1/x",2024-10-09
"Witnesses explain how State Security Service agents opened fire at citizens marching near the National Stadium, Abuja, on Friday afternoon.

Amnesty International confirms at least 13 civilians killed since protests began on Thursday, undercutting the government's hazy narrative.",2024-08-02
"I am alarmed by the escalating hostilities and violence in north-west #Syria, which have now continued for four consecutive days.

The rules of war are clear: civilians and civilian infrastructure must be protected.

My statement: http://bit.ly/3Yd1XMR",2024-10-17
Fight on West 70th Street outside of Circle K black dude knock the hell out of the white dude,2022-09-14
" At least 18 killed in an Israeli airstrike on northern Lebanon. The UN says Israel is cutting off Gaza with no regard for civilian lives.

We must #StopArmingIsrael now. More weapons mean more violence, not peace: https://ow.ly/4tuP50TNFbB",2024-10-17
"The UN Human Rights Office is appalled by the escalating violence in North Gaza, with Israeli strikes and evacuations causing significant civilian casualties and forced displacement. We urge all parties to uphold international humanitarian law and call for an immediate ceasefire.",2024-10-07
"“Using deepfakes to encourage violence against civilians, civilian objects, or the wounded, the sick, or persons deprived of their liberty is prohibited”

@LCourtoisICRC addressed the opening ceremony of Deepfake and You at the #UNHQ",2024-10-14
"The ongoing violence must end. Disarming the FDLR is critical for civilian safety. Tshisekedi, act now! #TshisekediAgainstPeace #DisarmFDLR",2024-10-11
"Canada is deeply disturbed by the escalation in the Middle East. The violence must end.

We continue to call for a ceasefire, access for humanitarian aid, civilian protection, and a diplomatic solution for sustainable peace and security for all.",2024-10-16
"There’s violence and there’s violence though. 

Insurgency against a military or infrastructure is violence, sure.

Sending civilian-targeted death squads and rape gangs against your enemy is a whole other level.

And Coates and others ignore these distinctions. That’s nuts.",2024-10-11
"A Gazan childhood is plagued with incitement toward hate and violence.

Our commando troops located Hamas weapons, grenades, magazines and vests in a civilian home used as Hamas terrorist infrastructure. Some of the weapons and combat materials were located in a bedroom next to",2024-01-06
"In Odesa, people in black uniforms very similar to the police beat a civilian.",2024-06-15
"The terrorist shot towards civilians on route 4, one of Israel’s main highways, injuring at least two people. An armed civilian in the area shot and killed the terrorist.

Guns don't bring bring violence when they're in civilian hands they actually save casualties",2024-10-15
"The last three weeks have seen a horrendous escalation in violence in Lebanon.

UNICEF’s Deputy Executive Director, @‌TedChaiban, calls for an end to violations of international humanitarian law, protection of civilians and civilian infrastructure and a ceasefire.",2024-10-14
"Day-2 - Civil War Pakistan

Multiple Civilians killed or injured as PAKISTAN ARMY opens fires on demonstrations. 
#Pakistan #protest #imrankhan #PTI",2023-05-10
"The map depicts disturbances in Amhara, Afar, and Addis Abeba from September 28 to October 4, 2024, with colorful dots denoting conflict, civilian violence, and protests, with potential reporting delays.",2024-10-14
"violence? ‘violence’ is starving over two million civilians much of which are children and depriving them of aid, ‘violence’ is completely disabling a healthcare system in a nation who’s people you are actively attacking, ‘violence’ is perpetrating genocide and ethnic cleansing.",2024-05-13
"The escalations of violence in the Middle East are horrifying

We reiterate our calls for an immediate ceasefire, the protection of all civilians, and consistent respect & adherence to IHL

All civilian life is equally precious, all states hold the same obligations to protect it",2024-10-02
"Good exchange of perspectives with President @raisi_com of Iran on the difficult situation in West Asia and the Israel-Hamas conflict. Terrorist incidents, violence and loss of civilian lives are serious concerns. Preventing escalation, ensuring continued humanitarian aid and",2023-11-06
"They broke a Santa Claus while looting and destroying a civilian home, which means the home MIGHT even be a Christian household. Are evangelicals too busy promoting this kind of violence? By sheer numbers MOST zionists are evangelical, they want judgement day to come using Isreal",2024-10-12
"1/3 For the past year, there has been abhorrent civilian violence and destruction across Gaza, Lebanon, and Israel. We loudly join our partners’ collective call for safety, dignity, & freedom: this includes protection from genocide & an immediate ceasefire.",2024-10-07
"According to recent reports, the Anglophone crisis in Cameroon has significantly increased civilian casualties. There were no reported civilian casualties in 2017, but then separatist fighters' violence dramatically increased, with over 300 civilian fatalities recorded in 2023",2024-10-14
"The third day of Pakistan Army’s constant bombardment on civilian populations in the Lanjo and Seghari areas of Sui, Dera Bugti, Innocent lives are being targeted. The world must not stay silent on this violence. #DeraBugti #HumanRights #StopTheViolence #Balochistan",2024-10-09
