Tweet,Date
"Narco attack on the U.S. border. The cartels carried out simultaneous attacks in Tijuana, Mexicali, and Tecate. 

https://x.com/7Chainn/status/1558304434945265664/video/1…",2022-08-13
"More context:

The Jordanian truck driver had a small pistol that both the Jordanian and Israeli border police missed when they checked his truck. Once he crossed the Karama Crossing from Jordan, he opened fire on three Israeli border police officers. All three were shot in the",2024-09-08
"Three soldiers martyred in cross-border attack from Afghanistan

Read More: https://bit.ly/3k1dUS2
#arynews",2022-04-23
"Jordanians distribute sweets in celebration of the shooting carried out by a Jordanian truck driver at the Karama Crossing, during which he killed 3 Israeli border officers.",2024-09-08
"𝗕𝗥𝗘𝗔𝗞𝗜𝗡𝗚:

Migrants Storm U.S. Border. 

Illegal aliens charge at American troops guarding the El, Paso Texas border and overwhelm the first border defense razor wire shoving the guards out of their way and charging past them. 

Source: NY Post",2024-03-21
"
This is a must listen. 

Ireland is coming to a cross roads and we’re coming to it fast. 

It’s aledged that migrants attack a bar man, a hurling coach and his wife.",2024-05-07
#BREAKING: Police sources in the United States are saying that the explosion at the border was TERRORISM. Both alleged perpetrators are confirmed dead while one border security officer was injured.,2023-11-22
Curious! Hamas is claiming they launched a cross border attack on the armoured buildup east of Khan Younis. Also this wasn’t done by drones but by ground forces. Significant given the troop buildup and extra surveillance along the entire border. But equally telling that they,2023-10-14
Lots of explosives found in vehicle in attempted Terrorist attack at New York Canada border. Tucker Carlson,2023-11-22
"He was the LAL ( Son ) of Bharat 
He was a Bhadhur ( Brave) !
He was a Shastri ( the learned one )
How many of you celebrate and remember the birthday of a man :
who surprised the world leaders by ordering our forces to cross the international border and attack Lahore !
whose",2024-10-02
" According to documents reviewed by the New York Times, Hamas originally planned to launch a major cross-border attack in 2022 but pushed off the invasion until October 7, 2023 in an effort to enlist Iran and Hezbollah to join the attack.",2024-10-13
"JUST IN — ""Russian President Putin issues warning to Ukraine and NATO. 

""Russia would consider using nuclear weapons if it gets reliable information about start of mass cross-border attack by air from strategic and tactical aviation, cruise missiles, drones and hypersonic",2024-09-26
"Lebanon’s PM Najib Mikati says his country is ready to bolster the army’s presence and assert its sovereignty in the south after any ceasefire, adding that Israeli troops are making brief cross-border incursions.
#Israel #Lebanon #Hezbollah 

Read more: https://ara.tv/c5r53",2024-10-15
"Just weeks after the deadly Hamas terror attack on Oct. 7, 2023, and Israel's subsequent invasion of Gaza, border patrol agents were warned of related actors attempting cross into the U.S. But did it happen? NewsNation's @VenturaReport has more.

MORE: https://trib.al/afTTT9Q",2024-10-07
" #PUTIN: #RUSSIA WOULD CONSIDER USING #NUCLEAR WEAPONS IF IT GETS RELIABLE INFORMATION ABOUT START OF MASS CROSS-BORDER #ATTACK BY AIR FROM STRATEGIC AND TACTICAL AVIATION, CRUISE MISSILES, DRONES AND HYPERSONIC WEAPONS",2024-09-25
"People attended the Remembering 7 October memorial event in Hyde Park yesterday.

Hamas undertook a cross-border attack on Israel on 7 October 2023, in which 1,200 people were killed and some 240 others were taken hostage.",2024-10-07
"According to documents reviewed by the New York Times, Hamas originally planned to launch a major cross-border attack in 2022 but pushed off the invasion until October 7, 2023 in an effort to enlist Iran and Hezbollah to join the attack.",2024-10-13
"6 years ago when Gadi Eisenkot was still the IDF chief of staff, I remember during a speech at the site of a recently located Hezbollah cross-border attack tunnel he said ""if Hezbollah knew what we know about them they wouldn't sleep at night"". 

Turns out he wasn't exaggerating.",2024-09-30
"Hamas planned a far deadlier assault than October 7, delaying for Iranian support.

Documents reveal a cross-border attack targeting military and civilian sites in Israel.

Conflict escalates as Israeli forces clash with Hezbollah amid rising casualties in Gaza.",2024-10-13
