Tweet,Date
"TO: @metpoliceuk @MetCC
URGENT ASSAULT REPORT
IMMEDIATE ACTION REQUIRED 

Today at the demonstration 2 people were holding a sign up (please see the video below. Its self explanatory). They were harassed and eventually been assaulted to the extend that one of the attackers",2023-11-11
"At this point, it looked like security’s plan was to open the doors to let in only a couple of dozen fans at a time. But each time they did it, everyone would rush forward. This is when the stampedes caused injuries, people passing out, and kids being hurt.",2024-07-15
"When will these attacks on OBIdients ever stop? OBIdients were attacked in agbor and nasarawa yesterday, those attacked sustained injuries especially in the head. This is very sad.",2022-10-09
FBA MAGA supporter gets jumped at MAGA rally by white men while everyone else stands by doing nothing,2024-10-03
A stampede at a GloRilla concert last night has left one dead and multiple injured ,2023-03-06
#SDCC attendees were attacked by facehuggers and chestbursters.,2024-07-29
Lady Is Randomly Assaulted By Man Before Receiving a Crowd Beatdown,2024-03-02
"Mob attacks and BEATS DOWN white man walking down the street..

If the races were reversed, this would be on EVERY NEWS STATION in America..

Change my mind..",2024-03-20
A racist attack in Hartlepool. The crowd causing trouble laugh and cheer as a person of colour is punched in the face. This is what happens when you appease the far-right.,2024-07-31
" BREAKING:

U.S. navy personnel from the USS Wasp abducted after disembarking in Izmir, Turkey

The crowd begins to chant anti American slogans after the attack",2024-09-02
"Estima-se que pelo menos 30 pessoas ficaram feridas, e muitas outras tiveram crises emocionais (hoje conhecidas como crise de ansiedade e pânico). Todas foram encaminhadas a um hospital.

2 fãs e a mãe de uma delas faleceram pisoteadas pela multidão.

7/14",2023-11-21
"Met Police attack man holding his child and then storm the crowd with horses.

Has anyone seen anything remotely similar at any pro-Palestinian marches, where attendees even shot fireworks at the police.

The police are creating anarchy, as they have lost the trust of the people.",2024-04-23
"Let’s stop the ""Saweetie caused a stampede"" narrative NOW! Her back was facing the crowd when fhe fight broke out.
You can hear ppl saying ""They’re fighting""
No Shooting took place but people started running as if thats what was happening! NOT HER FAULT @Saweetie",2024-06-25
"A lone supporter of Israel is attacked by a mob who violently beat him, surround him and scream ""Allahu Akbar""

Terrifying.

If they are foreign nationals - they should be deported - we shouldn’t accept violent extremists in our country",2023-10-14
"10/9初台Doors SPANISH METAL ATTACK振り返り1/4
トップバッターは国産メロデスの精鋭Unarmed Crowd ！メロディが秀逸すぎてオタクスマイルが止まりませんでした。スウェーデン直系サウンドなのは勿論00〜10年代前半頃の関西メロデス勢を彷彿とさせる洗練された美メロの連続で神でした…また聴きたい",2024-10-12
"The only pro-genocide people are the  crowd.

Stop telling your proxy to attack Israel",2024-10-17
"I think we’ll look back on the pager attack as the turning point in the propaganda war.

The fact that the anti-Israel crowd recycled the same accusations they’ve used for Gaza — “indiscriminate!”, “war crimes!” — reveals how hollow and unsubstantiated those claims always were.",2024-10-13
How did they even allow this to happen? Guys on bikes riding into a crowd of ppl.,2024-04-08
"10/13/90:  

Randy Savage, now firmly in ""the shirt era"", takes on Dusty Rhodes again. 

This time however, young Dustin Rhodes is in the crowd and he is the victim of an attack at the hands of Ted DiBiase and Virgil.",2024-10-13
"Mob attacks people leaving Kyle Rittenhouse event.

Imagine a mob of white people rushing an event screaming and inciting violence against any other race. Imagine the mass hysteria that would follow.",2024-03-21
"Gang attack on lone white man - thankfully, security guards were on scene https://youtu.be/1mOX5VbP_T4?si=1fgGP8JR9337X_GD…",2023-11-07
"Remember that shocking attack on police at Manchester Airport this summer? Thus far, the two young men who rained blows on officers have got away scot-free. Not any more. Reform UK will crowd fund a private prosecution! ",2024-10-07
"Christians Attacked and Bible Torn in Church Attack in Delhi During Sunday Service

A 100-strong mob surrounded the police station in Delhi’s GTB Nagar for several hours and raised provocative slogans as the pastor and injured persons reached to file their complaint.",2023-08-21
"I'm not sure what's more disgusting..

1 - That Trump mocked the attack on Paul Pelosi in a speech last night.

or

2 - That the crowd cheered when Trump mocked the attack on Paul Pelosi in a speech last night.

The lack of empathy, lack of a moral compass and lack of humility",2023-09-30
Another view of the crowd as they attacked Speed before the man jumped in the car,2024-07-03
"Almost had a panic attack once I got out, that was probably the worst crowd I’ve been in the women were kind, the men trying to protect the women were not, I kept getting body checked and then Will encouraged crowd surfers (which I get it, I just couldn’t handle it)",2024-10-13
"When 1st CD1 candidate John Avlon told a crowd in March that he wanted to make life easier ""in"" — not ""on"" — Long Island, he handed his opponent an attack line uniquely commonplace to the eastern Suffolk district",2024-10-12
