Tweet,Date
"Russian tanks are getting more orky and more effective. This one has a massive armored house around it, with mine rollers and an EW pod on top to disable attack drones. It would probably take a direct artillery hit or tank shell to take it out.",2024-04-17
Deep State Planning To Undermine 2024 Election Integrity Under Cover Of Preplanned Cyber Attack,2024-08-03
Here’s a fun little Russian cyberattack.  Goes directly to malware. It’s designed to fish in Ukraine supporters and Venezuelan democracy supporters and infect their machines by clicking on a link that LOOKS like a photo or video. Bastards.,2024-08-08
"Not just Fb & IG.
Looks like most of the services took a hit in last 30-45min.
#CyberAttack?",2024-03-05
"Types of Cyber Attack : 
1) - Phishing
2) - MIM Attack
3) - Cross Site Scripting XSS
4) - DDos Attack
5) - AI Powerd Attacks
6) - Password Attack
7) - Ransomeware Attack
#infosec #CyberSecurity #Hacking #cyber #infosecurity #Pentesting #nmap #cyberattack",2022-05-22
"I’ve spent the last hour thinking my Facebook & IG were hacked, bitch THE RELIEF knowing it’s fucked up across the board??  Does anyone know what happened?? Cyber attack?",2024-03-05
There’s been a continuous cyber attack on SK!!!,2024-08-15
"CVE-2024-26229: An attacker who successfully exploited this vulnerability could gain SYSTEM privileges.

PoC
https://github.com/varwara/CVE-2024-26229…",2024-06-11
"BREAKING – Reportedly, the entire Western world has been hit by a massive cyberattack

London Stock Exchange reports technical glitches

Spain reports computer incidents at all its airports

Berlin has grounded all flights

Major US airlines ground all flights 

Flights",2024-07-19
"BREAKING:

Christian Lebanese hackers launch a cyber-attack against the Beirut Airport, forced it to close down.

Messages appeared at all screens, condemning Hezbollah & Iran for trying to drag Lebanon into war with Israel.

Message in comments ",2024-01-07
Cyber attack?,2024-03-05
"اہم ترین 

پنجاب میں جاری کرائسس کو asymmetric warfare یا cyber attack بھی کہا جا سکتا ہے 
یہ سب کیسے ہوا؟
 اور یہ ہماری نیشنل سکیورٹی کے لیے کیسے ایک تھریٹ اور حکومتی اداروں کی ناکامی ہے
 اس پر ایک چھوٹی ویڈیو بنائی ہے
 اسے سنیں شئیر کریں زیادہ سے زیادہ والدین تک پہنچائیں",2024-10-17
"Developing 

Hezbollah communication devices across Lebanon exploded, causing devastation that even reached hospitals. The attack was a cyber operation carried out by Israel.",2024-09-17
"PREDICTIVE PROGRAMMING IN THE NEW MOVIE ""LEAVE THE WORLD BEHIND""

A Hidden QR code appears briefly over a cyber attack power outages map during the movie. This may be worth taking a closer look. We know they have to tell us.",2023-12-12
"This ship was cyber-attacked. 

Lights go off and it deliberately steers towards the bridge supports. 

Foreign agents of the USA attack digital infrastructures. 

Nothing is safe. 

Black Swan event imminent.",2024-03-26
"REMINDER 

It was only a few days ago that the World Economic Forum warned of a ‘Global Cyber Attack’. 

We’ve had flights all grounded in U.S this morning because of the technical issue.

No coincidences. I expect more coming. Stay prepared. ",2023-01-11
"««« Massive cyberattack underway!! Social Security Administration is facing a massive technical meltdown, affecting nearly all of their electronic systems nationwide, since yesterday »»»",2024-09-07
"This could change the way you defend your organization 
What happens when you put  940+ corporate teams and 4,900 security professionals to the test? Thanks to our annual Cyber Attack Readiness Report, you are about to find out: https://okt.to/wD03eY
#CyberAttack #HTB #Cyber",2024-10-17
Cyber Attack Hits the Largest US Public Water Utility,2024-10-17
" NEW: A cyber attack has hit 20 train stations across the UK

Passengers trying to access the WiFi are shown a screen detailing recent terrorist attacks in Europe",2024-09-25
Cyberattacks on hospitals in several US states are currently underway. The World Economic Forum magically predicted this years ago. “Pay close attention to the frightening Scenario…of a Cyber Attack…” -Klaus Schwab,2023-08-04
"Is Paris under a cyber attack? 

No power!",2024-07-27
" Cyber Attack?

Looks like all major service providers like AT&T, Verizon, T-Mobile, and US Cellular are reporting system outages.
Looks like Starlink is making its case. 

But you all should not be surprised. Expect things like this to ramp up. Remember those under water",2024-02-22
Update: Suspected Chinese cyberattack that has caused widespread global malfunction in computer servers has significantly impacted hospitals and other healthcare services worldwide!!,2024-07-19
"Reports of computer failures are coming in all over the world. It seems to be related to problems at cyber security firm CrowdStrike. The glitch forced several major airports to cancel flights. Also banks, stock exchanges and media outlets are affected.",2024-07-19
Chinese state-sponsored cyber actors have actively targeted U.S. & allied networks as well as software & hardware companies to access sensitive networks & steal IP. Here’s a rundown of the top exploited vulnerabilities--mitigate your risk now. http://go.dhs.gov/ZTb,2022-10-06
"Per my understanding, this is NOT a cyberattack. Seeing IT people calling it that is hilarious. They’re literally saying this is not what it is.",2024-07-19
Pay attention to this: A cyberattack has forced hospitals in multiple states to close their emergency rooms & divert ambulances already en route. The hospitals are relying on paper and pencil until the systems are back up — likely not until next week.,2023-08-04
"#cyberwar attacks can come in many forms.
Hacking.
Infrastructure Damaging.
Disinformation.
Fake websites.
Fake social media.
SMS phishing in addition to email.
Videos w malware.
Worms.
Denial of Service.
Domain Level attacks.
USB Stick + personal byod attacks.
Deep fake videos.",2022-03-17
