Tweet,Date
"Distance doesn't separate people...Silence does.

Together, we can prevent bullying, suicide, and violence
Learn more http://TheCamelProject.org
#EliminateBullyingBasedViolence #Kindness #Creativity #empathy #humanity",2024-09-05
"There’s a myriad of ways in which we deliberately disconnect ourselves from the violence we cause & from the victims of that violence; from distance, to invisibility, to euphemistic words & flawed excuses but one thing remains intact; our accountability

#EndSpeciesism
#BeVegan",2024-09-22
"1/
Deanne Criswell, the head the U.S. Federal Emergency Management Agency says she made Equity her priority, then FEMA held DEI training saying the U.S. is rooted in extreme violence and White Supremacy is in almost every institution.

Woke activists hijacked FEMA,

A Thread",2024-10-04
"Rape culture isn’t about ‘monsters’ lurking in the dark. It’s about everyday men, across all walks of life, and a system that shields them from accountability. 

Monsterising rapists dehumanises them, allowing other men to distance themselves and avoid addressing male violence ",2024-09-21
"your violence feels like kisses to me, your silence makes it harder to breathe, your distance feels like i'm not enough",2024-10-11
"men on the right want to hide their porn consumption, men on the left want to hide the nature of it. 

both seek to distance themselves from the sexual violence they consume.",2024-08-20
When will this white-on-white violence end. barbarians.,2024-09-15
"There is zero violence online.

It cannot be possible to charge someone with 'online violence', as violence requires physical force.",2024-08-10
"I’m an American who has lived in Europe the last 5 years. It’s mind boggling to see the continual gun violence in the US from a distance. And it all comes from the lack of gun control which is from  the GOP and their donors.  
Society does not need guns to exist",2024-09-06
"PTM stands for peace and justice, not violence. We distance ourselves from TTP’s statement and will continue our peaceful fight for Pashtun dignity. #Peace #PashtunJustice #PashtunNationalCourt110ctober",2024-10-06
"your privilege does afford you the upperhand in intimate connections. especially with people who have less access to the same level of protection. if you’re misusing that to your advantage, that is indeed violence. it’s disregard for the other person’s safety and it is traumatic.",2022-09-03
The real definition of distance third......,2024-09-22
"“I don’t know where the humanity is. I feel like something more has to be done.""

Distance runner Joan Chelimo speaks with @AmandaDCNN about gender-based violence following the death of Rebecca Cheptegei.

https://cnn.it/4eiA24i",2024-09-13
"1/
The DOJ's Office of Violence Against Women has been taken over by woke activists.

Principle Deputy Director Allison Randall says""Racial Equity"" is one of her top priorities in solving domestic violence. And that the work she's doing needs to be done in an ""intersectional"" way",2024-09-23
"Structural violence and direct violence are said to be highly interdependent, including  family violence, gender violence, hate crimes, 
racial violence, police & state violence, terrorism, and war. 

It is very closely linked to social & economic injustices.
 
Ref: Galtung",2022-04-12
A woman went to meet her online boyfriend for the first time. She was stabbed 90 times.,2022-12-04
Guy assaults woman and pulls a knife on her then her boyfriend came outside with a baseball Bat,2023-09-20
"This violent mob is attacking Jews at a Canadian University.

This the result of 50 years of Critical Race Theory, Diversity-Equity-Inclusion, and decolonization.

CRT, DEI, and decolonization are nothing but a lust for violence and revenge dressed up as a call for justice.",2023-11-08
"This is why it bugs me when people say abuse is only physical

Non-physical abuse often leads to physical abuse

And physical abuse is the biggest red flag for potential homicide",2024-07-13
So what he’s not saying is that this man beat his estranged partner to death with his bare hands…Ballina 2023 - the first woman murdered by an intimate partner this year- heartbreaking ,2023-01-04
"“The aim of [online] violence and abuse is to create a hostile online environment for women with the goal of shaming, intimidating, degrading, belittling or silencing women.”

It is, according to Amnesty International, a human rights violation.
https://amnesty.org/en/latest/news/2018/03/online-violence-against-women-chapter-3-2/…",2023-07-31
One of the most aggravating experiences for the sub-saharans is when an outsider attempts to intervene and disrupt the brutally violent assault on an immobile body.,2024-08-17
"Watch who You Call your Friend! Killer, 21, who was caught on CCTV fleeing with huge hunting knife moments after stabbing his friend, 24, to death in row over a phone call is jailed for life ",2023-05-29
"Beaten to death outside of a convenience store..

Endless bloodthirsty violence from the same suspects.

Notice the headstomping thing again? Even after he was already knocked out. 0 regard whatsoever for human life.

It's not a fight to them, it's attempted murder everytime.",2024-03-12
"your violence feels like kisses to me, your silence makes it harder to breathe, your distance feels like i'm not enough",2024-09-22
"Os presento al ataque 'Hands-off Remote Attack', un tipo de ataque que destaca por su naturaleza sencilla y pasiva.

Mediante este ataque, el atacante recoge información crucial de su víctima sin tener que hacer nada.",2023-10-23
"This idea—that distance/proximity, both geographical and cultural, is ethically significant—is an insidious one worth unpacking. Familiar claims that dropping bombs is morally superior to, say, stabbing, are again supposedly about the distance between perpetrator and victim.",2024-03-13
"mé when
YOUR VIOLENCE FEELS LIKE KISSES TO ME
YOUR SILENCE MAKES IT HARDER TO BREATHE
YOUR DISTANCE FEELS LIKE I'M NOT ENOOOOOOUGH
YOU'RE GONNA BE SORRY WHEN I'M GOOONE",2024-10-07
"It’s not a co incidence that a group of BJP leaders come forward and incite violence against Rahul Gandhi.

BJP was quick to distance itself from Kangana, but hasn’t said a word on such hateful statements?

Does it mean Modi and Co are equally behind it ??",2024-09-18
"“Violence against women is everyday; ordinary men commit it.

Denial of that, enables men to distance themselves from the violence.” https://x.com/monaeltahawy/s/monaeltahawy/status/1832825674211397928…",2024-09-09
Repeated displays of such abhorrently barbaric conduct are utterly inexcusable. I don't care what anyone says⎯there is no good reason to continue beating on someone while they're in a defenseless and subdued state.,2024-06-22
"1/ 
Want to know how Woke activists take over buildings, smash windows, trash university campuses, and still have the press call them ""non-violent""? 

Well, as it turns out these are well trained activists using intelligent, highly developed tactics. 

Here's a primer:",2024-05-06
People know what they're doing. Disrespect comes in different forms. Verbal or physical really doesn't matter. When someone disrespects you choose distance over violence unless it's initiated by the other party. You shouldn't have to prove your worth for someone to treat you fair,2024-09-28
"A clip from the film, Denial, depicting the real words of racist anti-Semite, David Irving. 

There has always been a certain type of English intellectual who uses freedom of speech as a cover to spread poison, violence & fear. 

As now, as then.",2024-08-17
"Yet another day that I wake up and am reminded that so long as you commit violence through some level of distance and abstraction, you can slaughter hundreds of thousands and people will get mad at you for being upset about it. Frothing at the mouth to defend genocide.",2024-09-14
"The marchers in Ohio are
NOT PROUD BOYS !!!!
no colors, no chapter #

100% GLOWIES!!!
KEEP YOUR DISTANCE PATRIOTS, these feds want violence to break out.",2024-09-17
"Join us for an insightful session on 'Feminist Consciousness and the Crises of Gender-Based Violence in Modern India' with renowned expert Dr. Shabana Kesar, Asst. Professor Department of Women Education, Maulana Azad National Urdu University, Hyderabad.",2024-10-07
"It's not that difficult to understand why I was nominated for three #FreeSpeech awards in 2015 but these Tommy fanboys just crumble like flour. They're led by a gobshite with a Cocaine habit, inciting violence from a safe distance. They are a bad example to everyone!",2024-08-18
"TW// child abuse
A minor getting brutally beaten up by this man outside his school. Not only he beat up the kid, he hit the school runner aswell. Please gather around in central park dha-2 to stand up against this brutality.",2022-10-01
"i often lament my lack of self-continuity, my feeling of distance between my present self and past selves, but there is one common throughline: as far back as i can remember, i have been an acceptable target of violence. everything else about me may change, but that fact remains.",2024-10-09
"A group of colonial Israeli settlers stab a foreign solidarity activist and beat her up with an iron rod while she was helping Palestinian farmers harvest their olives in the village of Kisan, south of the occupied West Bank.",2022-10-19
"The best thing for normal, moderate anti-zoinists to do right now is to distance ourselves from neo-nazis. Our whole point is that wanton violence and genocide are wrong.",2024-09-19
"Bodies hanging like wet laundry, like skinned rabbits. Men mutilated, hunted, and murdered. The shortest distance between any two points separates violence and ruined lust.",2024-10-01
Gandapur’s statement further created distance and cultural tension between pakhtoon and Punjabis.  Hatred and violence they want …,2024-09-21
"People who have never been on the receiving end of military violence will see missiles and bombs landing in the distance and say things like “we should go inside,” as if that would make any difference at all",2024-10-01
"“…it is not the violence that sets a man apart. 
It is the distance he’s prepared to go.” - Forrest Bondurant",2024-09-04
"Whatever may be the reason… just don’t get off the car…

Even if it’s not your mistake, don’t fight on the roads for justice…

Your car is your shield, stay intact. Don’t engage in violence, just keep your distance.

GOONS GOONS EVERYWHERE",2024-08-20
"Sooooooo, had to call the cops on a bitch tonight... they havent pulled up yet, after an hour or so, but the sirens in the distance (for something else) scared her away...

What I look like with a domestic violence charge? I dont.",2024-10-14
"Kids in the Hall: Head Crusher: The Dems may start ""Head Crushing"" from a distance. I've heard it gets stress from losing- out of one's system, without causing real harm & violence. this is FICTION for all you Hard A** out there. #MAHA #MAGA https://youtu.be/8t4pmlHRokg?si=ysZkOrYo52GwcUQH… via @YouTube",2024-09-16
"Bodies hanging like wet laundry, like skinned rabbits. Men mutilated, hunted, and murdered. The shortest distance between any two points separates violence and ruined lust.",2024-09-21
"""It's not the violence that sets men apart. It is the distance he's willing to go.""



‍",2024-09-25
"The U.S. would be wise to keep a distance from the spiral of violence in the Middle East. 
https://tonybayertoons.com/2024%201007%20big.htm…
#cartoon #drawing #art #illustration #ArtistonTwitter",2024-10-08
"My petty ass is about to drag a kid who stalked and terrorized my friend’s daughter for years. The school and cops did nothing, and she lived in fear until he finally threatened to shoot up the school and was expelled. He’s gaslighting and playing victim. I’ll post more tomorrow",2021-12-21
"We're seeing increasing projection of 'enemy' onto those seen as weak or 'other'. People who are angry, afraid or in pain often want to inflict hurt. This stuff so often trauma related. 

Terrifying & heartbreaking that violent incidents are becoming more & more widespread. 

 /2",2021-10-28
"I think people forget that otters are mustelids and are really, really viscous! 
They’re lovely to see from a distance but this is actually nightmarish.
Anyone who has chickens knows otters are formidable and mad for violence.
They’re also bloody huge!!!
They’re a meter long!",2024-09-12
YOUR VIOLENCE FEELS LIKE KISSES TO ME YOUR SILENCE MAKES IT HARDER TO BREATHE YOUR DISTANCE MAKES ME FEEL ALL NUMB IM CRAVING YOUR TOUCHHHH,2024-09-07
"[#cw: domestic violence]

strangulation is a major predictor of fatal domestic violence https://wthr.com/article/news/crime/manual-strangulation-is-the-biggest-sign-domestic-abuse-will-turn-deadly-experts-say/531-0a9a92c8-a0da-418a-b81e-a3d80ddacf38…",2023-03-26
"It’s happening tomorrow!

Join us for an exclusive masterclass on “Feminist Consciousness and the Crises of Gender-Based Violence in Modern India” with esteemed expert Dr. Shabana Kesar at 4 PM.",2024-10-09
"your violence feels like kisses to me, your silence makes it harder to breathe, your distance feels like I'm not enough",2024-09-13
"Homura is not a yandere, she sure is obsessive regarding Madoka but the term ""yandere"" is associated with possessiveness and violence. Homura is neither possessive nor violent, she tries to distance herself from Madoka and doesn't resort to violence  most of the time.",2024-10-02
"A woman ought to be treated with the highest regard and elegance. A man who resorts to violence or exploits a woman forfeits any claim to respect. Indeed, I would find it repugnant to associate with such an individual. Additionally, I distance myself from the religious zealot,",2024-10-03
"Doing this in the current US climate is inciting state violence against protesters, and the use of the legal system against them as “terrorists.” An American “academic” egging this on from the safe distance of the UAE is beneath contempt and should be shunned",2024-09-08
