Tweet,Date
When you're trying to enjoy a ciggie in the beer garden and Keir Starmer launches a drone strike.,2024-08-30
"Israel has the drone ability to strike a kitchen table in Tehran from thousands of miles away.

They chose to drop 2000lb b0mbs on a school sheltering displaced women and children while they were praying.",2024-08-11
"A devastating and accurate  drone strike  by the ""Crows"" 100th OMBr, buries a building where a team of 9   enemy drone operators were working from.",2024-05-21
" Al-Qassam Brigades publishes a drone strike operation video : 

Scenes from targeting an enemy reconnaissance patrol with a ""suicide"" Al-Zawari drone east of Khan Yunis.",2024-10-13
BREAKING: PRIME MINISTER OF LEBANON CALLS THE BEIRUT DRONE STRIKE A NEW ISRAELI WAR CRIME,2024-01-02
"Targeted drone strike in Jenin, Judea and Samaria",2024-08-17
"Footage of the event, moments after the drone struck.",2024-10-13
"One of the coal-powered thermal power plants (TPP-3) was hit during last night’s drone strikes. 

There are also reports that a mix of Shahed-136 and Arash drones were used in the attack. It would mark a new stage of the drone wars as Arash has a much larger warhead and range",2022-12-19
"BREAKING: ISRAEL DOING DRONE STRIKE IN WEST BANK

Two Palestinians were killed in an Israeli airstrike that targeted a vehicle in Jenin, West Bank.

They are targeting Palestinians EVERYWHERE!",2024-08-17
"Did you hear this one?
Joy Behar fears if Trump wins, his ""Air Forces"" will drone strike the View...Can u imagine her therapy bills? 
Oh & they will not be dressing up for Halloween, 
cuz it's such a dark time for them... 
IDK... do they need costumes?",2024-10-17
"Drones buzzing over Dir Al-Balah
Multiple air strikes east of Khan-Younis",2023-11-22
"BREAKING: Israel has just hit a car in Southern Lebanon with a drone strike, carrying 2 UN Observers

The UN Observers have been killed.",2024-03-30
"US ATACMS Cluster munitions strike Russian Civillians on a beach near Sevastapol

A US recon drone had scouted the area. 

5 are dead, including children, 124 people have been reported injured five of them children who are in intensive care.

US weapon, US Intel, Russian Dead.",2024-06-23
"This video was taken a few minutes before the drone strike. 

It appears this whole cell was taken out in one shot. 

Two commanders were among the eliminated.",2024-07-23
"MAGA:
“We’re gonna CIVIL WAR!!!!”
U.S. Military:
“Cool, cool, we’re going to shut off your electricity, internet and gas supply, shutdown the highways, trains, airports and seaports
and drone strike the crap out of those “secret compounds” you go play soldiers at on weekends”",2024-09-02
"If it’s true about Hillary Clinton’s  involvement in a coup to oust Biden/Harris for another shot at the presidency, it won’t be her first time 

•Threatened Bernie Sanders 
•Russia hoax dossier 
•Seth Rich’s murder 
•Benghazi attack 
•Wanted to drone strike Julian Assange",2024-07-21
"•Worsened race relations 
•Islamic extremist sympathizer 
• Armed terrorists in Benghazi who murdered his Ambassador. Lied about video
•Committed crimes  against humanity with drone strike program 
•9 terrorist attacks on his watch 
•Ignored HBCUs. Did ZERO for Blacks",2024-04-02
"Presumably, due to unprofessional actions of the electronic warfare of Russians, the UAV deviated from its course and 
  d e n a z i f i e d   several apartments.

The moment of the drone strike on a high-rise building in Ramenskoye and the consequences",2024-09-10
Drone footage of the strikes from the last hour,2024-09-04
"ФПВіхою розібрали на молекули кацапську БМП-3  разом з екіпащем
 ББС Strike Drone Company 47 ОМБР",2024-10-17
"#TigrayUnderDroneAttack: Medical Director of Sihul Hospital in Shire, Dr Fisehatsion Gebremedihin, said Tuesday's drone strikes, by Eritrea and Ethiopian forces on an IDP camp in Adi Daero, #Tigray, has killed over 50 and injured at least 87.",2022-10-06
"Amid government denials and media censorship, survivors and investigators reveal the site of a deadly drone strike in northwestern Ethiopia-marking a grim milestone a conflict with over 300 civilian deaths. #AmharaGenocide #WarOnAmhara @UNHumanRights @amnesty @hrw @Reuters",2024-10-17
"Last night, air defense destroyed 11 out of 24 Shahed-types drones. Occupiers targeted critical infrastructure objects in the Dnipropetrovsk region.

UkrEnergo reports damages to one of its substations, leading to power outage for residential and industrial consumers in Kryvyi",2024-02-02
US soldier killed in Jordan drone strike ID’d as Georgia woman: ‘Munchkin will be missed’ https://trib.al/nwNuijU,2024-01-29
"Hebrew Media: 
Scene of the site of a drone strike at a Golani Brigade dining hall",2024-10-13
"On Oct. 14, 2011, Obama ordered a drone strike that killed Abdulrahman Al-Awlaki, his teenage cousin & 5 other innocent people as they were dining at an outdoor cafe in South Yemen

If Obama apologized for each of his civilian drone strike victims every day, it’d take him 3 years",2024-10-17
"Politico writes that Biden has prepared retaliation options against Iran for the drone strike that killed 3 US soldiers.

One option is large-scale & sustained attacks against Iranian & Iranian proxy group targets in Syria & Iraq.

Sinking Iranian naval assets is another one.",2024-01-30
"Confirmed by all news outlets: Saleh al-Aaruri was assassinated by a zionist drone strike in Beirut, in Lebanon.",2024-01-02
By far the biggest hit I’ve ever witnessed in person.,2024-07-23
It is reported a drone attack is happening on the airport. Air defense and small arms to shoot them down are active.,2023-08-29
"#Iraq / #Palestine / #Israel : ""Saraya Awliya al-Dam"" (part of Islamic Resistance in Iraq) released a video and conducted a drone strike an Israeli position.

The group seems to be armed with #Iran-made  'Meraj-532' kamikaze drones #China-made  Type 56-1 assault rifles.",2024-10-17
"BREAKING: The U.S. launches retaliatory strikes in Middle East in response to the drone attack that killed 3 American troops, U.S. officials tell NBC News",2024-02-02
"CCTV Footage was released earlier today from a Shop in Central Baghdad, Iraq showing the Drone Strike on February 7th by a U.S. Air Force MQ-9 “Reaper” utilizing a AGM-114R9X Hellfire Missile, which resulted in the Death of Kata'ib Hezbollah Field Commander, Abu Baqir al-Saadi as",2024-02-23
"An Israeli Airstrike tonight on the Town of Kfarchouba in Southern Lebanon has reportedly Destroyed a Monument to Former-Commander of the IRGC Quds Force, Qassem Soleimani who was Killed by a U.S. Drone Strike in 2020.",2023-10-18
"Hezbollah launched a drone strike on a community in northern Israel.

7 Israeli Arab Muslims were wounded.

The Islamic regime in Iran is attacking Muslims.",2024-04-17
Detonation of the ammunition of a pair of Russian BMPs as a result of FPV drone strike in the Kursk region!,2024-10-17
"Pentagon forced to admit that a drone strike in Syria didn’t actually result in the death of an Al Qaeda senior leader like they originally claimed. 

Instead, they bombed a 56 year old sheep herder with 10 kids. 

These people are fucking murderers.",2023-05-19
"Each barrage of missiles further exhausts Russian stocks. However, they are still able to produce new ones. We can and must kill their missile and drone industry with a mass sanctions strike! I urge G7 and the EU to implement relevant sanctions proposed by Ukraine without delay.",2023-01-14
"Joe Biden declared in January that ""if you harm an American, we will respond"" 

Israel has now murdered Jacob Flickinger, a US military veteran and aid worker, in a targeted triple tap drone strike

Biden responded by calling for Flickenger's killers to investigate themselves",2024-04-04
"Iranian proxy groups have killed 3 U.S. Army soldiers & wounded 30+ more in a suicide drone strike in Jordan

The U.S. won’t tolerate such deadly attacks & there are more & more reports indicating that a major wave of airstrikes is imminent in the region",2024-01-28
"BREAKING: Israel has just hit a car in Southern Lebanon with a drone strike, carrying 2 UN Observers

Both UN Observers have been killed

Credit: @Andre__Anthony",2024-03-30
"BREAKING:

3 American soldier killed and at least 24 wounded after a suicide drone strike on a U.S. base in Jordan right on the border with Syria.

Iran and it’s proxy groups are the main suspects.

Major escalation!

",2024-01-28
"NEW: American citizen & aid worker Jacob Flickinger killed by an Israeli airstrike in Gaza. 

Despicable. 

Flickinger was one of seven killed after the IDF targeted a three-vehicle aid convoy with a drone strike. 

The development is even more concerning considering the convoy",2024-04-03
"BREAKING:

Israel uses a drone to wipe out senior Hamas leader Saleh al-Arouri and a number of aides as they were meeting with Hezbollah officials in Beirut, Lebanon.

Hamas can’t run, they can’t hide.

Israel has promised to strike them wherever they are",2024-01-02
"BREAKING:

High-level commanders of the Iranian proxy group Kataib Hezbollah were just killed in a U.S. drone strike against Baghdad.

The group is responsible for the suicide drone attack against a U.S. military outpost in Jordan which killed 3 soldiers",2024-02-07
"BIG NEWS  200 Rohingya Muslims have been kil*led with an ""Unknown"" drone strike, when they were trying to leave Myanmar for Bangladesh.

They were trying to enter Bangladesh amidst turmoil.

Rohingya activists blame Arakan Army of Myanmar for the attack. Arakan Army denies",2024-08-11
"Modern Warfare 3 Streaks: 

- UAV
- Mosquito Drone
- SAM Turret
- Bomb Drone
- Guardian-SC
- Care Package
- Counter UAV
- Cluster Mine
- Precision Airstrike
- Cruise Missile
- Remote Turret
- Mortar Strike
- SAE
- Juggernaut Recon
- Wheelson-HS
- Overwatch Helo
- VTOL Jet
-",2023-11-03
"#BREAKING: US launches air strikes against Iranian IRGC and affiliates targets in Syria in retaliation for an earlier Iranian affiliated drone strike that killed one US contractor and injured five soldiers.

Initially everyone thought the attack was Israel. 

US service members",2023-03-24
"BREAKING: Multiple drone strike targets factories in Iran. Reports that the drones came from an Israeli airbase in Azerbaijan.

Do not doubt, this will escalate, and Russia will have to side with iran in a war against Israel.",2023-01-28
"BREAKING:

Poland unveiled its new suicide drone today.

Warmate-50 has a range of more than 1000 km and can carry a payload of more than 50 kg.

The drone made by @WBGroup_PL will be able to reach and strike Moscow from Ukrainian territory.

",2024-09-03
"The Houthis in Yemen decided to mess with Israel by launching their first ever deadly s*icide drone strike against Israel 2 days.

Moments ago, Israel decided to teach the Houthis a lesson ",2024-07-20
"24-year-old Kennedy Ladin Sanders was one of the 3 U.S. Army soldiers killed in the suicide drone strike against a U.S. military base in Jordan.

This is her mother writing on Facebook…",2024-01-29
 Detonation of the ammunition of a pair of Russian BMPs as a result of FPV drone strike in Kursk region!,2024-10-17
"Another attack by Russian terrorists this night. Recovery efforts are underway. The occupiers attempted a combined missile and drone strike on our country. Our air defenders responded effectively, shooting down five enemy missiles and more than 20 drones.

Such a result in",2024-06-12
"Odesa - the strike of a Russian drone on a residential building killed 12 people, five of them children: Tymofii, 4 months; Lisa, 7 months; Mark, 3 years old; Zlata, 8 years old; Serhii, 10 years old.

- murderer",2024-03-03
This is Fetterman's response to a country that just killed an American in a targeted drone strike.,2024-04-04
Another drone strike hit Cobi today killing at least 20 civilians & wounding dozens more. It shud be noted that drone strikes have never been used in military engagements but only to target civilian centers. The intention is to terrorize and punish the people. This is depravity!,2022-11-14
"Israeli media reveals that 50 year-old Yevgeni Perder from Belarus, who died in the Yemeni drone strike on Tel Aviv, was a murderous israeli sniper",2024-07-20
My heart has been heavy with the loss of three U.S. soldiers in Jordan this week. An Iranian-backed drone strike took their lives and injured dozens more. This is the result of warmongers in DC who put our young men and women in the crossfires of senseless wars — the same wars,2024-02-01
"This morning, Russia launched a massive missile and drone strike on 15 Ukrainian regions, primarily targeting critical civilian infrastructure and our energy system. 

There have been civilian deaths and injuries, as well as damage to energy facilities. Russia continues to wage a",2024-08-26
President Biden will perform one of the most solemn duties of his office when he attends the dignified transfer of the three American soldiers killed in Jordan this week in a drone strike that the U.S. has attributed to Iranian-backed militant groups.,2024-02-02
"Wow shame on @nypost for putting a picture of Taylor Swift and Travis Kelce making out on the football field above the headline regarding the 3 US Servicemen who were killed in the drone strike in Jordan yesterday. 

This is really vile. Our country has zero priorities.",2024-01-29
"Joy Behar thinks @realDonaldTrump wants to hit The View with a drone strike. Why would he want to do that? @TheView is the fossilized wing of The Museum of Numbskullary. If anything, President Trump would want to preserve that show so future generations can learn how galactically",2024-10-17
"Two drone strikes in a span of hours after COAS visit.. 

All link roads from KP, Gilgit and AJK being blocked through containers.

PM annouces SLA for tomorrow.

What's cooking..?",2023-03-15
"Ein größerer Ausschnitt zeigt, dass der Schaden wohl deutlich größer ist, Brandflecken an ehreren Stellen, die Flugzeuge im Freien sind verschwunden. Der Angriff wurde mit 70 Drohnen ausgeführt; die UA haben noch keine gesicherten Ergebnisse vorliegen",2024-06-15
"No, this was a strike on a private facility that had been turned into a military facility by the third assault brigade.",2024-09-01
Biden claims Iran had orchestrated a drone strike against a US military base in Jordan. Today Biden bombed targets in Syria and Iraq to avoid a direct confrontation with Iran. An attempt to look strong to his domestic audience. But the world just witnessed how weak US empire is.,2024-02-02
It’s clear it was an air/drone strike that killed him but Israeli media framed it as if their soldiers won a gunfight ,2024-10-17
"Eyewitnesses from the Amhara region recount horror as a drone strike wiped out families celebrating hours before. ""We had to collect their bodies piece by piece."" #AmharaGenocide #WarOnAmhara @UNHumanRights @amnesty @hrw @Reuters   https://negarit.org",2024-10-17
