Tweet,Date
"Ramadan has always meant an escalation of Israeli violence against Palestinians. This year, it could be an escalation of a brutal ongoing genocide in Gaza, and the final phase of ethnic cleansing.",2024-02-24
"""Both the communities have got completely polarised...."" reports @ndtv  
Lt Gen Rata further said the violence will continue until 4,000 looted arms are recovered.
Present ethnic conflict is a ""Political Problem"" and for peaceful solution, the political problem must be addressed",2023-11-21
"After the ethnic violence in Manipur last year, a lot of misleading news was being spread among the communities. We found in our investigation that there was no vandalism in the Sri Krishna temple in Kuki-dominated area Churachandpur. The priests were peacefully taking care of",2024-10-14
"Despite the ongoing 17+ month-long ethnic conflict in #Manipur, widely seen as state-sponsored violence under the BJP, achieving justice and peace through dialogue remains essential for any resolution in the conflict-ridden state. Still govermnent has putin zero. Efforts for",2024-10-16
"#tigray #TigrayFamine 
Security forces allied to Ethiopia's army are rounding up and killing #Tigrayan civilians in a fresh wave of ethnic violence in the country's brutal war, Amnesty International and Human Rights Watch said Thursday (AFP)",2021-12-16
"Manipur violence is an ethnic issue, an issue that Congress ignored for years, and now even their supporters are believing it.",2023-08-02
"Ethnic cleansing persists despite the truce in #Tigray. Civilians remain at risk as violence &displacement continue. Accountability is overdue #HumanRights
@UNOSAPG @HolocaustMuseum @mesiihiluf
#UpholdPretoriaAgreement
#EritreanTroopsOutOfTigray",2024-10-16
"The core of Manipur's violence is revealed in a chart, exposing a divisive agenda by BJP/RSS Hindu Supremacists.
Non-Hindu minorities, notably the Kuki/Zo Community, face targeted violence for land takeover. 
Urgent attention required to address this distressing situation.",2024-01-25
"Chief Justice Nagarathna 

On Bilkis Bano case - ""A Woman Deserves Respect""

On Sandeshkhali horror - ""Sandeshkhali case cannot be compared to Manipur ethnic violence""

",2024-02-19
"CONVERT OR DIE.

In this auspicious day of Kojagori Lakhsmi Puja, 1946 , the Hindus of Noakhali got the message..

and then most horrific violence , conversion and ethnic cleansing  took place . 

Noakhali GenOc!de  #NeverForget its consequences.

THREAD 

@monidipadey",2024-10-16
"The leading cause of the ethnic conflict is the looted arms and ammunition in the hands of criminals. Addressing the root cause is crucial to ending the violence. Hence, the dysfunctional state must be dissolved to create a just organization that does not discriminate against any",2023-08-28
This is in #Ethiopia The country is teetering on the brink of collapse due to the excessive ethnic tension deliberately engineered to bring this result. An Amahra person is being attacked by Ethinic Oromo which is sadly becoming a common scene in Ethiopia. #Eritrea #Africa,2024-04-17
"#UTVideo: The ethnic violence between Meitei and #Kuki communities in Manipur has claimed the lives of more than 200 people, of which 105 deceased persons are reported to be from the Meitei community, and at least 49 people are still missing, out of which 34 missing persons are",2024-05-03
