Tweet,Date
and when agatha has to fight rio to protect billy and she ends up dying. then rio gives her the kiss of death(gay explosion) at the end of ep 8 leading into agatha’s life with rio flashing before her eyes in ep 9.,2024-10-17
"JUST IN: 
“Earthquake” in Iran fits the profile of a nuclear test explosion.",2024-10-07
"""Little Boy"" exploded with an energy of approximately 15 kilotons of TNT (63 TJ) and had an explosion radius of approximately 1.3 kilometers which caused widespread death across the city of Hiroshima. About 70,000 people died from the atomic bomb in Hiroshima alone - and that was",2024-08-13
"Just found this amazing item on AliExpress. Check it out! 
$606.72 | 350W Foldable Electric Scooter for Adults Teens,Explosion-proof Tires,Dual Brake System Lightweight High Quality E-scooter
https://s.click.aliexpress.com/e/_EuhUOvB
#YIAYadult",2024-10-17
"The Fox News reporter who claimed the Rainbow Bridge explosion was a terror attack and that explosives were involved, is now retracting those claims, and is blaming her sources for giving bad information.  As of now, the false information is still on their web site:",2023-11-22
"""Niall and Harry""

Just found this amazing item on AliExpress. Check it out! 
$606.72 | 350W Foldable Electric Scooter for Adults Teens,Explosion-proof Tires,Dual Brake System Lightweight High Quality E-scooter
https://s.click.aliexpress.com/e/_EuhUOvB",2024-10-17
Cook the tomatoes down with some wine and a lil sherry vin with garlic and herbs… flavor explosion to add back to the crew #cryptosoupgroup,2024-10-17
"Weird how 7 year old Archie York in Newcastle sadly lost his life yesterday and nobody bats an eye …. But a celebrity dies and Facebook goes mad …. The world is fucked.

Picture of damage after the explosion

Archie York has been named locally as the seven-year-old boy who died",2024-10-17
"Hassan Nasrallah was the target. 

-Hizbollah leader believed to be in an underground bunker beneath Hizbollah headquarter in the southern district of Beirut the moment of the strike. 

-The explosion created a 3.9 earthquake         magnitude. 

-Assassination weapon: 
 JDAM",2024-09-27
"BREAKING 

Haifa could experience an explosion like the one in Beirut port in a war with Hezbollah 

Hezbollah breached Israeli air defences with a drone and discovered ammonium nitrate plants which, if hit, would have the same effect as a nuclear weapon explosion - Max",2024-06-21
"The fallen firefighter from last night’s home explosion in Sterling has been identified as Firefighter Trevor Brown, 45, of the Sterling Volunteer Fire Company. He has been affiliated with the LC-CFRS since 2016. @Chief600KJ",2024-02-17
yo this yaoi is lowkey fire,2024-10-17
"Just found this amazing item on AliExpress. Check it out! 
$606.72 | 350W Foldable Electric Scooter for Adults Teens,Explosion-proof Tires,Dual Brake System Lightweight High Quality E-scooter
https://s.click.aliexpress.com/e/_EuhUOvB
#drwfirstgoal",2024-10-17
"Godot has released a statement.

It was not a tweet that lead to the explosion of comments (not harassment). While it has replies, it was not a firestorm. They created that on their own.

It was their own actions by going on a reply hiding and blocking spree that was out of",2024-09-30
"For folks saying Bloodborne in response to this, do I ever have a movie for you! The 2001 French action/horror Brotherhood of the Wolf was actually cited by Miyazaki himself in an interview as an inspiration for the game, and the costuming is just absolutely exquisite.",2024-07-30
"Immerse yourself in the electrifying world of electro-pop with this dynamic playlist! Packed with infectious beats, shimmering synths, and feel-good vibes. DIGITAL SOUND MADNESS MIX #7 | ELECTRO-POP EXPLOSION — MUSIC THAT ELECTRIFIES THE SOUL  https://youtu.be/v0oFnWadezI
#nylonbomb",2024-10-17
"Holy shit..

The Russian town that is now the scene of an munitions depot explosion that could be seen from space this morning just had it's Municipal District's website changed to feature a photo of Ukraine's Intel Chief, Sir Budanov.",2024-09-18
"#BREAKING: Huge explosion following drone attack at military site in Toropets, Russia. 

#Toropets | #Russia

Multiple drones have struck a military site in Toropets, Russia, causing a huge explosion. Evacuations underway for nearby residents.",2024-09-18
"I honestly don't remember very well who helped Pancks escape from the court, since it was quite a long time ago... 
But I think it was Hayden and Miel.. and the explosion...

Or sheltober day 17 – done! :D

#Sheltermc #Sheltober #PancksMonas",2024-10-17
"We made some more tweaks to LEGO Fortnite :)

 Nerfed Brute's poison attack and Frost Scorpion's explosion.
 Critters have less health, and Spiders under rocks are more rare.
 Petting rams drops Heavy Wool.
 Grapplers can be used 30 times!
 More durability fixes!",2023-12-14
" BREAKING: Large explosion heard in Beirut, Lebanon.

ISRAEL JUST MADE A HUGE MISTAKE!",2024-07-30
Esto es lo que pasan los pobres perros durante el eco de una alarma/explosión.,2024-09-24
"For the amount of times he's brought back as Wolverine, it's a shame that Hugh Jackman never got another romp as Van Helsing.",2024-07-29
"People claim that the lack of craters at the Al-Ahli Hospital in Gaza, rules out an airstrike by Israel.

But JDAM (includes the MK.83 GBU-32) does have an airburst mode, which does not produce a crater.

It kills using shrapnel, shockwave and fireball from the explosion
1/2",2023-10-18
Show me your favorite Hezbollah pager explosion memes. ,2024-09-17
"Here is the @nytimes declaring, with no evidence -- and despite video evidence suggesting the explosion was caused by a defective Hamas rocket -- that Israel bombed a hospital. Height of irresponsible, propagandistic journalism.",2023-10-17
"James Cameron is set to direct ‘LAST TRAIN FROM HIROSHIMA’ as soon as ‘Avatar’ production allows him to.

The film follows the man who survived the atomic blast at Hiroshima, got on a train to Nagasaki and then survived a nuclear explosion in that city.

(Source: Deadline)",2024-09-16
"Podemos tener distintas opiniones del Rewind Hispano, pero que se parodie la explosión del Submarino Titan en el que falleció gente estamos de acuerdo en que es grotesco y mórbido ",2023-12-22
おはようございます,2024-10-17
"Ukraine destroyed one of Russia’s largest weapons depots.

A drone swarm struck the depot in Toropets in the Tver region, 480 km from the frontlines.

The explosion destroyed hundreds of S-300, S-400, Iskander & North Korean ballistic missiles, causing a 2.8 magnitude earthquake",2024-09-18
"this week has seen a friend die owing to complications with gastric band being fitted, another being swept away after kayak accident, my family being literally two streets away from an explosion and so when i say i almost broke today in front our our icon of our lady of sorrows…",2024-10-17
" ÚLTIMA HORA 

Yemen ataca Tel Aviv, capital de Israel 

Una explosión sacude Tel Aviv después de que se detectara el lanzamiento de un misil hipersónico desde Yemen.",2024-09-30
"*GIANT FIREWORK EXPLOSION*

The founder of @GoGalaGames @BitBenderBrink has joined @NeoTokyoCode as an s1 (the top level for founders)

Let's give him a warm welcome to the capital of crypto gaming 

If your a serious participant in crypto gaming, your here.

GFR GFR GFR",2023-12-05
"Siente el poder duro del Trap con #BigSoto 

Llega a Foro Puebla el 25 de Enero 

Boletos a través de Ticketmaster México ",2024-10-17
"#Sub17Fem | ¡CON EL PIE IZQUIERDO! 

La Selección Mexicana Femenil ha debutado en el Mundial desarrollado en República Dominicana con una derrota dolorosa  ante Norcorea . 

El próximo encuentro será el domingo 20 de octubre ante Inglaterra .",2024-10-17
" HAARP Turned On

“How can you say I’m getting ‘zapped’ without saying I’m getting zapped’

He’s absolutely correct - could this be part of the reason we’re seeing an explosion in cancers across the World?",2024-02-19
" Hamas release a video obtained by IDF soldiers' cameras, which shows the moments leading up to the landmine explosion which lead to the death of over 20 soldiers.",2024-01-24
Massive explosion in Russia illuminates the night sky,2024-09-18
"The aftermath of the chemical explosion is serious. This was taken in Gwinnett County a few mins ago. 
 @blossoming_beee",2024-09-30
"Wow, take a look at this completely inexplicable and totally mysterious sudden explosion in homicide occurring midway through 2020. Anybody know what might have caused this?",2024-10-16
"In the US, there's a rising incidence of industrial accidents and construction embarrassments.

Ohio chemical explosion
Airline runway incidents
Failed high speed rail
Fires from mismanaged forests
Million dollar toilets
$300M bus lanes
$3.5B subways

Why is this happening? ",2023-02-14
"Explosion filmed of the 2nd Twin Tower on 9/11/2001 with a handheld video camera.

Where is the plane? ",2024-05-18
"""The first animated sitcom on X"" entire reason for existing suddenly comes into sharp focus at this moment when the theme song goes thank god for Elon Musk, he's so insecure and he's bitter that real shows won't let him pay for his own fawning adoration self inserts any more.",2024-06-26
"I mapped out this spot that was leveled during the Ibadan Explosion 

It must have started from one of these three houses. ",2024-01-17
"Explosion du nombre de passages illégaux vers les USA en provenance du Québec

https://quebecnouvelles.info/explosion-du-nombre-de-passages-illegaux-vers-les-usa-en-provenance-du-quebec/…",2024-10-17
"i saw ""independence day"" in the theater in 1996, and friends, i will never forget the way the entire audience literally and ecstatically CHEERED when the dog escaped from the explosion. that dog could have won an election for president with like 95% of the vote in july, 1996.",2024-07-04
"#BREAKING: Numerous Emergency officials are on the scene after a chlorine explosion took place in or near a home multiple people have been exposed Hazmat has been requested 

#Eastlake | #Ohio 

At this time, numerous law enforcement and emergency personnel are on the scene",2024-06-13
"The explosion in Arlington, Virginia has a very creepy backstory. The man involved, James Woo, was known to the FBI because of his bizarre, incessant emails to US attorneys and members of government. He appears to be a far left follower of Noam Chomsky but I don’t think this was",2023-12-05
"#AHORA fuerte explosión en un apartamento de residencias Parque Guaraguao en #Guanta #Anzoategui
#endesarrollo",2024-10-17
Aftermath of the Ogun gas tanker explosion,2024-04-28
"This is not a ‘targeted attack’—this explosion is bigger than a city block in a densely populated civilian area.

Let me remind you: Germany filed for war crimes against Russia for a missile that killed **22** civilians. Israel has killed over 1000 since yesterday morning.",2023-12-04
" BREAKING: The Gaza Ministry of Health reports that due to the Israeli attack which caused the explosion of Hezbollah's communication devices, 40M children, 15M women, 10M elderly, 5M journalists, 200K UN workers, 50K sheep, and 1 unicorn were killed in Gaza.",2024-09-17
"Today, exactly 3 years ago, my family was awaken by an explosion and the alarm going off in the early dark morning hours. 

We would learn the #FBI SWAT Team with Drones and Flash Bangs were raiding our home in Southern California. No one in my home has ever been arrested or had",2024-01-16
"BREAKING:

HUGE new explosion as Israeli airstrikes hit another Hezbollah weapons depot in Beirut.

Why would you store these rockets and explosives among civilian homes in your capital city?

Many Lebanese people living in Beirut must be furious with Hezbollah.",2024-10-06
"When he was a child, Moses Buffalo Boy nearly lost his eyesight in a chemical explosion. As an adult, he seeks to transmute experiences like those into artwork that draws on his Lakota Sioux heritage and Philadelphia-area upbringing.",2024-10-17
"*ALERT* Its as if we are UNDER ATTACK in this country! Its coming from ALL directions!

*Major Hurricane Helene (Florida)
*North Carolina & Tennessee flooding (Asheville)
*Explosion at Georgia Chlorine factory
*VERIZON outage with ZERO explanation...

Yeah this is ALL",2024-09-30
"While we continue to collect information, our current assessment, based on analysis of overhead imagery, intercepts and open source information, is that Israel is not responsible for the explosion at the hospital in Gaza yesterday.",2023-10-18
Camarade en pleine explosion de créativité ,2024-10-17
"This is the first image captured of Chernobyl, taken 14 hours after the explosion on April 26, 1986.  

The photo was snapped from a helicopter assessing radiation levels over the disaster area. 

The image is grainy due to the intense radiation in the air, which began damaging",2024-03-16
"We Have Been Lied To About EVERYTHING

Testimony: Challenger Astronauts Allegedly Alive

“I think we all remember the Challenger explosion that took place in 1986 that tragically took the lives of all seven astronauts on board. It launched not too far from where we're standing",2024-05-29
In Tel Aviv now at the site. Some sort of explosion. Still gathering details.,2024-07-19
"BREAKING: Poop exploded everywhere landing on the road, cars, people, and pets the moment a sewage pipe pressure test in Nanning failed. This scene of horror shows feces falling from the sky after the initial explosion in China.",2024-09-27
9/11 - mainstream media news helicopter witnessing explosion then getting called in,2024-04-24
"La Prenda Más Famosa:
En 1873, Levi Strauss de Buttenheim, Alemania patentaba el pantalón de jean.
A mediados del siglo XIX, con 20 años, emigró a California coincidiendo con la explosión de la fiebre del oro.
En 1849, se produjo una desenfrenada llegada de inmigrantes internos",2024-10-17
"Today marks 1 year since the toxic train explosion in East Palestine, OH

Biden still hasn't bothered to visit 

Last year, Biden took 142 vacation days, visited Ukraine, Israel, Mexico, Lithuania, Vietnam, UK, Finland, Germany, Ireland, Japan, India, Poland, and Virgin Islands",2024-02-03
"This is a recording of a 4.7 magnitude earthquake that occurred in Oklahoma City tonight.

Now, color me a skeptical man if you like but not only does nothing move, it sounds like an explosion.

I'm not alleging that it was definitively an explosion, I'm just saying that it seems",2024-01-13
"The explosion of antisemitism turns deadly:  A 65 year old Jewish man in LA was killed by a violent anti-Israel protestor.  I strongly encourage people of goodwill, people seeking peace, to separate yourselves from those glorifying & committing violence. Help calm the tide of",2023-11-07
"Biden will be dead and long gone before he even smells a victory in Yemen  

Instead of de-escalating the situation they’re pushing the region toward an explosion! 

These fools never learn.",2024-01-11
"#BREAKING: Numerous homes and businesses have been evacuated following a large pipeline explosion with flames reaching hundreds of feet into the sky

#LaPorte | #Texas 

Dozens of Emergency crews and other authorities are currently on the scene of a major pipeline explosion",2024-09-16
"What a disgrace. @ABC didn’t ask a single question about the soaring national debt, the rising cost of servicing that debt, out-of-control entitlement spending, high inflation, rising unemployment, record-high consumer debt, record-low savings, or the explosion of moonlighting.",2024-09-11
"AUCTION :
Meet BlazePop, the flavor tornado of the Freezerverse! With a rainbow core, lemon frost, and chili pepper toppings, he’s a sweet and spicy explosion, daring anyone to take on his fiery fun!
https://nouns.build/dao/base/0x4faf3113D5030bA1e3B557a1E204c85EDF373373/72…",2024-10-17
"My video from that first attempt in 2014. 

Taken on my phone. Stay watching until the end to see how the force of the explosion knocks us down. 

We were too close. Or as they say in the rocket business “we were ‘Russian’ close” ",2024-02-21
"2nd May, 2010

Corporal Harvey Holmes, aged 22 from Hyde, Greater Manchester, and of 1st Battalion The Mercian Regiment, was killed in an explosion close to Patrol Base Waterloo, Sangin, Helmand Province, Afghanistan 

Lest we Forget this brave young man who gave his all  ",2024-05-01
"“Ukraine TRIGGERED THIS CONFLICT by sabotaging Nord Stream.”

First Russian invasion of Ukraine - Feb 2014
Full-scale Russian invasion - Feb 2022
Nord Stream explosion - Sep 2022

Just don’t speak on the conflict if you are this retarded. @Timcast",2024-08-25
Explosion at a plastic resin factory in Taiwan,2024-07-20
