Tweet,Date
" The U.S. State Dept says the U.S. was not involved in the pager explosions in Lebanon and was not aware of the incident beforehand.

In unrelated news, the American University of Beirut Medical Center replaced the pagers of their doctors and staff 2 weeks ago.",2024-09-17
"Explosions and fire in Baghdad last night. 

Joking, it's Alum Rock, Birmingham.",2024-08-21
TOKI PIBBLE!!!!,2024-10-17
Added gratuitous explosions and particle effects to the code editor I'm building,2023-09-25
murderface,2024-10-17
"BREAKING: Leaked Hezbollah intelligence documents have been discovered regarding the damage from the pager explosions.

- 879 Hezbollah Terrorists died.
- 291 Senior Commanders died.
- 509 Blinded.
- 1,735 injured in “reproductive organs.”
- 613 Permanent function damage.

WOW.",2024-09-20
"Happened 4 years ago #Today, the 'Beirut Explosion' is considered one of the most powerful artificial non-nuclear explosions in history. It was equivalent to around 1.1 kilotons of TNT and generated an M3.3 earthquake

[editing: davitoqro]",2024-08-04
BREAKING: Haifa under attack. Hezbollah is targeting industrial and military Israeli facilities in the area with direct hits. Massive explosions are heard and reports that Ramat David air base have been hit. These are long range missiles. Lebanon has every right to defend itself,2024-09-21
#BREAKING: EXPLOSIONS REPORTED IN TEL AVIV,2024-10-17
"I feel like I'm losing my mind because how did Lebanese civilians just bury their martyrs only to experience ANOTHER round of explosions 15 mins later. 

People fear texting their loved ones in case their phones explode: this is a whole new level of psychological terror.",2024-09-18
"BREAKING 

Air raid warning in Crimea. There are reports of explosions.
  
#หลิงออม #Russia #Crimea",2024-10-17
"YOU WANT THAT HOT OR COLD?
Happy Birthday to @runwayinchicago. “I wanna do a coffee shop au” made my creative journey so much bigger and brighter. Thank you, for always listening to my brain explosions 
.
IMP Halloween Stolas spoilers 
#helluvaboss #stolas #humanstolas",2024-10-17
"Oh, my God 
The sound of explosions increases, and with it my children scream in fear",2024-10-17
"""The findings, reported by the independent Russian news outlet Vyorstka, showed that 74.5 percent of deaths had been due to explosions.""

YA DON'T SAY?!?!?!?!
",2024-10-17
"BREAKING 

Explosions are heard in the city of Eilat, according to initial reports, Yemen has fired ballistic missiles",2024-07-20
"For those unaware...

Heart-wrenching scenes are happening in #Gaza right now. Thousands of people are in the streets with nowhere to go, surrounded by constant Israeli explosions and shelling. 

Gaza is in severe distress.",2024-07-07
 Great quote explosions!,2024-10-15
"BREAKING: Over 1,500 Hezbollah terrorists lost their hands or were blinded in the Pager's explosions.

Was it worth it, you demons?",2024-09-25
"Explosions in Crimea: Sevastopol and Kerch under attack Explosions have occurred in Sevastopol and Kerch. According to eyewitnesses, the missiles are flying towards the Crimean bridge, where a smoke screen is visible.",2024-10-17
"7 month update: no explosions, no fires, running smooth  I did that!!!",2024-07-18
"Lebanon explosions ‘almost certainly criminal’, says human rights lawyer",2024-09-18
"This infographic visually compares some nuclear explosions in history. The explosive yield of a nuclear weapon is the amount of energy released when that particular nuclear weapon is detonated, usually expressed as a TNT equivalent, either in kilotons, in megatons, or sometimes",2023-10-29
Cool guys don’t look back at explosions,2024-10-17
"Syrian state media said an Israeli airstrike hit the coastal city of Latakia, targeting an Iranian weapons depot. Video shows multiple explosions at the site of the attack. Two people were injured, buildings were damaged and fires were reported in the area. Via @TimesofIsrael",2024-10-17
"BREAKING || KYIV UNDER ATTACK, EXPLOSIONS AROUND CITY IN WEEKS' FIRST.",2024-10-17
"In Warsaw, Poland, activists wake up Russian diplomats at 6 a.m. with the sounds of explosions and air raid sirens.",2023-02-24
The explosions are ongoing in Kyiv — an impromptu New Year’s party in the bomb shelter.,2023-01-01
"The sounds of shelling around us haven't ceased since yesterday in Khan-Younis. With each passing minute, the explosions become closer and more scarier. If we don't survive today, at least we shared a morning tea with friends. We all decided to face death with a smile in this",2023-12-14
"DO YOU LIKE EXPLOSIONS?! (we do)
DO YOU LIKE TO DRINK?! (we do)
(please don't involve these two at the same time)
HAVE YOU SEEN OUR NEW BOTTLE OPENER?

#NineLineApparel #nineline #bottleopener #barcart #a-10 #bottlebreacher",2024-10-17
"Lots of drones over Ukraine.
Explosions in Kyiv. Air defense.",2024-10-17
"Temporary ceasefire ended.
Explosions heard across the Gaza Strip.",2023-12-01
"#Israel conducted airstrikes on #Hezbollah and #Iranian locations in Latakia, Syria early this morning.

Locals reported hearing explosions continue after the airstrike, signaling the #IDF targeted weapons depots.",2024-10-17
Explosions again,2024-10-17
"Haibo, I tell my dad about the explosions in Jhb CBD and this is his response..

I literally stay in centurion?????",2023-07-19
"Mogadishu is facing significant security challenges, including frequent bomb explosions that threaten stability and civilian safety. As usual, the government of Ethiopia should have sent other additional military support for Somalia to keep the peace and security of the country.",2024-10-17
 MASSIVE ZIONIST explosions over Damascus.,2024-03-01
"[Dad's co-op! Dad Island 2 session #1 - More zombies, more skills, more friendly fire explosions!",2024-10-17
"Explosions light the sky of Gaza, marking a deadly night.",2023-10-22
"As I woke up from the sounds of explosions, I looked at my window and saw smthng that looked like a big drone flying by. I immediately ran to my bathroom to hide, as I was recording this video I think I heard the sound of a flying missle. Rn, my building is shaking.

Kyiv, Mar 21",2024-03-21
"“Absolute chaos and mayhem across Lebanon” after exploding pagers kill at least 9 and wound 2,800, in what @KimGhattas says is “clearly a targeted attack by Israel against Hezbollah operatives.” The Israeli military is refusing to comment on the explosions.",2024-09-17
"Secondary explosions: that means Hamas stored ammunition at a hospital.

Hamas is evil. I blame Hamas",2024-10-14
"Took my niece out to dinner, towards the end a siren sounded and all of us ran to the shelter with the explosions overhead. 

When we got back, every table had shot glasses full of Arak. We Israelis know how to homefront ",2023-11-05
"WOW

Check out the secondary explosions in southern Lebanon right now. 

This is no civilian target.",2024-09-23
" BREAKING: YEMEN’S ANSAR ALLAH has fired BALLISTIC MISSILES at ISRAEL.

Explosions have been reported in the city of Eliat.",2024-07-20
Guy in Kursk caught explosions in Kursk on camera.,2024-08-10
"OFFICIAL: PHD FLOPPER AUGMENTS

Major Augments
GRAVITY MD: Just falling from heights creates explosions.

DR RAM: Tactical Sprint knocks down and damages base zombies.

PHD SLIDER: Sliding into enemies triggers explosions.

Minor Augments

ENVIRONMENTALIST: Become immune to",2024-10-17
"Pregnant mother ran 13 miles on foot whilst suffering morning sickness to save the life of her unborn baby while fleeing Hamas terrorists. 

Astar Moshe, 35, fled a hail of bullets and explosions as Hamas stormed the Nova Festival on Oct 7th whilst 3 months pregnant with her",2024-04-12
"BREAKING Norwegian police have issued an international warrant for a Norwegian of Indian origin, Rinson Jose.

Jose had visited the US a week before the pager explosions on a business trip, but has since disappeared.

Jose founded the Bulgarian-shell company Norta Global Ltd",2024-09-26
" Thousands of people have been injured in Lebanon by pager explosions triggered by Israel. 

This is a breach in the supply chain to Lebanon by Mossad and further proof that all Western companies collaborate with intelligence agencies to organise mass casualty events like this.",2024-09-17
"Russian missile attack on Kyiv and Kyiv region. They launched ballistic and cruise missiles. Air defense is at work, loud explosions are heard. 

""Mom, when will it all be over?"" A little girl asks her mom during one of the previous air raid alerts/ua_komnatna/TikTok",2024-09-02
"Non-stop explosions! As russian missiles hit the Dnipro this morning, local TG channels publish scary video evidence.
And Europe is sleeping and Biden is hesitating.",2024-07-03
"It’s a heavy explosions nooooooow 
Praaaaaay for me ",2023-11-19
"The Ukrainian Nazis just killed at least 2 civilians as a result of the explosions on the Crimean bridge, along with the fall of a section of the bridge.

Praying for Russia and her people ",2023-07-17
"#BREAKING: Emergency personnel are responding to Vehicles on fire and explosions taking place at a street takeover

#LosAngeles | #California 

Currently, multiple emergency personnel are responding to a large street takeover in Central City, Los Angeles, California, where",2024-06-29
You had fingernails like flint and scrapped them along decency hoping we would be the ones to all catch fire. You all had smiles like one way barbed wire not meant to keep us out meant to keep us in. Focused like a fiery pin you spoke in Explosions…,2024-10-17
[CAR CRASH] “DEAR GOD” [BUILDINGS EXPLODING] [CARS CRASHING] [AMBULANCE SIRENS] WEEWOO WEEEWOOO [BABY CRYING] WAH WAAAH [HELICOPTERS] “GOOD MORNING WE’RE REPORTING LIVE FROM THE SCENE” BOOOM!! [EXPLOSIONS] “MY LEGGG!” [SCREAMING],2024-10-17
In the southern Beirut suburbs the force of the explosions from Zionist US-made bombs catapulted a car onto the roof of a multi-storey building.,2024-10-17
"They aren’t “explosions” that murdered 31 people in Lebanon , including 3 children. 

They are bombs. 

Dropped by a pariah nation hell bent on mass war, genocide and a doomsday. 

BBC reporting bias makes them complicit.",2024-09-21
My heart is broken. The explosions in Iran took place in my hometown. They took place in the cemetery where my dad is buried. I don’t even know what to say.,2024-01-03
"Unconfirmed Reports of several Explosions at a Facility operated by the Islamic Revolutionary Guard Corps (IRGC), which specializes in the production of Ballistic Missiles, near the Iranian Capital of Tehran.",2024-09-19
"Nearly two years after the Nord Stream pipelines sabotage, German authorities have reportedly issued an arrest warrant.

The suspect, a Ukrainian national, was named only as Volodymyr Z. for privacy reasons.",2024-08-14
UAWire - Heightened tensions in Crimea: explosions and smoke screen over Kerch Bridge amid missile strike fears,2024-10-17
"A regular house in a regular village in south Lebanon 

Ignore all those secondary explosions. I'm sure they don't mean anything ",2024-09-23
"The explosions in Rafah were caused by Hamas ammunition, 
not by Israeli airstrke

According to Gazans on the ground, it was a Hamas ammo warehouse that got ignited, 
At 0:21 can even see a secondary explosion.",2024-05-27
"“The findings, reported by the independent Russian news outlet Vyorstka, showed that 74.5 percent of deaths had been due to explosions.”",2024-10-17
"  The Russia warehouse for the S-300 & S-400 missile systems, Iskander ballistic missiles & North Korean KN23s misiles was destroyed by Ukraine  last night.

 The explosions are so large that part of the Tver region, two hours north of Moscow, is being evacuated.",2024-09-18
"Explosions in Pskov (videos 1 and 2) and Bryansk (3) and Orel Oblasts (4), Russia, with reports of unidentified UAV sightings in other regions. This appears to be a well-orchestrated drone raid on Russia.

In Pskov, four IL-76 planes were reportedly hit in an airfield.  All",2023-08-29
"EXPOSED Israel is launching multiple missiles to make it look like houses they bomb have secondary explosions. See white circles.

They are truely demonic.",2024-09-23
"The area that the IDF attacked, after an evacuation alert, in the village of Tamanin in Beqaa.

A series of secondary explosions can be heard from missiles and explosives hidden in the structures. #Hezbollah #Lebanon #Israel #IDF #IAF #Missiles #Bombs #Rockets #Explosives",2024-10-17
"Ukraine certainly has nothing to do with the shooting/explosions in the Crocus City Hall (Moscow Region, Russia). It makes no sense whatsoever.

First of all, Ukraine has been fighting with the Russian army for more than two years. And everything in this war will be decided only",2024-03-22
"pray for me. This is the last tweet for today. Because I'm so sick, it's so scary. Forgive me if he dies, there are explosions all around me. We are dying, world ",2024-06-06
"Israel knew that detonating all the pagers would mean indiscriminately killing civilians, because you have no idea where the person with the pager is going to be. Launching explosions in fruit markets and killing children is rightly called terrorism.",2024-09-17
"#BREAKING: Israel is undergoing a significant attack from Iranian ballistic missiles, with reports of numerous explosions being heard as Sirens sound off",2024-04-13
"Sirens and explosions in Haifa. We’re in the bomb shelter. I’m holding my 13-day-old baby in my arms, and I’m still telling my government loud and clear: keep going. Don’t stop. Destroy Hezbollah. Wipe them off the map. Hezbollah has no right to exist. Delete them. We’re fine.",2024-09-23
BREAKING: The Israeli Air Force is relentlessly bombarding the west of Gaza City with bunker buster bombs as we speak. The explosions can be heard all across the Gaza Strip. Reports indicate many dead Hamas terrorists on the ground.,2024-07-10
Kyiv. Monday morning. Children in a kindergarten run to the bomb shelter during the explosions. This is hard to look at. But I want the whole world to hear and see our reality. Ukraine needs more air defense systems and immediate help from our partners to counter this terror.,2024-03-25
"BREAKING: U.S Ain Al-Asad air base in Iraq has been hit with drones and missiles.

Explosions were heard inside the base.

This follows threats made by Iran-backed groups in Iraq against U.S forces, signaling the war is slowly spreading beyond the borders of Israel and Gaza.",2023-10-19
These frames went triple platinum in my head i love some motion blur after explosions,2024-10-17
"North Gaza is being wiped out

The violent explosions heard a short while ago were the result of the occupation army blowing up residential buildings in the area west of Jabalia camp, north of the Gaza Strip.

#SaveNorthGaza
#GazaGenocide",2024-10-17
"Hezbollah terrorists injured by pager  explosions visit Iran 

Unbelievable that they also paid Israel €1.6 million for these pagers ",2024-10-08
"#BREAKING: Reports of several loud explosions and smoke Pours from Washington DC Train Station 

#Washington | #DC

A major emergency response is underway at the Eastern Market train station in Washington DC after multiple witnesses reported hearing several loud explosions,",2024-02-15
"THIS IS WILD !!!!

Israel is fully under attack. Sirens are not stoping from the north to the south and explosions are being heard all over. Iran has every right to defend itself. Maybe next time Israel shouldn’t bomb an embassy.",2024-04-13
"BREAKING:

Loud explosions reported from the area near the Crimean Bridge.",2024-03-04
"Israelis hack into all ‘pager’ communication devices used by Lebanese people, remotely triggering explosions, injuring 2,750 & killing 7 & a child",2024-09-17
"Scoring explosions vs the Rockets this season: 

Damian Lillard - 71 
Luka Doncic - 50 
Lauri Markkanen - 49
Ja Morant - 49
LeBron James - 48
Giannis Antetokounmpo - 44 
Anthony Edwards - 44 
Trae Young - 44
Shai Gilgeous-Alexander - 42
Klay Thompson - 42 
Klay Thompson - 41",2023-02-27
"Bravo to @Polytrade_fin’s team of Crypto whiz, Luminaries and Mavens for consistently pulling up trailblazing & top RWA innovations 

The RWA activity on @0xPolygon POS is getting close to massive explosions and it’s a big step to bigger expansions 

First Bulk tokenized Trade",2024-10-17
