Tweet,Date
"President #Putin: Dasha Dugina, a good person, was killed. Was she a militant? She was just an intellectual who expressed her point of view

 planted an explosive device under the car bottom
 
This reaffirms the terrorist nature of the Kiev regime

http://is.gd/ZeccF7",2023-06-14
" @Yescoin_Fam, a #TON-based viral swipe game on @telegram, is experiencing explosive growth!

In just over a month: 18M+ users from nearly every country on earth, with 6M+ users connecting their wallets.

Leveraging Telegram's viral social mechanisms and unique swipe gameplay,",2024-06-13
Explosive diarrhea.,2024-04-27
"Hope all you #MemeCoin investors are watching $PSPS 

Up 22% in last 24h but still only $14m cap.  I think this upcoming cat season is going to be explosive ",2024-10-17
Guys. Tannerite is a dangerous explosive. Really.,2023-10-19
"Senior defensive lineman Cam Jackson is looking to build off his improvements in 2024 with six games to play. 

“Just being explosive off the ball way more than last year.”

STORY:https://gatorcountry.com/feature/cam-jacksons-improvements-off-the-field-are-leading-to-more-success-in-2024/…",2024-10-17
Explosive detection canine TTirado got an awesome reward after his final bag search before retirement!,2024-10-17
"#BREAKING: In an explosive letter all 7 judges of #Islamabad high court except CJ #AmerFarooq, wrote to Supreme Judicial Council and all judges of #SupremeCourt revealing how senior #ISI officials influencing judicial proceedings and pressurising judges.
1/3",2024-03-26
"The next episode looks explosive !

#MAFSUK",2024-10-17
"i’ve been hoarding every single barrel and explosive i could find since act 1. all for this moment. 
#BaldursGate3 #BG3",2024-09-08
