Tweet,Date
"This is not normal. Imagine how these headlines would have registered in 2016. Stop acting like this is just a rhetorical contest. This is forced displacement. Families leaving under threat of forceful separation, incarceration and detransition. This should be a much bigger deal.",2022-07-25
"3.5 million people have been added to our population in just 10 years, with well over 80% due to direct and indirect immigration...",2022-07-16
"Excited that my latest book is now out in the world! While migration and aging are human phenomena that occur simultaneously, they are rarely analyzed together. This book highlights life course transitions in forced migration contexts from cradle to grave.
https://livedplacespublishing.com/book/isbn/9781915734594…",2024-10-17
"Climate change is biting hard with local communities being at the forefront of suffering from the impacts of extreme heat, floods,prolonged drought,forced migration, destruction of infrastructure and promotion of Climate Resilience is key towards climate adaptation.",2024-10-17
"Climate change exacerbates the risk of displacement. Along with social injustices, and  a marked escalation in political violence, environmental emergencies have contributed to an increase in forced migration.",2024-10-17
"This is an incredible opportunity to get a Certificate in Computer and Data Science (CDS) and study on a year-long program at MIT for FREE. Preference given to: refugees, internally displaced persons, and those otherwise impacted by forced migration from anywhere in the world. A",2024-10-15
"Mass migration is being forced on Ireland against the wishes of its people. In this interview extract, Michael Leahy, candidate for Ireland South in the EU election, looks at what is driving this and the potential fore social dislocation which it represents. Full interview to",2024-03-30
"The U.K.  

Home owners have been told that “compulsory selling of homes” will be enforced to house migrants.",2024-04-02
"For 30 years, government policies have led to ever higher immigration, despite every single party being elected with a mandate to control and reduce it. 

The public has never been asked or consented to the resulting radical changes to our country...",2022-08-31
"Forced migration is ethnic cleansing: the Israeli government uses terms like “voluntary emigration” to refer to their genocidal policy, but their efforts to ethnically cleanse Palestinians from their homeland is as intentional now as it was 75 years ago during the Nakba. ",2024-01-05
"One of the most consequential policies was the unofficial forced evictions by the Bhutanese military, who made significant numbers of Nepalese sign ‘Voluntary Migration Forms’ stating that they had left Bhutan willingly and renounced claims to Citizenship",2023-02-08
"The truth is that mass migration is a factor in the current cost of living crisis 

If you believe current levels of immigration are too high, sign our petition calling on the government to cut immigration by a lot 
https://cutimmigration.co.uk/petition/",2023-06-05
"Almost doubling the population of a village overnight (mostly with young men) where there are no public services, is a recipe for disaster...",2023-01-11
"Net migration of around three quarters of a million—what we have now—or even half that, spells disaster for the country 

The noose around our neck gets ever tighter.",2024-07-13
"It CANNOT be understated. There is a MASSIVE ATTACK being brought on the United States in the form of “Mass Migration” being used as a WEAPON to bring our country to heel politically, and as a means to DESTABILIZE society. 

As well documented in this document from 2010:",2024-02-04
"In the past 20 years, our population has grown by 8 million people, nearly 7 million was due to immigration... 

It happened without public consent.

 @ClarkeMicah",2023-05-22
"Our cities have seen rapid and momentous change in the last two decades. The public never asked for mass, uncontrolled immigration, but the politicians have forced it on the country anyway... ",2022-06-13
"Hamas official warns of Israeli forced migration plan in the West Bank #Hamas #GazaGenocide
https://ilkha.com/english/world/hamas-official-warns-of-israeli-forced-migration-plan-in-the-west-bank-421162…",2024-10-10
"The Rural Exodus: A Call for Change in Village Development

India's urban population has doubled over the last three decades, rising from 26% (25 crore) in 1995 to 36% (52 crore) in 2024. This surge is driven by forced migration, as rural communities struggle with a lack of",2024-10-17
"The mask of mass migration is finally starting to slip as those who have gaslit us for decades admit that mass migration does undercut pay. 

Indeed, it seems that is its purpose... ",2023-06-26
"'This just is unbelievable that we are forced to spend all this money on people who shouldn't be here!'

Eamonn Holmes fumes at 'out of control' migration as it emerged the UK spends billions on illegal immigrants at the same time as bringing in cuts to pensioner benefits.",2024-07-30
"BREAKING: IRISH PRIME MINISTER RESIGNS. 

Yesterday, he said to Biden: 'We see our history in the eyes of the Palestinians, a story of displacement, deprivation, a denied national identity, forced migration, discrimination, and now hunger.'

Today, he resigned.",2024-03-20
"This Friday, The Centre for Forced Migration Studies and Black Studies will host scholars from across Ireland for a one-day symposium marking 20 years since the 2004 citizenship referendum. 

 18/10 in @TLRHub
 Register and view speakers here: https://eventbrite.ie/e/racialised-from-the-start-symposium-on-the-2004-citizenship-referendum-tickets-1034957534847?utm-campaign=social&utm-content=attendeeshare&utm-medium=discovery&utm-term=listing&utm-source=cp&aff=ebdsshcopyurl…",2024-10-14
"The mountainous migration figures are entirely the result of government policies, despite promises that the opposite would happen. 

Let’s not lose sight of this betrayal 
 @Nigel_Farage",2023-05-18
Forced migration is ethnic cleansing. It’s not “voluntary” or humanitarian when it’s in response to violence,2024-01-07
"In the year to June, net migration was over half a million people. That’s a city the size of Liverpool! 

Current levels of immigration are unsustainable and undemocratic.

 @danwootton",2022-11-25
"Record immigration levels are putting HUGE pressures on housing, hospitals and public services.

  @colinbrazierGBN",2022-06-07
"No one is forcing them to stay here. 

In fact, it’s abundantly clear that the majority want them deported.",2024-04-16
"Mass Immigration (2010-present)

Despite new post-Brexit control, massive uncontrolled legal migration levels were aggressively increased, in an attempt to destroy a culture that took a 1000 years to create. Their crowning betrayal.",2024-06-14
"Mass migration increases poverty amongst the working class of citizens.

How?

It massively increases competition for cheap labour by importing people who are prepared to work in third-world conditions for slavery-level pay.

It's the replacement of the working class with slaves.",2024-07-29
"This is yet another mode of uncontrolled and uncapped migration, often, feeding the demand for low-skilled and low-paid workers.

The number of student dependants has spiralled to over 80,000 in one year. It is an area in desperate need of tightening ",2022-09-27
"a forced population transfer is an immensely violent thing, that it’s coerced at threat of something even more violent doesn’t actually negate that. gazans were not born to be hanged or to be drowned. this isnt happening to statistics, it’s happening to people",2023-10-13
"New fascist doublespeak vocabulary entry. 
""Voluntary migration"": the process of mass expulsion of people after ordeals of mass killing, mass maiming, flattening of cities, devastation of all civilian infrastructures, destruction of healthcare, exploding diseases, hunger, thirst.",2023-12-26
"Mass migration in the West isn't benign, organic, or accidental.
It is nefarious, deliberate, and planned.
The questions are, what, why, and by whom?",2024-07-27
