Tweet,Date
"Third World War? Some are already writing.
What had a German military expert written: We live in a time when once-in-a-century events happen every three months.
China and North Korea have attracted the attention of the world today.

Media, citing intelligence services: North",2024-10-14
"BREAKING NEWS

Russia attacks a NATO country, China invades Taiwan, and North Korea strikes South Korea, all while America is drawn into multiple conflicts.

In response, the Biden Administration is reportedly preparing to expand America's deployed nuclear forces after",2024-08-13
Update: Several events will start at the same time! Russia will destroy Kiev and Lviv once they launch NATO missiles deep inside Russia! China will invade Taiwan using Ukraine war as cover!! Then Iran will strike Israel. North Korea will also launch their offensive at that,2024-09-13
"-Beware Govt of #India, another storm heading Northeast 
-Fights erupted between Myanmar Army & Three Brotherhood Alliance in Rakhine & Chin state
-Over 5000 civilians crossed over to #Mizoram 
-Further influx would facilitate China-backed terrorists in NE to further their agenda",2023-11-14
"I hate when I have to update this, but here it is.

A list of major geopolitical events from WWII and up to President Trump's shooting yesterday. 

If you had the S&P 500 up 21% the six months after Hamas attacked Israel not sure I believe you.",2024-07-14
"REALITY CHECK: Tomorrow’s significant event is the potential peace talks in Doha between #Israel and #Hamas, which will influence the near future of the #MiddleEast. 

NOT someone’s unchecked ""press conference"" at a private golf club.",2024-08-14
"There are two kinds of Revolution. The historical self-conception of our generation requires us to understand this. Particularly as we transition from a period defined by one kind to the other.

One of those is the raging, fiery outburst of pent-up social contradictions when --",2024-01-08
"World Shift Happening:
Russia has recently completed a new land-ocean trade route, entirely outside of Western commerce/finance markets and their respective enforcement mechanisms.

This represents a fundamental shift in the balance of resource control and inter-reliability, for",2024-09-07
"The latest Gaza War will affect geopolitics well beyond the Middle East, and it is a major setback for the United States.  Here's what some of those effects will be:",2023-11-09
"In a press conference about the second assassination attempt, the Secret Service warns of a “geopolitical event that could put the US into a kinetic conflict.”

What did he mean by this? Hyping up an imminent war with Iran?",2024-09-16
"Lt. Gen. Abdul Qayyum, former Pakistan Three Star General, Senator and Geopolitical Analyst speaking at a Universal Peace Federation UK event, Perspectives of the Global South, October 31st, 2023 #UPF #ukupf #dialogue #Peace https://youtu.be/DO6b4j4nbJY?feature=shared…",2024-10-11
"$VIX next three expiries gamma positioning for VIX.  25, 27, 30.

Is $VIX predicting a geopolitical event or a financial event?",2024-10-08
"Some events look small, but have Big implications!

Tunisia witnessed largest protest against its President yesterday.

In 2011, Tunisia witnessed similar unrest which later spread to Egypt, Libya, Yemen & Syria destabilising the ENTIRE Region. 

Tunisia's economic crisis,",2023-03-05
"WTF: NATO is currently preparing for a MASS CASUALTY event this decade

The ruling class is obsessed with starting WW3 and getting us all killed for their sick geopolitical game",2024-09-26
"NEW - Acting U.S. Secret Service Director: ""There could be another geopolitical event that could put the United States into a kinetic conflict or some other- uh- some other issue, that may result in additional responsibilities and protectees of the Secret Service.""",2024-09-16
"Israel launches a ground invasion in Souther Lebanon after Iran air strikes Tel Aviv, in what will be an incredibly telling event as to the military & geopolitical situation in the region.

Let’s look at the last Hezbollah-Israeli War in 2006 to try & predict how this will play",2024-10-01
"Yesterday, we released World Energy Outlook 2024!

 Read the key findings in the press release  https://iea.li/3UbAzgS
 Explore the full #WEO24 report  https://iea.li/3NukeQx
 Watch back the launch event  https://iea.li/3Yt2MlG",2024-10-17
"Find us at the FIA Commodities Forum!

Abaxx Exchange is sponsoring this year's event, focused on market developments fueled by geopolitical events, new technologies and the #energytransition, and their cumulative impact on today's commodities markets. 

https://fia.org/fia/events/fia-forum-commodities-2024…",2024-09-09
"In this interactive nonfiction workshop, writers will choose an event related to war or geopolitical violence they have witnessed or participated in first-hand.

https://consequenceforum.org/workshops/",2024-10-10
BREAKING: U.S. Secret Service Acting Director Ronald L. Rowe warns that a looming geopolitical event could thrust the United States into a kinetic conflict or spark a crisis that would expand the Secret Service's responsibilities and the number of high-profile figures they need,2024-09-17
Energy futures are seeing some selling tonight as we went the weekend without a major geopolitical flare-up or weather event causing interruptions to global supply. The lackluster Chinese stimulus proposal is not helping sentiment in the space either.,2024-10-13
"$ES_F
JDGW note
Oscar lime>5807
Pink rn
Red<5767
Fedleys yap all wk including King JPOW 
NFP Friday
Volatility will intensify for next month and mkt will move a data point, Fed word(s), geopolitical “event” gone further askew could move mkt and probably to the downside but until",2024-09-30
"Western media usually date the crisis with the Russian military buildup in Fall/Winter of 2021, but they completely ignore the extreme levels of provocation earlier in the year. 

32-country NATO exercises off Russia's coast, along with written NATO partnerships with Ukraine.",2023-03-25
"This is the primary chart that makes me think the US would defend Taiwan in the event of Chinese invasion.

Chips are a defense, economic security, and geopolitical all-in-one.",2024-09-10
"Whenever Bitcoin encounters a geopolitical event, there is a high probability that it will decline during the first five days. However, 20 to 50 days afterward, it typically shows a strong likelihood of increasing in value.

#btc #crypto",2024-10-06
"""The economic policy is oriented around the need to protect China from geopolitical risk""

@davidlubin (@ch_gef) on Xi Jinping's vision for 's economy.

Watch in full: https://bit.ly/3MUcJlQ",2024-09-25
"I took part in the Open Labour Rally, a side event at the #LabourPartyConference. Among a community that cares deeply about geopolitical issues, we discussed global security in a very authentic location. This topic cannot be discussed without Ukraine.

In addition to stressing",2024-09-23
"Important event co-organized by @capsunlock_org & @dgapev in Almaty, Kazakhstan. Stimulating discussions about EU - Central Asia connectivity against the background of geopolitical shifts, invasion of Ukraine, sanctions, and China",2024-10-17
"buy the next geopolitical event

shouldn’t be too long",2024-10-01
"Today at the @LowyInstitute: @arcanakhalil and Dr Jeni Whalan will discuss the state of Australia's democracy and what renewing democracy at home means in an era of geopolitical competition.
https://resources.lowyinstitute.org/docs/lowy-institute-event-safeguarding-democracy…",2024-10-13
