Tweet,Date
Group of gangsters try to jump a black person and they all get beat up,2024-10-04
"Violence on Group-1 students is condemnable:

These students are educated, well-informed individuals with considerable intellectual capacity. 

Treating them with respect and understanding is essential. 

Arresting or harassing them is unjust, as they are not hooligans",2024-10-17
"""Did you know? 1 in 3 women worldwide have experienced physical or sexual violence. It's time to raise awareness and stand together. #SGBV #EndViolence #StandWithSurvivors""",2024-10-16
"If you’re looking to stir up trouble, know we see right through you.

If your message is based on hate & division, know Americans will reject you.

If you target any group of us for violence, we know you will target all of us.

#DemCast #DemVoice1 #wtpBLUE",2024-10-16
A group called the Transit Liberation Front smashed 10 OMNY machines in subway stations across NYC in response to a call from Black revolutionaries in Atlanta calling for a summer of resistance against the US & Israel's colonial/state violence & surveillance.,2024-07-14
"It wasn't only Jan 6. 

MAGA violence has been chronic.

Never forget how a group of Trump supporters tried to surround and force a Biden/Harris 2020 bus off the interstate in Texas. Fucking unhinged.",2023-12-22
"A group of elected members of Manipur Assembly from the Kuki-Zo-Hmar, Meitei, and Naga communities met in New Delhi today to address the current situation in Manipur. They unanimously urged all citizens to reject violence to protect innocent lives. 

#Manipur #Unity #Peace",2024-10-15
"""Kick a Cat For fun!""

Young Israelis in a youth group launched the challenge of kicking cats as hard as possible and sharing the videos on the group.

This is Israel. This is how it raises its children and young people on violence, terrorism, crime, and hatred.

The children of",2024-07-19
"Is @SurreyRCMP trying to suppress the matter?

Violent mob in dozens attacked an unarmed person in presence of Police. It was an attempt to murder, not a brawl.",2023-05-05
"At the inaugural meeting of @UKParliament's All Party Parliamentary Group on #Tigray, Lord @DavidAltonHL speaks, unveiling @NewlinesInst's unsettling findings on the violence in #Tigray.  #UpholdPretoriaAgreement #Justice4TigrayGenocide
@HouseofCommons @UKHouseofLords",2024-10-15
Boyfriend Attacked His Girlfriend So Her Male  Friends Go To His House and Beat Him Up.,2024-03-28
Shooting in Philly on Sunday at a block party that left 9 shot and 3 dead. ,2024-07-25
"What did I say? This is precisely what spreading fear, hate and lies about minorities does.

A mob of white men desecrate a vigil held for tiny girls killed by male violence by turning up pissed being violent and pelting a mosque. Knuckle dragging scumbags.",2024-07-30
"Believe me or not, when I was at the Dakota Pipeline Protests in 2017, I was approached by a group (not Native Americans) who introduced themselves as instigators. They told me very frankly they there to create chaos and violence. They are at all peaceful protests.",2024-05-01
"The Civil Society Global Reference Group of the @GlobalSpotlight  is hosting an event on building a collective vision to end violence against women and girls at the @TheSVRI  2024 Forum on Tuesday, 22 October. Register and more here: https://bit.ly/3BD4Yyo
#SVRIForum2024",2024-10-17
"Join the Safe Leave Working Group for a webinar on 10/22 discussing how safe leave can support the economic security of survivors of gender-based violence. Register to learn more about these vital policies, and how to advocate for safe leave: https://futureswithoutviolence.zoom.us/webinar/register/WN_eimP1p53SD-7_32yRRmRCQ?amp_device_id=522d85f8-d79e-4175-ad9e-741f60d7ecf1&_ga=2.187159211.2092878306.1728332625-1522745813.1724177631&_gl=1*1h59u20*_gcl_au*NDg4NDMwNjIwLjE3MjQxNzc2Mjk.*_ga*MTUyMjc0NTgxMy4xNzI0MTc3NjMx*_ga_L8TBF28DDX*MTcyODQwMzM0NS4xNS4xLjE3Mjg0MDM0MzMuMC4wLjA.#/registration…",2024-10-16
"Isla Bryson is a rapist. Her actions are deplorable and repugnant. She is not representative of trans women, far from it, trans women are subjected to high levels of violence, rape, harassment and abuse. Please don’t use Bryson to bash a vulnerable and marginalised group.",2023-01-27
"Está agresión sufrieron hoy los chicos de Juventud de Fcio Varela. Nos vinieron a agredir entre 20 y en su mayoría  ""hombres"" golpeando a UNA mujer. Totalmente drogados y hasta tiraron huevos a los micros de otras secciones que venían de lejos. Una vergüenza.",2024-10-12
"As you're all aware by now, the's have various designated rendezvous locations that function effectively as arenas for sub-saharan melees. It could be a gas station, a shopping mall, a fast food dining establishment, etc. Shockingly, this brawl took place at a welfare office.",2024-06-12
Old head gets jumped by a group of young adults,2024-06-05
Football gang attack rival member in Spain,2023-12-23
Literally 20 people all trying to KO one guy. This is so vile. Can we stop pretending like we can assimilate barbarians into a civil society?,2024-07-09
"Nothing good happens when more than one BIPOC get together, nothing. Chances of violence go from 50% when they are alone, to 100% with 2 or more.

Modesto, California stabbing last night that won't be on the news.",2024-09-03
"They jumped this girl named mya over her gf, and her sister fought one of the girls that jumped in and when Mya jumped in to help her sister they jumped her again",2024-10-12
Gang Member gets jumped and kicked in the face brutally #fightsvideos #fightvideos #fightingvideos #knockout #ko #shegotbeatup #Fights #fightvids #fightpage #fighting #FightVideo #fightsvideo #hoodfight #hoodfights #boyfight #girlfights #gore,2024-09-23
