Tweet,Date
"Dem dey call us hit and run specialists , we agree but the real name for it is guerrilla warfare no be hit and run , we no be careless drivers. Today we hit them and five hit ground and closed eyes the others ran away leaving some unvalued gadgets behind
5 kissed dust
~~angels",2024-09-26
"Free PDF : Fighting In The Streets ~A Manual of Urban Guerilla Warfare 

(This manual is for those who are determined to fight, who have decided the oppressive empire must go, will work to remove it the only way available--armed resistance)

https://drive.google.com/file/d/107PrDEsx7zd8PDRNq47agom6SvAHGCbw/view?usp=drivesdk…",2024-04-24
"PSA - URBAN GUERRILLA WARFARE CASE STUDY

FALLUJAH HELL HOUSE

 While reading about the textbook example of urban guerrilla warfare, the battle of Fallujah, I came across the story of the Hell House where a handful of insurgents held off US forces for hours.",2024-03-10
"Occupying land does not mean victory in guerrilla warfare. 

The regular army can occupy guerrilla fighters areas, and this is what the guerrillas aim for. Their tactics are not defensive like those of conventional armies, which fall with the loss of their territory.

Guerrilla",2024-05-21
" A new  video just dropped.

Multiple Israeli vehicles and positions are targeted.

The IDF are constantly being ambushed by Hamas.

RPG's, drones and snipers are poking out of the rubble and taking out IDF soldiers and vehicles.

That's Guerrilla warfare for you...",2023-12-29
"“You don't seem to want to accept the fact you're dealing with an expert in guerrilla warfare, a man who's the best, with guns, knives, his bare hands. A man who's been trained to ignore pain, ignore weather, to live off the land, to eat things that would make a billy goat puke.”",2024-10-17
"Wage guerilla war on your mind, allowing no static lines of defense, no exposed citadels — make everything fluid and mobile.",2023-09-13
"The thing about guerrilla warfare… it requires the support of the people. They have to willingly feed and conceal the guerrillas. 

Public opinion in Tigray is not what it was at the start of the war.",2022-10-16
"“Guerrilla Warfare” 
#Gocanes",2024-10-10
"Wage guerilla war on your mind, allowing no static lines of defense, no exposed citadels — make everything fluid and mobile.",2024-04-13
"Wage guerilla war on your mind, allowing no static lines of defense, no exposed citadels — make everything fluid and mobile.",2024-05-13
"Wage guerilla war on your mind, allowing no static lines of defense, no exposed citadels — make everything fluid and mobile.",2024-02-13
"Wage guerilla war on your mind, allowing no static lines of defense, no exposed citadels — make everything fluid and mobile.",2023-12-13
"Wage guerilla war on your mind, allowing no static lines of defense, no exposed citadels — make everything fluid and mobile.",2024-01-13
 Soldiers of the 5th Assault Brigade eliminate the occupiers who tried to hide in the bushes. At the end of the video there is a QR code on how to help more occupiers fall asleep.,2024-10-01
"【Cool Japan】

New Ninja were covert agents skilled in espionage, sabotage, guerrilla warfare, and martial arts.  Known as mysterious warriors with stealth and agility.",2024-10-14
The Middle East is fighting wars with cutting-edge tech while African countries can only afford guerrilla warfare decades after independence.,2024-10-16
"Hiroo Onoda was a Japanese soldier who gained fame for continuing to fight for 29 years after World War II ended. 

He carried out guerrilla warfare on Lubang Island in the Philippines for nearly three decades, engaging in several shootouts with local residents and law",2024-07-05
Sometimes you just need to play guerrilla warfare and enjoy your day,2024-10-10
"Fidel Castro, the Cuban leader, had a strong passion for basketball, which he pursued during his college years at the University of Havana. He believed that the sport provided valuable insights into guerrilla warfare tactics. According to a trusted aide, Castro would engage in",2023-06-11
"La técnica de la guerrilla, dejar de usar uniforme para pasar a los guerrilleros por “indefensos campesinos” y luego atacar al Ejército porque les dan de baja. Con o sin uniforme, si usan armas, atacan y hacen atentados son terroristas. Las cosas como son !",2022-04-11
"Small unit tactics/Patrolling.

Fairly simple but overlooked part of this is just being aware of your surroundings.  This skill can be honed by yourself, with friends, training, hunting, hiking, etc.

The skill of, You hear something, dive off of the trail. Just being quiet",2023-12-20
"Wage guerilla war on your mind, allowing no static lines of defense, no exposed citadels — make everything fluid and mobile.",2023-11-13
"The TPLF’s current situation mirrors its past, particularly its insurgency in the late 1980s. Once again, they’re engaging in guerrilla warfare from remote areas, similar to their tactics in 1988. History seems to have come full circle for them.",2024-10-07
"I have heard a lot about Guerilla Marketing on this TL in the past few days.
So, that’s not it. Guerilla Warfare/Tactics do not account for Guerilla Marketing.

Stay with me…

Guerilla Marketing has a ‘WOW’ factor, it’s an innovative, unconventional, and low-cost marketing",2024-01-12
The Vietnam War involved major battles and extensive guerrilla warfare.,2024-10-17
"Guerrilla spiritual warfare tactic, corporate addition:

When someone presents a new idea in a meeting, and though their voice may shake or they seem anxious, you can sense their genuine positive intent - 𝐭𝐡𝐢𝐬 𝐢𝐬 𝐲𝐨𝐮𝐫 𝐦𝐨𝐦𝐞𝐧𝐭 𝐭𝐨 𝐥𝐢𝐟𝐭 𝐭𝐡𝐞𝐦 𝐮𝐩. 

Use the",2024-10-14
"Jewish settler groups in the Israeli-occupied West Bank are using former army officers to train the illegal squatters in combat and guerrilla warfare tactics. All settlers are trained, men, women, and even kids. They're like the bad guys in The Purge.",2024-10-10
"if ure to learn anything from the southeast asians it is that guerrilla warfare is the natural tactical counter to organized armies. it worked against the romans, the chinese, the japanese, and the americans. become the halls, the walls, the stairs, the roofs.",2024-05-02
"We are out organized and that’s bc individualism is still materially profitable for most. 

Being outgunned isn’t an issue for a well organized paramilitary, one of the first tenets of guerrilla warfare is the appropriation of enemy weapons.",2024-05-26
"Francis Marion, known as the Swamp Fox was born in 1732.  He gained notoriety his use of irregular warfare against the British. His tactics have earned him the title of one of the fathers of guerrilla and maneuver warfare,  and the nickname, The Swamp Fox. #America #USA",2024-10-14
"The difficult terrain & guerrilla warfare in Tigray offered a unique testing opportunity, while Ethiopia’s near-total communication blackout gave these nations plausible deniability.",2024-10-14
"This is really a crazy CIA psychological warfare experiment. In the 1950s, when the CIA was fighting the Huks, a communist guerrilla movement in the Philippines, they conducted research to figure out which sorts of myths and superstitions the Philippine people had. They",2024-10-10
"This is THE best read that anyone can possibly read that explains Title 10 versus Title 50 plus Unconventional Warfare, Irregular Warfare, Guerrilla Warfare, in all facets. 
https://soc.mil/528th/PDFs/Title10Title50.pdf…",2024-10-16
"My brother partially matches this description of a guerrilla fighter from MACV-SOG Guerrilla Warfare and Special Operations, 1969
He's too stupid to formulate a coherent ideology, and that doesn't make him any less dangerous
The police should be ready to shoot him next time",2024-10-14
"Someone needs to point out to Smirkula/the next idiot chiding Hamas for “using human shields” that “hiding amongst civilians” is called GUERRILLA WARFARE… i.e., what any overpowered resistance conducts… e.g., the American revolutionaries…

“Wait… AMERICA is HAMAS??????”",2024-10-17
The  of urban guerrilla warfare  https://x.com/Caisc1916/stat/Caisc1916/status/1817532469463171411…,2024-10-14
Let's talk about guerrilla warfare.  Should we?,2024-10-17
Weakened Hezbollah expected to return to its 1980 Guerrilla warfare tactics http://dlvr.it/TFGlzJ #YaLibnan #Lebanon,2024-10-12
(ENG/TH) welcome new update: Guerrilla Warfare with Reinforcements received: La Résistance,2024-10-11
"6/9

...It's happening in Gaza as we speak.

The very object of guerrilla warfare is to provoke this ""genocide"" (since they ALL know its impossible to defeat  their superior (an armed State) opponents) in order to raise an international outcry that leads to negotiations.",2024-10-13
The Vietnam War involved major battles and extensive guerrilla warfare.,2024-10-10
The Vietnam War involved major battles and extensive guerrilla warfare.,2024-10-12
"Now, I’m not wanting to overthrow nothing. 

We are all defense here 

But it is incredibly fascinating how much the internet refuses to take prepared citizens seriously. 

It’s almost as though the propaganda would lead you to believe America isn’t 4-0 for losing against  https://t.co/iReWCMumoh",2024-04-10
"Bb wars, if taken even slightly seriously can be incredible cardio training as well as getting comfortable moving in your equipment. 

You’ll also find really fast what is secured on your kit, and what isn’t. 

(Shown is us starting from our spawn point at game begin attempting",2024-08-05
What am I supposed to do? Conjure up holograms of Che Guevara? Maybe I could teach myself guerrilla warfare...,2024-10-12
"This is blatant #disinformation. Emad Baghi, an islamic researcher at #Iran's Foundation of Martyrs, reported 3,164 deaths during the Shah's reign, many in guerrilla warfare. Claims of ""tens of thousands"" are outright false: https://irna.ir/amp/83206327",2024-10-12
"This is THE best read that anyone can possibly read that explains Title 10 versus Title 50 plus Unconventional Warfare, Irregular Warfare, Guerrilla Warfare, in all facets
https://soc.mil/528th/PDFs/Title10Title50.pdf…",2024-10-16
"La guerrilla fue un error en Colombia, que trajo muchos daños, muertos y víctimas.

Presidente @petrogustavo no la glorifique más! 

Desde la izquierda democrática siempre hemos rechazado esa forma de lucha del infantilismo extremista.

Video (1-40 min.) 
@BluRadioCo #MananasBlu",2024-10-01
"Wage guerrilla war on your mind, allowing no static lines of defense, no exposed citadels—make everything fluid and mobile.",2024-10-13
Now Gotta Wanna Hear That Guerrilla Warfare Now,2024-10-10
"My fantasy team has been ran in a guerrilla warfare style.

With CMC and Collin’s on IR, I’ve branded myself the “Waiver Wire Wizard”

I have locked in Josh Downs, Kareem Hunt, Tracy Jr, Irving, JuJu, and Pop Douglas.

This is my lineup for this week.",2024-10-17
"The Principles of Guerrilla Warfare: retreat when the enemy attacks, raid when the enemy camp, chase when the enemy retreat.",2024-10-07
"
How do you see it?
Against the background of Western inactivity.
Should #Ukraine be preparing for guerrilla #warfare against #Russia as things stand?
",2024-10-16
El Juicio a las Juntas sentenció que no hubo guerra demostrando que la guerrilla jamás ocupó ni un milímetro de territorio por más de unas horas. Sin ocupación de territorio no hay guerra posible. Fueron crímenes comunes. Asaltos. Robos. Asesinatos. Nefastos. Pero guerra no hubo.,2023-10-02
The issue with this “guerrilla warfare” training claim circulating among narrative managers is that it reinforces Israel’s portrayal of Palestinians as a threat. This narrative ultimately justifies Israel’s militarized responses while exaggerating the actual threat posed by those,2024-10-10
"Palestine: Hamas forces are preparing for a guerilla war like the one on the Pacific island of Iwo Jima in World War II .

The released video shows Hamas soldiers digging into the ground like North Vietnamese forces in the Vietnam War.",2023-10-21
"New Map Mountain Pass - Enlisted Update ""Guerrilla Warfare"" https://youtu.be/-bMdEaQLweo?si=AgRD8XZWUkG5drpW… via @YouTube #enlisted",2024-10-12
"German Guerrilla Gameplay - New Enlisted Update ""Guerrilla Warfare"" https://youtu.be/u2Ew275mu4g?si=scGuqezBezSFkeR3… via @YouTube #Enlisted",2024-10-10
"Japanese Guerrilla Gameplay - New Enlisted Update ""Guerrilla Warfare"" https://youtu.be/_BFGtgJLk5E?si=a3iA22ep8FIHLOqj… via @YouTube #enlisted",2024-10-11
"KV-2 (1939) Gameplay - Enlisted Update ""Guerrilla Warfare"" https://youtu.be/OOvfLqGfvBA?si=9WJoJF1k8CyKoSzj… via @YouTube #Enlisted",2024-10-17
"This is ""British army marching to drums through a heavily wooded forest wearing red"" level of obvious. Guerrilla warfare has been around since before Ghengis Khan. Did they think Hamas was gonna meet them in open battle in the olive groves?",2023-11-04
"We possess weapons of tremendous power--but they are least effective in combating the weapons most often used by freedom's foes: subversion, infiltration, guerrilla warfare, civil disorder. 

We send arms to other peoples--just as we send them the ideals of democracy in which we",2024-10-13
"9) Así, para la guerrilla, fue siempre bastante fácil esconderse.
Montañas inaccesibles, páramos, selva densa; poca gente.
Fincas enormes de terratenientes: tras años de luchas entre la élite, la tierra siempre quedó en manos de los poderosos.

Contra eso luchaban los campesinos.",2022-06-20
"Enlisted “Guerrilla Warfare”-Update: Neue Partisanen im Spiel
https://insidexbox.de/news/enlisted-guerrilla-warfare-update-neue-partisanen-im-spiel-126889/…
__________
#Xbox #InsideXboxDE #Enlisted #Repost",2024-10-11
"  Taliban

Taliban suffered heavy damages in recent clash in Ghaznali sector. The Taliban have been fighting a sub-tactical / guerrilla warfare unlike a professional army which proceeds in formations and planned structure.

Proxies like TTP, BLA and even IEA are good at...",2024-10-07
"La mise à jour Guerrilla Warfare introduit une nouvelle classe de soldats, les guérilleros, une nouvelle carte nommée « Passe Montagneuse » dans les Ardennes de janvier 1944, et un paquet de nouvelles armes.

L'article complet par ici :",2024-10-15
"Urban guerrilla warfare is not easy as just having better equipment.  
And in every urban warfare, to be honest, the attacker side or destroy every single building, or they will never be able to completely defeat the defender.",2024-05-14
" Un nuevo grupo afgano autodenominado ""Guerrillas del Frente de Luchadores por la Libertad"" anuncia su presencia en la provincia de Baghlan y aseguran que combatirán contra los talibán.",2022-03-26
