Tweet,Date
"On this #HumanRightsDay2023  let’s bring out the #KukiAtrocities 

The “Leithao Massacre “ of 13 Meitei unarmed youth  by  Kuki militant group constitutes a grave violation of the principles outlined in the Geneva Conventions.

The egregious violation of Common Article 3,",2023-12-10
"#humanityOurReligion
Human trafficking has been identified as the largest human rights violation in the history of mankind. It can be removed by knowledge of Saint Rampal ji Maharaj..",2022-07-30
"Despite the fact that countries around the world have signed the Universal Declaration of Human Rights, in practice, these rights are being violated every day around the world.
#HumanRightsDay",2021-12-08
"𝗚𝗥𝗢𝗦𝗦 𝗩𝗜𝗢𝗟𝗔𝗧𝗜𝗢𝗡 𝗢𝗙 𝗛𝗨𝗠𝗔𝗡-𝗥𝗜𝗚𝗛𝗧𝗦 𝗜𝗡 𝗕𝗔𝗡𝗚𝗟𝗔𝗗𝗘𝗦𝗛

Civil and Political Rights are being violated in the Chittagong Hill Tracts of Bangladesh by Bangladesh Army through restriction from food buying, torture, and arbitrary arrest. These",2024-05-19
"Damning report by UN Human Rights Council:

1. War crimes, crimes against humanity including extermination, murder, unlawful killing, collective punishment, weaponising starvation, grave harm to children including starvation resulting deaths etc

2. Rape, sexual & gender based",2024-07-10
"Abuses, including assault, torture, and sexual violence, against Palestinians in the West Bank are soaring.

The Israeli military either took part in or did not protect Palestinians from violent settler attacks in the West Bank.
 https://trib.al/CQwPcOv",2024-04-20
"#Philippines: UN report finds ongoing human rights violations & abuses, incl. in anti-drug operations. Calls for progress on accountability, & continued support for UN Joint Programme.

http://ow.ly/q8l750KI2kv",2022-09-13
"#Afghanistan: UNAMA Human Rights Service report says 1,600 serious violations committed by de facto authorities during arrests & detentions. Nearly half comprise acts of torture & other cruel, inhuman or degrading treatment.
https://ow.ly/cCN050PNHQr",2023-09-20
"In a shocking display of human rights violation, a distressing video has emerged from the Indian state of Punjab, revealing a horrific incident of brutality inflicted upon a helpless man by an extremist mob.",2023-06-26
"The abduction of Baloch students from Gulshan-e-Iqbal, Karachi, on October 16 is a blatant violation of human rights.   
#EndEnforcedDisappearances",2024-10-17
