Tweet,Date
"meow am explosives eggspert 

petn is possible, but so is like dozens of other relatively easily synthesized explosives that fits it all

petn could be set off by electrostatic shock (under right method, a spark most device can provide, theres a lot of publically available info",2024-09-18
"DIY seed bombs made from paper scraps, worm castings & flower seeds ",2022-03-18
"I have some experience with explosives and will offer my modest insight into the exploding pagers discussion.

We provide support for battery testing through my company @totalshield_llc routinely. Getting a battery to explode is difficult. They will usually release gas and flame",2024-09-17
"Karachi Blast: According to reports, Vehicle Borne Improvised Explosive Device (VBIED) was used on high security convey. #Karachi",2024-10-06
"A suspect is in custody after an explosion at a Santa Maria, California courthouse injured several people. Investigators say the device was an improvised explosive device (IED), and officials are increasing patrols at nearby courthouses.",2024-09-25
"EXCLUSIVE: An improvised explosive device bound for the U.S. was intercepted at an Arizona port of entry.

The improvised explosive device was intercepted during secondary inspection by CBP officers at the Douglas, Arizona POE on May 6th. 

The IED was made using an M&M container",2023-05-11
Subject who is detained is an adult male.  Explosion was from an intentionally set improvised explosive device.,2024-09-25
"An electronic Molotov cocktail. 
This Ukrainian incendiary FPV drone munition has an electronic fuze to ignite a napalm-like gel.",2024-07-24
"no officer, i assure you this explosive is not heh, 'improvised'",2024-09-21
"Kalat: Eight Pakistani Security Personnel Injured in Roadside Bomb Attack

The Balochistan Post

Eight Pakistani security personnel were injured in an improvised explosive device (IED) attack on their vehicle in the Kalat district of Balochistan on Friday.

Deputy Commissioner of",2024-09-13
"Please help me honor Army Sgt. Louis R. Fastuca, he passed July 5th 2010 serving during Operation Enduring Freedom, of wounds sustained when insurgents attacked his vehicle with an improvised explosive device. Rest easy Hero ",2024-08-04
"Ukrainian soldiers test an improvised incendiary device intended for dropping by drones. 
The results are impressive.",2024-08-25
"Staff Sgt. Aaron Butler, 27, died Aug. 16, 2017, in Nangarhar Province, Afghanistan, from wounds he suffered when an improvised explosive device exploded during combat operations.",2024-08-16
"Three paramilitary soldiers were killed, four injured in #Pakistan’s southwestern Kalat district on Saturday when their vehicle was targeted by an improvised explosive device, an official confirmed.",2024-10-06
