Tweet,Date
"Just in: The Ethiopian government continues its use of airstrikes in the Amhara region, targeting civilians with drones and helicopters. Recent attacks in Bahir Dar have resulted in casualties and damage to critical infrastructure.",2024-10-15
"So this ""Totally natural storm"" That saw Radar readings of 128 MPH In #Houston #Texas destroyed major infrastructure.
That's the 2nd Infrastructure damaging event in Texas in 2 days. 
(Galveston Barge, Partial Bridge Collapse)
 4 pieces of media below.
Oh and this 1st video,",2024-05-17
"Just in: The Ethiopian government continues its use of airstrikes in the Amhara region, targeting civilians with drones and helicopters. Recent attacks in Bahir Dar have resulted in casualties and damage to critical infrastructure.",2024-10-14
"In this episode of #FAOBrief 
@FAO hosts the 4th edition of #WorldFoodForum2024
new @FAO-@UNOSAT geospatial data shows intensifying damage to Gaza’s agricultural infrastructure from the ongoing conflict
#FoodPriceIndex rises in September

https://soundcloud.com/unfao/fao-brief-35…",2024-10-14
The World Bank says the Israeli aggression on Gaza has caused damage of around $18.5 billion to Gaza's critical infrastructure.,2024-04-03
"Repairs still going on today
3 wire poles going back up rapidly

42 poles were snapped off",2024-07-18
"Critical infrastructure and flood protection at higher risk: At least 4 water treatment plants in Florida sustained damage in hurricanes Helene and Milton after Trump admin exemptions from tough building standards. Federal funding was $200 mil. 

https://nytimes.com/2024/10/15/climate/trump-flood-protection-rules-infrastructure.html?smid=nytcore-ios-share&referringSource=articleShare…",2024-10-16
"In places ravaged by storms and other disasters, public schools are part of the local infrastructure that keep communities together and working, especially in rural areas. https://wunc.org/education/2024-10-14/helene-nc-schools-reopen-flood-damage-mcdowell-county-blue-ridge…",2024-10-15
"Seneca Energy reminds you to know what's below and always call 811 before you dig. Calling 811 is a FREE, nationwide service that helps save lives, prevents damage to infrastructure, and protects you from injury & expenses.
 Visit http://call811.com for more information.",2024-10-10
"Jesus Christ …. I-95 being broken in half is a logistical nightmare . This will take at least a year to fix . This is why infrastructure money is desperately needed .
But let’s argue about trans people and indictments for the next 3 years..",2023-06-11
"You’ll be hearing a lot about damaged roads in the next few weeks, here’s an idea of how severe that damage is.",2022-10-17
"Devastating news this morning. 

I'm hearing reports that critical infrastructure like the new LA bus shelters DID NOT survive the storm. 

Many of them are now leaning at 0.65° angles because of the high winds.

This is expected to be an 8 year, $38M fix. 

More to come.",2023-08-21
" The UN reports that infrastructure damages in GAZA have reached an estimated $18.5 BILLION, nearly equal to the entire GDP of the West Bank and Gaza in 2022.",2024-04-07
"This growth has led to cutting corners, and the disastrous consequences of that push for development at all costs have now become clear.

That, accompanied of course with endemic corruption, is what made this buildings weak enough to tumble one after another.

10/18",2023-02-09
"This is a Bridge constructed in Bukwo District at over Shs54million, but it collapsed three days after its completion due to shoddy work.

Decentralization is turning to be more harmful in terms of service delivery.",2021-11-08
" Damage to #Ukraine's infrastructure as a result of destruction during the war has already amounted to more than $94 billion - #Kyiv School of Economics (KSE).

 Total economic losses - $600 billion.",2022-05-12
"An under construction Aguwani-Sultanganj bridge in Bihar has collapsed for the second time 

• Total cost: ₹1750 crore",2023-06-04
"In October 2024, the Mecca region in Saudi Arabia experienced severe flooding due to heavy rainfall and thunderstorms following a dust storm. The streets of Mecca were submerged in water, causing extensive damage to infrastructure. 

#SaudiArabia #Mecca #Floods",2024-10-15
" Strong winds hit Villa de Leyva, Boyacá, on Oct 12, 2024, causing damage to infrastructure and disrupting daily life. Authorities are managing the aftermath. Stay safe!  #VillaDeLeyva #Boyacá #Colombia #WeatherAlert

More info: http://worldweatheronline.com",2024-10-14
"Floods in Majengo not only damage infrastructure but also lead to health crises, with women and girls often shouldering the burden of managing contaminated water and caring for sick relatives.#ResilienceForAllKE Disaster Risk Reduction",2024-10-13
"Russia's overnight strike on Mykolaiv: 1 dead, 16 injured

According to preliminary reports, Russia targeted the city with S-300 missiles. The attack caused significant damage to an infrastructure facility, a restaurant complex, several retail pavilions, residential buildings,",2024-10-15
"#HeleneNC recovery efforts progress. @NCDOT has 2100+ employees and 1100+ pieces of heavy equip working:
670+ roads reopened
7000+ damage sites ID’d
Cut & shove work ~96% done
Damages for #transportation #infrastructure several $ billion
I-40 repair near TN contracted",2024-10-16
"""Big trucks, especially those delivering goods across the country, are a major cause of road damage. They should be tolled so the funds can be used to repair our roads. It's time for practical solutions to fix our infrastructure. — Osikani, Station Master at Kasoa on",2024-10-17
"AWESOME Monthly Monday Eco Flicks FREE EVENT at Cinema Arts Theatres in Fairfax. 

JOIN US! 

Saltwater intrusion caused by rising sea levels and hurricane surges can severely damage coastal vegetation and infrastructure. 

When saltwater permeates freshwater ecosystems, it",2024-10-11
" Hurricane #Milton swept through Florida, leaving a trail of devastation, claiming lives, and causing extensive damage to homes and infrastructure. But could this destruction have been mitigated? 

 Read our article: https://bit.ly/3UwSkHR
#ClimateRisk #Milton #Hurricane",2024-10-15
"During the second week of the ground maneuver in southern Lebanon, the IDF continued to destroy Hezbollah's infrastructure and weapons. Despite the IDF's significant damage to #Hezbollah's weapons depots throughout Lebanon, Hezbollah proves that it still possesses capabilities",2024-10-14
"City teams attending to a high number of electricity requests caused by strong wind-related damage

The strong winds have lead to damaged electricity infrastructure in a number of areas, which have resulted in large numbers of electricity service requests.",2024-10-15
" IOF Tanks Damage UNIFIL Infrastructure During Cross-Border Incident in Southern Lebanon

Yesterday morning, three Israeli military units entered southern Lebanon, prompting a response from UN peacekeepers (UNIFIL). According to their statement, two Israeli tanks entered",2024-10-14
"we’re ok.

no power. current damage can be repaired by next week (nothing close to some of the massive damage i’m seeing online). thank you to everyone who reached out",2024-10-10
"Since the beginning of the  invasion, Russia has caused enormous damage to  sports, killing athletes and coaches, as well as targeting sports infrastructure. Sanctions against  and  must continue until the aggression ceases and comprehensive and just peace is restored.",2024-10-13
"As the former director of BARDA, @RickABright ""witnessed first hand how the Trump administration systematically undermined America’s health infrastructure.”

In a 2nd Trump term, "" A determined president could do a great deal of damage through the installation of loyalists in key",2024-10-10
"The cyclone may cause flooding and infrastructure damage in #Bapatla due to heavy rains and strong winds. 
#RainAlert",2024-10-14
"""We are constantly able to verify instances of damage to civilian property, critical civilian infrastructure, and indeed to civilians themselves, including women and children"" https://newsweek.com/china-myanmar-news-junta-war-diplomacy-burma-conflict-1968533… @MyanmarWitness #WhatsHappeninglnMyanmar",2024-10-15
"VortUK weather warning.
Status Orange wind Warning
Areas: Munster and Connaught.
Time: 00:00 Sunday October 20-06:00 Monday October 21
Comments: Very windy day on Sunday with gusts as high as 130km/h expected, Locally higher. Risk of falling trees and infrastructure damage.",2024-10-17
"Intense Israeli  air raids devastate Lebanon's  Baalbek, damaging hospitals and leaving residents in fear, @AssedBaig @JamilBassil @AJEnglish 

The bombing campaign intensified, with reports of severe damage to infrastructure and ongoing strikes while staff attempted to",2024-10-16
Pinellas Point experienced significant electrical infrastructure damage as winds and water impacted the area. @DukeEnergy out-of-state crews are repairing lines damaged by large trees to restore power along Pinellas Point Dr. S and 8th St. S. #Milton @StPeteFL,2024-10-16
Hurricanes Damage Tens of Billions in US Infrastructure,2024-10-16
