Tweet,Date
"This might be a good time to bring up Bill Clinton’s assault weapons ban that reduced mass shooting deaths by 43% - but after George W Bush & Republicans let it expire - mass shooting deaths jumped 239%.

Why TF would anyone need an AK-47.",2024-09-16
Today's mass shooting: Allen Premium Outlets Mall in Texas.,2023-05-06
"This thread will be dedicated to the victims of the mass shooting in Maine.

Tricia Asselin, 53, worked part-time at Just-In-Time Recreation, a bowling alley. Although it was her day off, she was there bowling with her younger sister. She is remembered as being kind and generous.",2023-10-27
"Comedian arrested for tweeting mass shooting threat claimed it was ""performance art.""",2024-03-18
Just another totally random mass shooting by a guy whose twitter likes look like this,2023-10-26
"It’s now been reported that 22 people have been reported dead, and more than 60 more injured from the mass shooting in Lewiston, Maine. 

For all the ones in the back that STILL haven’t received the message.",2023-10-26
Another day in America with another mass shooting. I support President Biden’s call for bans on guns like the AR-15. Do you? ,2023-08-27
Andy Murray aged 9 survived a mass school shooting and went into win Wimbledon -  what a bore eh? Oh Julie - if only we could all be exciting like you,2023-07-08
Christopher Bouie identified as the suspected mass shooter,2024-04-29
"Investigations into police shooting during the Finance Bill, 2024 mass demonstrations.

#GuardingPublicInterestInPolicing
#PoliceAccountability ^EM",2024-06-21
Mass shooting in Baltimore.  30 people were shot and 4 are confirmed dead.,2023-07-02
"We’ve had 384 mass shootings year to date in the country.  The latest at Apalachee High School in Winder, Georgia.

Does this piss you off? Do you want to do something about this?

Don’t complain… Vote !",2024-09-04
"The deadliest mass shooting in America this year is now at a Chinese Lunar New Year celebration in Monterey Park, CA, a city that is 65% Asian. I can't begin to describe how fucked up it is to target a holiday of family gatherings and celebrating new beginnings.",2023-01-22
Georgia mass shooter at-large after killing at least 4 people https://trib.al/5zgNGmt,2023-07-15
"The latest mass shooting in the USA happened at the hands of a cop who was targeting his ex-wife, 3 people other than the cop were killed and 9 were injured.
(His x-wife was injured but survived)",2023-08-24
"We are averaging more than one mass shooting a day in 2022. Two school shootings just yesterday.

Stop pretending this is bad luck or some inevitable feature of living in America. We choose this carnage. And we can change our laws to choose something different.",2022-02-02
There has been a mass shooting at a block party in the Orange Mound area of Memphis.,2024-04-21
The mass shooting in Nashville yesterday is the 129th mass shooting in the US so far this year. 6 people including 3 children killed the shooter captured here on CCTV. That’s a rate of 1.4 mass shootings per day in the US in 2023.,2023-03-28
"1 horrendous mass shooting in demark today...

USA had 246 upto June 6th this year.",2022-07-03
"NYT: After mass shooting in U.S., 18 dead, 13 injured

The suspect is still at large. Authorities have urged residents of Lewiston, where the shooting occurred, and nearby communities not to leave their homes. Many schools and businesses there are closed.",2023-10-26
"a mass shooter is on the loose in my area currently. just last night he killed over 15 people.

he targeted youth night at a bowling alley and then a local restaurant.

they’re telling us to stay inside as they still haven’t found him.",2023-10-26
"UwU Nine peopwe confiwmed dead and seven injuwed in mass shooting at Texas maww, powice say <{^v^}>",2023-05-07
"HIIII! Five peopwe kiwwed and six wounded in a mass shooting in da US city of Wouisviwwe, Kentucky, powice confiwm (●´ω｀●)",2023-04-10
17 people murdered in a mass shooting and we barely blinked as a country.,2024-09-29
"Tonight, Bend, Oregon is the most recent fatal mass shooting event in America. Police reports indicate it involved an AR-15.",2022-08-29
"Gun Violence Archive says an incident where someone shot a gun into the ground and people were hit by shrapnel is a ""mass shooting"": https://gunviolencearchive.org/incident/2544566…",2023-10-27
"At least 54 injured, 11 killed in 7 separate mass shootings this weekend",2022-06-05
"NEW: Crime Watch has received information from several independent sources indicating Mustafa Ahmed Mohamed, 35, as the suspect in Thursday's south Minneapolis mass shooting and police ambush that left Officer Jamal Mitchell dead.
Records indicate that Mohamed had a violent crime",2024-06-01
El Paso mass shooter gets 90 consecutive life sentences for killing 23 people in Walmart shooting,2023-07-07
"An Omaha hero tackled one of the suspected shooters at today's tragic mass shooting in Kansas City. 

""I didn't think about it. It's just a reaction. I didn't hesitate - just do it,"" said Paul Contreras. 

#omaha | #chiefsparade",2024-02-15
"Jeremy Ganger was employed as a bouncer at Ned Peppers in the Oregon District  of Dayton, Ohio, on the tragic night of the 2019 mass shooting, which claimed the lives of nine individuals. 

He valiantly escorted numerous people into the safety of Ned Peppers Bar as the gunman",2023-12-31
"Do you know what the deadliest mass shooting in American history is?

I feel like a ton of people, especially liberals don’t even know the answer

This story never comes up on the news for reasons that become… really obvious once you look into it

More to come on this",2024-08-18
"Manhunt continues for Maine mass shooter Robert Card. 

Wednesday’s shooting rampage in Lewiston, Maine left 18 dead and 13 injured.

it is the deadliest mass shooting in the U.S. this year.

Robert Card should be considered armed and dangerous, police said. He is a certified",2023-10-27
"NYC: ""F*** The NYPD"" - Protesters shout as they Jump Subway Turnstiles EN MASS at Union Square to protest police shooting on a subway in Brooklyn, that left a fare evader in critical condition.

Video by @olgafe_images @FreedomNTV Desk@freedomnews.tv to license",2024-09-19
"Once again, our nation mourns after another senseless and tragic mass shooting.

Today, Jill and I pray for the Americans in Maine who’ve lost their lives, those in critical care, and the families, survivors, and community members enduring shock and grief.

Here's my statement:",2023-10-26
"Michigan State shooting survivor Jackie Matthews also endured the 2012 Sandy Hook massacre: “I am 21 years old, and this is the second mass shooting that I have now lived through” ",2023-02-15
"I'm in Monterey Park to grieve with a community impacted by a mass shooting this year.

I won't stop fighting to end the scourge of gun violence.

I signed the largest gun safety legislation in decades. And, today, I'll sign an Executive Order directing my Cabinet to build on it:",2023-03-14
"When Republicans inevitably blame the horrific mass shooting in Maine on mental illness and not on the guns, show them this:",2023-10-26
"Jill and I join the Uvalde community in honoring the lives of those who were tragically stolen from us in a mass shooting at Robb Elementary School 2 years ago today.

As we mark this solemn day, may we pray for those we lost, their loved ones, and all those who were wounded.",2024-05-24
This guy murdered 4 Whites last month. Why were you silent about this mass shooting Mr. Goldman?,2023-08-28
"One year ago today, 11 people were killed in a mass shooting in Monterey Park, California.

We mourn with the families who lost loved ones, and we remain committed to calling on Congress to pass commonsense gun safety laws.",2024-01-21
"Ted Cruz: 

""Heidi & I are fervently lifting up in prayer the children and families in the horrific shooting in [INSERT LOCATION OF LATEST MASS SHOOTING HERE].""",2023-05-07
"BREAKING:

Another mass shooting in Texas today 

At Allen Premium Outlets shopping mall

Multiple victims including children 

Shooter is dead",2023-05-06
"there’s been a mass shooting in Texas, 15 people, between kids and a teacher died",2022-05-24
"According to CNN there were 7 mass shootings in the US yesterday. (A mass shooting is defined by 4 or more victims, not including the shooter.)",2022-07-05
"This is the eleventh mass shooting in the United States and the fourth in California this week. 

THIS. WEEK.

Thoughts and prayers are not enough. We need action.",2023-01-28
"The definition of a mass shooting here is one that involves 4 or more victims. We can quibble over what exactly the line should be, but pretty quickly you’re going to start to exclude some of the supposed trans shootings he identified",2023-03-28
"America has just witnessed a 233rd mass shooting in 2022 with 4 people murdered and the year is not even halfway through...

This. Is. Wild.",2022-06-02
