Tweet,Date
"Mansoor Bhsi @_Mansoor_Ali 

Gene Sharp was an SME in Political Science and suggested 198 ways of non-violent actions to protest against fascist regimes and their collaborators, abettors and facilitators. Social and economic boycott is the most common way of registering your",2024-03-26
"The So-Called ‘Peaceful Demonstration’ by the Democracy Hub led by Oliver. It was peaceful thanks to the over 20 protesters. 

These protesters some of you are pushing hashtags to get them released made life uncomfortable and unbearable for innocent citizens. They harassed and",2024-09-26
Everyone has the right to make their voices heard through peaceful protest. Violence only takes us further from the change we seek. Let’s stand together and push for progress with respect and unity.,2024-09-24
"For folx who are pissed and new to nonviolent direct action and civil resistance, here is how you can prepare for a protest or action.",2022-05-03
"This is what a peaceful, respectful demonstration outside Parliament looks like - the very first Fridays For Future event in 2019. We didn't throw shit at the police. We didn't burn the playground. Together, peacefully, we got Climate Emergency declared. #endtheprotest",2022-03-02
"Since Twitter is having its annual ""why do people protest in ways I don't like /that inconvenience me/that I don't personally find wise?!"" discourse, an excerpt from MLK's Letter from a Birmingham Jail. The *point* of nonviolent protest is to create a crisis/tension/inconvenience",2023-05-07
"This is how protests are done when inspired by the people's interests. Create a peaceful atmosphere where all can participate. No stoning of cars, no looting and there is clear uniform for protesters to weed out rogues.",2023-03-20
When senators call the cops over sidewalk chalk and pass new legislation to protect judges from candlelight vigils they’re pretty much foreclosing the possibility of “nonviolent” protest.,2022-05-10
"""We're nonviolent""

NEWSFLASH:  Blocking traffic can cause crashes and also stops emergency first responders from saving lives, resulting in multiple injuries and/or deaths.  

Yes, you are violent and a complete nuisance to society.",2024-10-13
"They look like peaceful protest to me and I don’t always agree with this man or his father, but I agree here wholeheartedly. They do sit back. What the Hells wrong with us? Why am I the only one out there.",2021-11-28
"On Wednesday:

 DC: 200 protesters with IfNotNow, @JVPAction and @DemoSocialists held a vigil and engaged in nonviolent civil disobedience outside of the Democratic National headquarters before being violently attacked by police.",2023-11-18
