Tweet,Date
"SANA condemns police torture, assault and arrests on activists who were only trying to stage a peace rally in #Karachi today. Musician Saif Samejo’s arrest underway in this video, which is highly condemnable.",2024-10-13
"Burmese people learnt that the way to peace is to rely on ourselves. This peaceful rally in a rural area is now possible thanks to… ourselves. The video speaks for itself. This is a #HomeGrownRevolution - neither a creation of the west nor China. 

#WhatsHappeningInMyanmar",2024-10-12
"Ten police women dragging a peace activist young lawyer Romasa chandio, daughter of Sindhi writer @ChandioJami outside #Karachi press club. Peace activists were there to take out peace rally against surging religious extremism in #Sindh & demanding justice for slain physician Dr.",2024-10-13
"""I once wrote a song called Peace Train, and I still believe in it. I have come here to be with you, to join together for the cause of Peace and humanity, and a Free Palestine""

Yusuf spoke at a rally of over 500,000 people today in Istanbul, calling for a cease fire and stopping",2023-10-28
"Now in Parliament Square calling for the release of the innocent Israeli hostages - men, women, children, toddlers and grandparents.

You want peace?  This is the way to start - Hamas must release the hostages, disarm and surrender. 

This is what a peaceful rally looks like!!",2023-11-05
"The people of #brisbane stand against the genocide on #Gaza and #Palestine 
This was todays rally for Gaza, Lebanon, and the WestBank ",2024-10-13
"And they let him go the same day?
Another farce. Another campaign bullshite drama.

#Rabbithole
#Misfits

 ""Man with loaded gun arrested at checkpoint near Donald Trump’s weekend rally in Southern California"" on SmartNews: https://l.smartnews.com/p-dKoBa/YkG0Y6 #SmartNews",2024-10-13
"Rali Gogledd Cymru...dewch yn llu
North Wales rally....join us.
#peace #StopGazaLebanonGenocide #StopArmingIsrael #FreePalestine #RhyddidiBalesteina
#BDS",2024-10-13
"i’m really frustrated w/ how the pro-palestine rally in DC last november set the tone for a lot of the current BS: ppl self-promoting, telling authorities where they’ll be ahead of time, patting themselves on the back for “being peaceful,” excluding cries for global solidarity…",2024-10-04
"30,000 fascists gathered in Earl's Court in July 1939 in a 'Peace Rally' while their master in Berlin plotted war and conquests.

This is where Farage is now – The Oswald Mosley of our times, pretending to support peace while peddling the propaganda of the fascist aggressor.",2024-06-22
"Today, July 28, 2023, from Baitul Mukarram Masjid South Gate, Bangladesh Awami Jubo League, Awami Volunteers League and Bangladesh Chhatra League jointly organized “Peace Rally”.",2023-07-28
"HAPPENING NOW IN TEL AVIV! The largest rally we had against this war and for Israeli-Palestinian peace. Thousands of Jewish and Palestinian citizens of Israel are marching now demanding a ceasefire agreement, the release of the hostages and the end of the killing in Gaza. Wow.",2024-01-18
"THIS IS HUGE! A thousand Jewish & Palestinian citizens of Israel are rallying in Tel Aviv against this endless war and in demand for a ceasefire agreement that will bring back the hostages and will stop the killing in Gaza.

Largest rally for peace since the start of the war.",2023-12-28
Some glimpses of the peace rally from pannor. CPM should allow people to live peacefully. They should shed their violent political culture.,2024-04-06
"On Thurs., Nov. 16th at 8pm ET/5pm PT, we're gathering a digital assembly of souls, of all colors, for a VIRTUAL CAMPAIGN RALLY. Join us as we together demand a ceasefire in Gaza, champion peace, and shake the foundations of injustice. Let's build a chorus for truth, justice and",2023-11-09
"Rest in peace to Corey Comperatore, who died during the Trump Rally. 

He died a hero, and he will not be forgotten.",2024-07-14
"OTTAWA:  “We Stand with Israel” Peace Rally is under way. 

No genocidal chants, terrorism apologists, racism, facial concealment or incitement of hate. 
 @lincolnmjay",2023-10-15
"Palestinian and Israeli flags flutter together in front of the Ontario legislature.

The competing demonstrations could almost be mistaken as a joint rally for peace.

#cdnpoli #Toronto #Palestine #Israel #Gaza #ProtestMania",2024-10-07
"Today, we lost Ma’am Evelyn, the power woman who attended VP Leni’s rally and exercised her right to vote. I’m sure she is at peace knowing that she fought for our country to experience an honest  governance.",2022-05-16
"The peaceful transition from the 4th to the 5th President @WilliamsRuto sets Kenya apart as a mature democracy in Africa.Whether you voted Yellow(50+1)orBlue(50-1) let’s rally behind our President &together build a Rainbow Nation called Kenya and dwell in unity,peace and liberty.",2022-09-13
"A lesson for Pakistanis…

This is a peaceful rally in Poland of over half a million people protesting against corruption.

#FascistRegime of Shehbaz Sharif",2023-06-05
"People of Leh today observed one-day fast in support of #SonamWangchuk , who is sitting on 28 day fast in New Delhi seeking #SixthSchedule for #Ladakh  to preserve Himalayan ecosystem. People also took out a peace rally under the banner of #LehApexBody in Main Market, Leh.",2024-10-13
Massive Peace Rally today in Manipur at Thoubal. Stop deforestation and poppy plantation. Stop Meitei Genocide in Manipur.,2023-05-20
"Our demand is Israeli-Palestinian peace. An end to this endless war. A reality of freedom, equality and safety to every human being on this land, Jews and Palestinians.

Tonight we had in TLV the largest rally calling for peace and a ceasefire agreement, since this war started.",2023-12-28
