Tweet,Date
"phosgene (COCl2) is a gas that kind of smells like hay: historically it's been used by armies in WW1 and 2 as poison gas. it's dangerous to humans at 2 ppm of exposure and is primarily known for causing pulmonary edemas, hypoxia and, in high exposure, death after 2-3 days.",2023-02-11
"Nitrous oxide, the ingredient in laughing gas, is now being called 'galaxy gas' on social media. Don't let the short duration fool you. This can be a fatal high. #GalaxyGas #NitrousOxide #PoisonControl #SubstanceAbuse #AddictionAwareness",2024-10-17
"Russians are poisoning our soldiers with gas in Heorhiivka, near Pokrovsk in Donetsk region.

Poison gas is banned by the Geneva Convention, but Russia can’t resist borrowing from the Nazi playbook.

Despite gassing millions in chambers, Hitler refused to use gas in battle. Makes",2024-10-17
Lin Harper never fails challenge her students to engage with history! I’ve always enjoyed watching the trench warfare lesson and today didn’t disappoint! “Poison gas!!!!!”  @RHHSHawks @RISDSecondary,2024-10-17
Israel has just used poison gas on UN peacekeepers in Lebanon. This murderous criminal regime must be stopped.,2024-10-13
"Hitler used poison gas to kill people(at the same time).  Israel killed people by making the pager phone and the walkie-talkies explode( at the same time).  Same thing with mass murder.  What's different?
#UN #UnitedStatesofAmerica #what_happen_in_the_world",2024-10-04
"October 8, 2024: The poison gas Pokémon, Weezing ",2024-10-08
The Pink gas is poisonous and makes one to vomit blood. It attacks the lungs and one may experience respiratory difficulty. Beware.,2024-07-16
 #HurricaneMilton: #Carbonmonoxide is an invisible gas that can quickly build up inside homes & apartments from unexpected sources like running cars.  #COpoisoning is a leading cause of illness and death to people & pets during storms. #PoisonHelp 1-800-222-1222 #Milton,2024-10-10
"Storm Clean up dangers:
Don't mix bleach & ammonia – creates toxic gas
 Don't mix bleach & vinegar – creates toxic gas
Open windows/doors to ventilate
Store chemicals out of reach of children
#Poison Help: 1-800-222-1222.",2024-10-11
Poison Mustard Gas Mixed with Acidic Menthol Mucosa Eating Base,2024-10-04
#UPDATE: Police scanners are reporting the toxic chemical that is currently leaking is nitric acid which is extremely toxic if you get In contact,2023-02-14
Using a uisex bathroom after a woman just used it stings your eyes like a fuсking ww1 poison gas attack (no offence ladies),2024-10-05
"Esto debería ser un escándalo. El gas de ayer probablemente sea ""CS"" (Clorobenzilideno malononitrilo), gas lacrimógeno, mucho más irritante que el gas pimienta. Naciones Unidas dice que puede causar quemaduras, y que no debería usarse en situaciones de ""resistencia pasiva"".",2024-02-02
"Israeli is bombing Gaza with internationally banned phosphorus munition.

A poisonous chemical that ignites on contact with oxygen & burns everything in its way.

The fumes alone are toxic & can cause serious damage to internal organs upon inhalation.

Al-Karama towers",2023-10-10
"Carbon monoxide poisoning

Carbon monoxide is an exhaust gas that emits after fuel combustion. In cars with clogged tail pipe the gas enters inside car and it's so lethal that within 1.5 mins it can reach a dangerous level and can kill within 10-15 mins.",2022-01-08
"#Milton
Storm Clean up dangers:
Don't mix bleach & ammonia – creates toxic gas
 Don't mix bleach & vinegar – creates toxic gas
Open windows/doors to ventilate
Store chemicals out of reach of children
#Poison Help: 1-800-222-1222.",2024-10-12
