Tweet,Date
"Just one more reason why it should never be the employees responsibility to cover a missed shift. That's the managers job, Linda. That policy just turned this entire workplace into a toxic cesspool. Wild stuff. Seriously, who does this?",2024-07-09
"BAIER: Critics say that you relaxed or failed to enforce sanctions on Iran

@VP Kamala Harris deflected the question, choosing instead to shift the blame onto President Trump, who implemented a policy of maximum pressure on the regime.",2024-10-17
 BREAKING: Donald Trump has announced a bold economic policy stating he plans to impose a 100% tariff on goods from countries that shift away from the US dollar as the global reserve currency. This move could potentially accelerate the adoption of alternative financial systems,2024-10-15
"Great to see Bridge2Bitcoin & Musqet at ExCeL! 

Businesses are embracing bitcoin more than ever—there’s a noticeable shift in interest from last year. 

By connecting solutions with practical applications, bitcoin becomes accessible & beneficial for all. 

Bitcoin is inevitable.",2024-10-16
"It is time for a coordinated, strategic shift in Western policy from appeasement in the hopes of behavior change to maximum pressure on the Islamic Republic and maximum support of the Iranian people in order to free Iran and the region from this regime's terror.

@BBCNews",2024-04-17
"Maharashtra's New Textile Policy Paying dividends.

In a significant shift, numerous textile units from Surat and South Gujarat are relocating to Navapur and Nandurbar, drawn by substantially lower electricity costs.

Navapur's industrial township, developed by MIDC, has already",2024-10-17
"JUST IN:  President Biden’s campaign team is reaching out to the #Bitcoin and crypto industry on policy formulation - The Block

Reports of a significant “shift” in tone from the Biden administration...with a new willingness to understand digital assets.

First Wall Street.
Now",2024-05-30
"Biden is about to drag America into war with Iran on behalf of Israel. The disastrous way he has handled matters since Israel bombed the Iranian consulate in Damascus shows that any shift in Biden's policy on Israel was all talk, no walk.

Here's a short thread on Biden's latest",2024-04-12
" @SuellaBraverman “schools and teachers who socially transition a child without the knowledge or consent of parents, or without medical advice, increase their exposure to a negligence claim for breach of their duty of care to that child.”",2022-08-10
"It’s interesting to see the shift regarding copy trading on @MyFundedFX accounts after it was allowed for so long. 

Shouldn't prop firms offer clearer communication and heads up about policy changes like this?",2024-10-17
Tune in tonight to hear more about @anewpolicyorg and the why we need to shift the political-economic incentives in order to align American foreign policy with our interests and values.,2024-10-17
"Not the kind of reformist policy  we were promised in the first 100 days of the new Govt. 
Govt strategy should be make good policy and spend money on welfare for votes, not save money for fisc and make bad policy for votes. Former is controllable, latter causes structural damage",2024-09-27
"First, Policy Changes:
Where to start?  It has been a colossal week for policy changes. The race to declare Covid 'over' has kept the spin-masters busy!

Denmark was first. 
The confidence of their assertion Covid was no longer a significant threat met the harsh reality this wk.",2022-02-27
"Not really seeing people see the major change in policy here. Since 2016, the government's policy on everything has been to work out how to manage without a close relationship with our entire continent. Now, it has changed completely. This is bigger than some people realise.",2023-02-12
"One of the most important secular shifts in the US is coming from the declines in labor force growth.

With growth rates like these, the US only needs modestly positive payrolls to keep labor markets tight. And old models based on expected 1%+ growth will need to be changed.",2024-01-02
"Did policymaking really change after 2008? Not immediately, but a genuine paradigm shift is taking place… amongst central bankers and EU technocrats setting financial and fiscal rules.

Technocratic Keynesianism - A summary

Open access at @NPEjournal: https://tandfonline.com/doi/full/10.1080/13563467.2021.2013791…",2022-01-03
"Sussan Ley ""we are developing policies - it's only 5 months since the election""

She's been demanding spending to address cost of living pressure despite Angus Taylor demanding restraint.

Does that count as two policies in Liberal Leftover Land?

#auspol",2022-10-13
"they can't point to any actual policy shift, because there is none. They say there is none. They keep saying ""don't worry about symbolic bullshit, that's for the pseudo-radical Tiktokers, Intercept writers and Twitch streamers to corral votes for us."" And they all do it with glee",2024-07-23
"My Son #Ethan is trying to be responsible , but look at what happens. This is 60km from Dar city center, and the color of the bottle tells you everything you need to know. Do we need a quick fix?  A system change?  A policy change?  Or a shift in brand identity? ",2024-10-14
Kenya’s Statement to the 75th EXCOM as delvered today by PS ⁦@JuliusKBitok⁩ highlighting Kenya’s commitnent thro open door policy on recieving & documentations of refugees; shift from encampment to integrated settlemts & social economic inclusion & integration @DRSKenya⁩,2024-10-15
"Police Commissioner Dr Kevin Blake has hinted at the possibility of a shift in the Jamaica Constabulary Force’s (JCF) grooming policy, with the current prohibition on beards being lifted. https://jamaicaobserver.com/2024/10/17/commissioner-floats-lifting-ban-beards-jcf/…",2024-10-17
"a shift I'm happy about is dems mostly abandoning rhetoric from 2020 that inadvertently created a permission structure for biden voters to go GOP downballot

they don't treat trump as an anomaly within the GOP anymore; notice they started using ""trump & MAGA republicans"" in ~2021",2024-08-23
" Global crypto funds record outflows totaling $407 million as investors shift focus from monetary policy outlooks to U.S. elections.
https://dailycoin.com/crypto-funds-see-407m-inflows-amid-u-s-political-shifts/…",2024-10-14
"8/11 Ukrainian authorities are facing pressure to permit exports of Ukrainian weapons; if this occurs, it would represent a significant policy shift driven by requests from the financially strained domestic arms industry.",2024-10-14
"Since 2014, political metamorphosis of #India under BJP has diverged from Nehru's liberal vision towards a Hindu-centric identity led by Modi. This shift has propelled assertive foreign policy actions, allegations of transnational terrorism
https://southasiatimes.org/political-metamorphosis-of-india/…",2024-10-15
" In major policy shift, EU considers ""return hubs"" for irregular migrants as attitudes to migration harden across the bloc. 

 Joanna Gill reports. 

 https://context.news/socioeconomic-inclusion/is-the-eu-considering-a-rwanda-style-asylum-system?utm_source=twitter&utm_medium=social&utm_campaign=context-newsroom…",2024-10-17
"Chris Hattingh unpacks the signals that possibly portend a shift in government policy and in the relationship between government and business.

https://youtube.com/watch?v=lb0zJX55eaE…

Stay informed, access the full video and become a CRA client: https://cra-sa.com/subscribe

Understand. Prepare.",2024-10-16
" This whitepaper delves into how adopting Shift-Down security practices, combined with Policy as Code (PaC), enables cloud-native organizations to meet security demands.

https://hubs.ly/Q02PVjsc0
#whitepaper #kubernetes #devops",2024-10-16
"For context, this ""dramatic social shift"" is the foreign-born population going from 13% to 16% over the course of ten years.",2022-11-02
"Gachagua’s exit could lead to a shift toward policy-based politics, where leaders are evaluated based on the quality of their ideas and policies rather than their tribal affiliations. #EndOfTribalChief",2024-10-16
"Is the EUconsidering a rwanda-style asylum system ? In major policy shift, EU considers ""return hubs"" for irregular migrants as attitudes to migration harden across the bloc. The European Union is considering the creation of ""return hubs"" outside the bloc to increase and",2024-10-17
" Our new report demonstrates that the SNP's Gender Recognition Reform Bill, which aims to change the law regulating legal sex change for those born or resident in Scotland, will fundamentally alter the law relating to equal opportunities across the UK.",2023-01-12
"THE DEM SCAM
In VC it's not real until money is wired. And in DC it's not real until Gensler is fired. That's why Crypto for Harris is a scam: they want crypto's votes without spending any political capital.

If the policy shift was real they would immediately:

1) Fire Gary",2024-08-08
" Trump blames Zelenskiy for Ukraine war's start, signaling potential shift in U.S. policy toward reduced aid if elected

Full Story → https://app.piqsuite.com/reuters/trump-blames-ukraines-zelenskiy-for-starting-war-with-russia-2024-10-17-18-57-29…",2024-10-17
"Monitoring and evaluation for interventions for gender based violence, both policy and program from @icrhk_official and @kuweehub2 at the @SafariPark_H 
Localized data reflects the reality on the ground, the shift to interventions is much needed.",2024-10-17
"The “Shift” is a very powerful price action logic which signals that price is temporarily or permanently assuming a new trend

It features;
•Price tapping into a Higher timeframe keylevel
•A failure swing
•Inducement + Target

Zoom in & study
Repost for others",2024-06-19
"Chronic diseases (NCDs) are accountable for over 70% of global deaths.

But only 1-2% of total development assistance for health (DAH) has been dedicated to NCDs in the past 20-30 years.

Read in Tracking NCD Funding Flows policy brief about how can we shift financing",2024-10-14
"I have been awarded the Rhodes Scholarship for 2021.

I’m heading to Oxford to study intersectional gender equality policy. 

As an Asian-Australian woman from a low-income background, I am so determined to shift the barriers that diverse women face.

https://cass.anu.edu.au/news/anu-international-relationslaw-student-yasmin-poole-named-rhodes-scholar…",2021-12-05
"China Reportedly Planning to Welcome Myanmar Junta Boss.T move looks like a major policy shift of Beijing, n also giving some much-desired legitimacy to the junta. China's influence on Myanmar could be effective tools to resolve rohingya refugee crisis.",2024-10-16
