Tweet,Date
"Here's a fact for you @Tim_Walz

Murder is up 21.3% in Minneapolis year. 

Robbery is up 11.1%.

Destruction of Property is up 14.4%.

NOTHING you are doing is working. In fact, it is only getting worse.

This is what 37,035 crimes look like.

source: Minn Police Dept 10/15/2024",2024-10-16
Your tax dollars not only paid for this incredible sequence of events to occur but they will also cover the inevitable payout for damages from things like ignoring clearly posted signs while unsafely handling a firearm and intentionally destroying private property for no reason.,2024-09-27
"#HAPPENINGNOW: @Columbia has requested our assistance to take back their campus, which has seen disturbing acts of violence, forms of intimidation & destruction of property. 

@NYPDnews is dispersing the unlawful encampment and persons barricaded inside of university buildings",2024-05-01
"Destruction of property is where i draw the line!
#BBNaija",2023-08-18
"This type of comment amaze me. Too many people have zero understanding of the first amendment.

Destroying your own property is free speech. Destroying someone else’s property is a crime.

You can Light your own flag on fire, but you can’t set fire to the flag at the courthouse.",2024-08-06
"We commend our youth for exercising their constitutional rights to be involved in the affairs of their country. Unfortunately, criminals often hijack such initiatives, engaging in violence and destruction of property. This should not silence their voices. Moving forward, we will",2024-06-26
Destruction of Private property. I am sure someone recognizes this simpleton.,2024-10-09
Officer damages private property while executing a search warrant,2023-06-12
i heard they claimed it to the police so you wouldn’t be able to destroy bc it’s destruction of property of there personal items or something like that,2024-10-13
"The Israeli Defence Forces are reportedly destroying all buildings in the #Gaza Strip within a km of the Israel-Gaza fence.
 
Extensive destruction of property, not justified by military necessity and carried out unlawfully & wantonly, amounts to a war crime - @volker_turk",2024-02-08
Officer damages private property while executing a search warrant,2023-07-17
"Here's a fact for you @Tim_Walz

Murder is up 21.3% in Minneapolis year. 

Robbery is up 11.1%.

Destruction of Property is up 14.4%.

NOTHING you are doing is working. In fact, it is only getting worse.

This is what 37,035 crimes look like.

source: Minn Police Dept 10/15/2024",2024-10-17
"One guy pulled a fire alarm that resulted in no injuries. 

One guy incited an Insurrection that resulted in the death of several officers and the destruction of Government property.

Guess which guy Republicans are calling for the arrest of? The guy who pulled the fire alarm.",2023-09-30
"Biden should send a publicly disclosed warning order to the DoD/National Guard THIS WEEK for the days following the upcoming election. No matter who wins, the probability of violence and property destruction from both sides is high. DC needs to get ahead of the property",2024-10-16
Destruction of property is a crime. This is not a peaceful protest its a conquest mob. To destroy and conquer. They need to be arrested and fined.,2024-08-31
Wild how destruction of personal property isn’t seen as a crime if that property belongs to the poor and unhoused. This is illegal,2022-12-03
"Fort Yates, ND Woman Indicted for Arson and Destruction of Government Property

Press Release:",2024-10-17
"Let me make this clear since I see people posting videos like this one from last night claiming that ""NYPD officers are barging into protests to stop free speech"".

Free speech DOES NOT include the destruction of public property.  

Climbing a light pole on Veterans Day, breaking",2023-11-11
Urgent | Reuters quoting the President of the World Bank: The value of property destruction due to the conflict in the Middle East may exceed $ 20 billion,2024-10-15
"This happened over the weekend in the Nashville TN area, there is no excuse for destroying this man's hard work and property.

It's a goddamn shame that seeing someone try to survive upsets some people this much.",2023-09-18
"The challenges mount. Suicides, fatal overdoses, property destruction, families vacating due to safety concerns.

 One man set the community room couches on fire and then raped an outside guest experiencing homelessness. Another non-resident moved into a rooftop maintenance room",2024-10-16
Employee of Brookfield Properties vandalising property that does not belong to him.,2024-08-07
"A member of Palestine Action, the group behind countless instances of vandalism, destruction of property, and assault walked around a convention harassing people.

These people make it too easy to hate them.",2024-10-16
"How is this legal yet it looks so illegal, destroying someone’s property because court ordered for his eviction looks so illegal.",2024-06-13
"According to Trump's executive order, destruction of federal property carries a 10-year sentence.  Get on it, DoJ!",2022-08-11
"Further scenes for the lsraeli occupation forces destroying Palestinian-owned property in Nablus, occupied West Bank.",2024-08-15
Destruction of your own property is not a crime nor is it abuse. She walked in on him and started recording him.,2022-07-05
"DESTRUCTION OF PUBLIC PROPERTY

We don't know what got more damaged tho, the property or his head.

#DPRIAN",2023-08-22
"Destroying your partner’s property is a form of physical abuse. Throwing things in the direction of or around your partner is also a form of physical abuse. Physical abuse can be any physical force used to manipulate, harm, or threaten you.",2023-01-13
"Perturbación Violenta a la Posesión: 

Artículo 221 del código penal de El :

“El que con el propósito de ocasionar perjuicio destruyere, inutilizare, hiciere desaparecer o deteriorare, una cosa total o parcialmente ajena, siempre que el daño exceda de doscientos colones será",2024-01-05
Wife caught on camera destroying her husband’s properties,2024-08-15
A woman decided to destroy his boyfriend's house just because she suspected him of cheating Check the damage,2023-12-05
"We had a squatter at one of our properties, luckily, Management was able to get them out before they were able to establish any “rights”.

These knuckleheads absolutely wrecked the place. They spray-painted the lights, red and the air ducks black. 4k in damage.

To what end?",2024-03-29
"Vandalizing and desecrating US government property is not a first amendment right, nor is it a minor incident. It is a major incident. It is a crime. 

They should have been arrested and charged with 18 U.S. Code § 1361 - Destruction of Government Property.",2023-11-05
"DEVELOPING: An Atlanta woman is looking for answers after a longtime family-owned property was reduced to rubble while she was away on vacation, apparently due to an error by a local hauling and demolition company.",2023-10-22
"Look at how these 200 yr old bonded warehouses have been vandalised, all enabled & overseen by the city council, Port of Cork, Tower Holding Group & government
They should all be charged with criminal damage of this stunning priceless heritage 
#DerelictIreland #HeritageMatters",2024-09-10
College Girl Charged w/ Destruction of Property for Vandalizing Politica... https://youtu.be/zexCawF2Bmo?si=d4lvBIhX6VK3eoFa… via @YouTube,2024-10-15
" Lebanon: The Israeli Air Force/army is increasingly bombing civilian populated areas in southern Lebanon with death and wounded among Lebanese residents.

The same happened in the Gaza Strip, with massive destruction of local property.",2024-10-17
That is destruction of property ,2024-10-14
" Pressed charges, outstanding.  Rightfully so.

[Video] It’s called destruction of private property. #Privateproperty",2024-10-16
I condemn in the strongest terms possible the wanton destruction of property - public & private - in the name of protesting high cost of living. These are not demonstrations. This is thuggery clothed in constitutional garb. This is economic sabotage.. its intended effect is,2023-07-12
"Call the cops, charge her with destruction of property",2024-10-16
"Beat: E2, TRU - PROPERTY DESTRUCTION/DAMAGE at 13XX BLOCK OF E MADISON ST reported on 10/16/2024 11:09 AM, Call# 24000293830",2024-10-16
"In any riot what Muslims do is irreversible while what Hindus do is reversible.
Muslims kill & rape Hindus while Hindus vow to kill & boycott Muslims.
Muslims burn down properties of Hindus while Hindus shout to avenge the destruction of property. 
#BahraichRiots 
बहराइच हिंसा",2024-10-15
"Beat: G3, TRU - PROPERTY DESTRUCTION/DAMAGE at 23 AV S / S JACKSON ST reported on 10/17/2024 12:04 PM, Call# 24000294899",2024-10-17
"Beat: D3, TRU - PROPERTY DESTRUCTION/DAMAGE at 26XX BLOCK OF FRANKLIN AV E reported on 10/15/2024 10:08 AM, Call# 24000292676",2024-10-15
" I have to try
""You have not, because you ask not""
Lately a series of events have blindsided me and I am unable to manage situations financially. Destruction to my property has made it uninhabitable at the moment. Beyond my means to fix properly at this time.",2024-10-16
"Sudi: I will name the leaders who sponsored destruction of property
https://ow.ly/x2BG50SwsR2",2024-07-07
"Beat: G3, TRU - PROPERTY DESTRUCTION/DAMAGE at 18XX BLOCK OF S JACKSON ST reported on 10/17/2024 2:46 PM, Call# 24000295050",2024-10-17
'There’s Nothing Worse Than Having Your Property Damaged' Says Politician to Generation Who Really Wouldn’t Know: https://ow.ly/K86E50RxWqE,2024-05-12
"Last I checked, defacing or destroying property that does not belong to you is illegal. Their sentences are too short.",2024-09-28
"Section 339(1) of the Penal Code;“Any person who willfully and unlawfully destroys or damages any property is guilty of an offence, which, unless otherwise stated, is a misdemeanor, and is liable, if no other punishment is provided, to imprisonment for five years.”",2022-09-25
"the thousands of dollars of damage is bad enough, but her grandmothers paintings being ruined is downright cruel :(. i don’t understand the joy some people derive from destruction",2024-02-07
"Caught on video California

Neighbours capture a man destroying what is said to be his ex-wife’s house and other neighbours property after losing it on both his ex-wife and neighbours in Inglewood California. Quite the video. Part 2 in a separate post.",2023-01-16
This is city or state property. Any charge above destruction of property is an admission by the govt to their own criminal use of tax funds for discriminatory purposes. SCOTUS ruled on this in 1954.,2024-02-20
