Tweet,Date
"Women use false accusations against men as a means of coercive control.

When women falsely accuse men and it results in the police being involved, it is a form of violence known as ""proxy violence.""  The woman has used lies to motivate institutional violence against the man.",2024-07-28
"The proxy groups and agents of adversary States like BLA and other Khuwarijs use various tactics to mislead the public against the state, often requiring financial resources. To acquire these funds, they engage in crimes like smuggling and extortion, which serve as easy sources",2024-10-03
"On Oct 10 interview with @NewsHour, he says he saw terrorists rape many women, then kill with knives, then rape the dead.",2024-01-05
"Siamo profondamente scioccati e turbati dalla violenza inaudita di quanti oggi durante la manifestazione contro ogni violenza, svoltasi a Roma, hanno accerchiato e poi assaltato la nostra sede. 

In assetto da guerra, manifestanti hanno lanciato bottiglie, pietre e fumogeni,",2023-11-25
"Remember, they attend protests to disrupt and instigate to produce moments like this that they can spin and lie about 

Have been to a bazillion protests over the last 15 years 

Have never witnessed a pro palestine supporter commit or suggest an act of violence",2024-06-23
"A proxy war is ""a war fought between groups of smaller countries that each represent the interests of other larger powers, and may have help & support from these"". #Iran #Yemen #Terrorist
Iran is fueling a war in Iraq, Syria, Lebanon, Yemen & more. #PersianEmpireDream #StopTheWar",2022-02-25
"On Dec 28 interview with @nytimes. He said he saw five civilians semi-circle a woman. He said a person rapes her.

https://nytimes.com/2023/12/28/world/middleeast/oct-7-attacks-hamas-israel-sexual-violence.html…",2024-01-05
"You can see this mom has Munchhausen syndrome. 

Munchausen by proxy is a form of child abuse. The caretaker of a child, most often a mother, either makes up fake symptoms or causes real symptoms to make it look like the child is sick",2023-08-24
"This is not true. It’s called “proxy violence” where women often employ men (e.g, brothers, cousins, uncles) to enact violence on their behalf. 

Just because it doesn’t get the attention it needs, doesn’t mean it doesn’t happen.",2023-07-16
"I'm only gonna address this once and hopefully it gives ppl some perspective of what goes down whenever something like this happens. the ppl that you saw with their phones all over xz's face aren't fans, those are proxy shooters, those proxy benefit monetary",2024-02-21
