Tweet,Date
Bought some $god at 120K because they won’t stop raiding me,2024-10-15
The police after raiding Diddy’s house,2024-09-20
"Now we know why consumers are spending -- they're raiding the 401k.

Hardship withdrawals from retirement accounts soared last year by 30% to 3.6 million. The top reasons are avoiding eviction or foreclosure and unpaid medical bills. 

This brought the average 401k balance down",2023-11-28
"Police , Fia, and others again at Kunjah House . They keep raiding without warrant. By raiding our house you think you will make us leave @ImranKhanPTI . Think again!!",2023-02-06
Me running out of NRS with the Deception Havik skin after raiding their basement.,2024-10-17
"DIICOT raiding my house, they’re in the process of counting all the money they stole and I’m sure I won’t see my friends/family for 6 months.

@RorSyns- “One for the road? ” 

Officer- Hey are you drinking alcohol? 

Me- You haven’t arrested me yet and this is my bloody house.",2024-08-23
"I got to a point where i really dont want to deal with negativity regarding any type of Tomb Raider content anymore. So if i happen not to interact with some of you (my moots) or we’re not moots anymore then i muted and/or soft blocked you.

Love y’all though, Enjoy raiding!",2024-10-17
"Billion dollar companies are rading $nomnom instead of them raiding the billion dollar companies

nomnom that",2024-10-17
We are unsafe! They are raiding my home!!,2022-05-14
"Enjoying some silly time with the beautiful lizzer niece @LuminaSolWoL while the wife was dragged into some Savage Raiding. She has been an absolute treasure, and I will protect her with my life 
#GPOSERS #FFXIVScreenshot #FFXIVDiabolos #FFXIVCrystal #FFXIVMiqote",2024-10-15
"IYKYK

http://rewardrush.app",2024-10-17
"for the rest of the month, ill be prioritizing raiding smaller streamers, so please drop your twitch if you're interested! wanna spread some happiness this month since a lot of people could use some! ",2022-12-19
When you say you’re just gonna grab one snack but end up raiding the entire fridge.,2024-10-17
"STREAM ENDED!
I had so much fun playing popcorn fever!
Congratulations to @shiomipon for winning one of the steam code giveaways! 
To those who missed it DW! 
You'll have another chance to win this Sat at ~11pm!
We ended stream raiding the beautiful @rem_simp_ 
⸜(｡˃ ᵕ ˂ )⸝♡",2024-10-17
Breaking: FBI raiding home of Oleg Deripaska as per law enforcement. ⁦@NBCNews⁩,2021-10-19
.⁦@charliekirk11⁩ SLAMS the FBI for raiding President Trump’s home over a paperwork dispute while letting Hunter Biden and Hillary Clinton off the hook.,2022-08-15
"#BREAKING: New York police tactical teams can be seen raiding and clearing out students and protesters inside the Hamilton Hall building

#Manhattan | #Newyork 

New footage has been released by the New York Police Department, showing tactical teams fully equipped in riot",2024-05-01
" JUST IN: After raiding the encampment, NYPD has REMOVED the Palestine flag from CCNY’s campus flag pole and replaced it with the American flag   

GREAT work NYPD!",2024-05-01
$BOG community raiding me hard. I like it. Community strong I heard? ,2024-10-17
"With our Southern Border in crisis and South American gangs raiding our cities I wanted to draw the parallels in our nation’s history with the year 1916. This is the first panel
of “Bandito”",2024-10-17
Live visuals of ED team going for raiding RPN Singh's house.,2022-01-25
#BREAKING: The FBI is currently raiding home of longtime Eric Adams aide in New York City as they are putting boxes into their cars,2024-02-29
"Imagine invading a country
Imagine killing 1100 people
Imagine raiding a music festival
Imagine raping dozens of women
Imagine burning babies
Imagine killing children in front of their parents
Imagine kidnapping 250 people, babies, children, women and elderly
Imagine desecrating",2024-02-27
Cleaning up my TikTok page cause I’m rebranding and I see this… ,2024-10-17
me when there’s tomb raiding in tomb raider,2024-10-17
Don’t like that….,2024-10-17
Wanna be part of $SUI history? $CWK is primed to break its old ATH we need a dedicated Crabal army of raiders scoop up some supply at this bottom hold and work for your bags the raiding won’t stop we are sending this TO CRABZILLIONZ ,2024-10-17
Like what the hell was I on!!!??? ,2024-10-17
"This whole Janet Jackson thing just goes to show you how out of touch some celebrities are. I’ve always loved her but repeating lies!? Smh. If you don’t know about a subject, then don’t speak on it… especially with your platform. Educate yourself, please!",2024-09-21
"Raids improvements ahoy! You can now edit raid criteria based on:

 Min/max viewer thresholds
 Account age thresholds
 More user groups

We've also added a quick action to deny incoming raids midstream 

We hope these settings make raiding a more enjoyable experience ",2022-09-27
" He seems proud to be raiding a classroom. Yes, proud. NOT ashamed...

Please explain what I'm missing, as I cannot imagine why ANY adult soldier would be proud to raid a classroom",2023-11-18
Thank you @TatankoX and @FenggarTV for the raids today! We survived maintenance and did all the things before raiding out to @neliserendipity for some housing and pvp! Have a great week! ,2024-10-17
"I have peaked in rust. I understand the neighbors russian google translate now.
""... I tried to save you, but there were a lot of them raiding""
""The Tool Cupboard in your base is mine, I sealed it up while they were flying home"" (from the raid)",2024-10-17
"Friends, please, please amplify.  The NYPD are now raiding City College.  Reports are hundreds of cops.  Please, I know that what happened at Columbia tonight is sickening--but this is Part II.  And our @cuny students are largely working class students of color.",2024-05-01
"Intense fight ongoing between Arakan Army (AA) &  #Military #Junta in Maungdaw, Arakan State, .
AA is forcibly conscripting #Rohingya boys, while Myanmar #military is raiding by unrest Airstrikes. 
AA must immediately release Rohingya boys & girls abducted without any reason.",2024-10-17
"WE ARE BUILDING A CULT HERE. PLEASE GET INVOLVED IN SPREADING THE WORD.

- WE HAVE MM 
- GOLDEN TICKER 
- MULTIPLE KOLS SHILLING US BUT THE BEST MARKETING IS RAIDING. 

START WORKING FOR YOUR BAGS, ITS THE ONLY WAY NUMBER GO UP

LETS MAKE $VIPER GREAT.",2024-10-17
