Tweet,Date
"We need sustainable solutions to address refugee crisis! At #ExCom this week, we proposed that we invest in host communities, support refugees, and create safe and legal pathways, including but not limited to resettlement. Let's work together to build a better future for all.",2024-10-17
"Manipur's Ethnic Crisis: Kuki-Zo Women Face Unrelenting Hardships

Ethnic cleansing and violence have displaced Kuki women, forcing them to:

- Give birth in unsanitary jungle conditions
- Endure squalid refugee camps
- Face severe healthcare shortages
- Suffer emotional trauma",2024-10-11
There is no refugee crisis. This is a political crisis that world leaders can solve together. #ForcedToFlee,2022-05-24
"“Those least responsible for climate change bear the heaviest burden.""

UNHCR Goodwill Ambassador Theo James recently visited Mauritania, where 262,000+ refugees face the dual impacts of conflict and the climate crisis.

Ahead of #COP29, he's calling for urgent global action.",2024-10-17
"Conflict in Afghanistan forced 700,000 people to flee in 2021. Now they face poverty, acute hunger and a freezing winter. Please give now: https://bit.ly/3qUH9dp",2022-01-24
"Displaced people living in these countries are locked in a cycle of political neglect, limited media coverage, donor fatigue, and ever-deepening humanitarian needs as the crises prolong over time.",2022-11-01
"Ukraine is now the site of the fastest growing refugee crisis in Europe since World War II.

Millions have fled their homes.
Millions have had their lives disrupted.
Millions need peace to return home.",2022-03-08
"Conflict in Afghanistan forced 700,000 people to flee in 2021. Now they face poverty, acute hunger and a freezing winter. Please give now: https://bit.ly/3G16Qgx",2022-01-24
"#Ethiopia is home to:
2 million newly displaced people
1 million internally displaced people
800,000 refugees
Over the last year 60,000 people—mostly from #Tigray—have fled the country.
Sarah Miller breaks down the situation & what needs to happen to help:",2022-02-01
"“Despite diplomatic investments & highlighting dire humanitarian needs, the int’l aid community…have been largely muzzled & rendered largely impotent at a time when humanitarian intervention is needed more than ever.”
More about the situation in #Tigray",2022-02-05
"“Despite diplomatic investments & highlighting dire humanitarian needs, the int’l aid community…have been largely muzzled & rendered largely impotent at a time when humanitarian intervention is needed more than ever.”
More about the situation in #Tigray",2022-03-15
"5,000 refugees crossing so far this year. BIG NEWS.
2000+ people dying  a week of /with Covid. No news.",2022-04-16
"“Despite diplomatic investments & highlighting dire humanitarian needs, the int’l aid community…have been largely muzzled & rendered largely impotent at a time when humanitarian intervention is needed more than ever”
More about the situation in #Tigray",2022-02-16
"“Despite diplomatic investments & highlighting dire humanitarian needs, the int’l aid community…have been largely muzzled & rendered largely impotent at a time when humanitarian intervention is needed more than ever.”
More about the situation in #Tigray",2022-02-08
"#Ethiopia is home to:
2 million newly displaced people
1 million internally displaced people
800,000 refugees
Over the last year 60,000 people—mostly from #Tigray—have fled the country.
Sarah Miller breaks down the situation & what needs to happen to help:",2022-03-16
"UKLA 2025 11-14 longlist read #3. Wow. I don't want to say much because the twists in this one were just stunning! Refugee crisis in England following the rise of the far right. Beautifully written, I loved it. @The_UKLA #UKLA25",2024-10-12
"displaced syrians have comprised the largest refugee crisis in the world for the last decade, have borne the brunt of xenophobia in the levant and the rest of the middle east (esp turkey) as well as in europe, and as xenophobia sharpens in the face of crises syrians",2024-07-06
 The asylum system in the UK is in chaos - and the impact on the people stuck within it because of Government failure is increasingly worrying. This week has show the true scale of the crisis. 1/,2022-10-28
"CANADIAN POVERTY CRISIS: This is not a refugee camp somewhere in the developing world. 

This is Kelowna, British Columbia where hundreds of homeless people have encamped for the winter.

These are the fruits of socialist policies in BC and beyond.",2024-01-26
"#HispanicHeritageMonth is an opportunity to reflect on the different people who have changed the world, including those from Hispanic backgrounds who fled their homes due to conflict or crisis. Their contributions have made a difference. So can yours.",2024-10-12
"As the government announces its deal with France on channel crossings, new figures we are releasing today underline the scale of the crisis in the asylum system. They show that a staggering 122,000 people are living in limbo waiting for a decision on their asylum claim.",2022-11-14
"Hotels are making MILLIONS of dollars off the illegal fake refugee crisis.

$260,000 per day for 1,331 rooms to house the illegals.

Thats 7.2 MILLION each month just to house these migrants. 

And who do you think is paying for it? I know the politicians aren't. 

Source",2024-02-21
“I've seen a lot of refugee crises and a lot of humanitarian crises. I've never seen refugees move this quickly. To have more than a million people cross an international border in a seven-day period is quite exceptional.“ @PowerUSAID describes the humanitarian crisis right now.,2022-03-04
"Amb. Dr. Stasch was honored to participate as panelist at today‘s #ExCom event on how to strengthen the response to the Sudan refugee crisis.
Sustainable refugee response models to better support displaced communities are key to survival & recovery. Thank you to all participants!",2024-10-15
"We need long-term, sustainable solutions to address the refugee crisis.

This means investing in host communities, supporting people in their country of origin, and creating safe and legal pathways for resettlement.

Let's work together to build a better future for all. 

#ExCom",2024-10-14
The Ukrainian refugee crisis is yet another unfolding disaster. Claims we are not doing enough grate with me. We have yet to house the thousands of migrant dinghy arrivals. We have yet to house Afghan and Hong Kong refugees. There are limits and also British people to house.,2022-03-08
"Globally, the number of refugees escaping violence, war or persecution more than doubled from a decade ago, reaching 40.5 million in 2022, the highest level since records began.

See how @Refugees  work to support & protect those #ForcedToFlee: https://unhcr.org/us/what-we-do",2023-09-13
"Hj é um bom dia pra lembrar que a  é a maior crise de refugiados do mundo. Segundo o ACNUR, há 7,7 milhões de migrantes forçados, mais q na , ~7x da  e a pior crise em tempos de paz da história. Prisões políticas, repressão e fuga em massa. Não é normal ou jornada pacífica.",2024-07-30
"There are about 35 million refugees globally. Many see this as a crisis. 

We disagree. 

The people are NOT the problem. It's the causes that drive them to cross borders, and the unrealistic ways that politicians respond to them. 

Learn more ",2023-08-08
A humanitarian crisis is fueling massive refugee outflows from Afghanistan—worsening food shortages and hunger seems to be a key driver. It is immoral and strategically foolish to withhold food aid because the Taliban are in power—especially since we also don't take in refugees.,2021-11-12
"UN refugee agency says 660,000 refugees have fled Ukraine, and “the situation looks set to become Europe’s largest refugee crisis this century.” #StandWithUkraine ",2022-03-01
"BREAKING: Ukrainian refugee tally tops 368,000 and rising: UN - @AFP",2022-02-27
