Tweet,Date
"RCE over CAN, RCE over  SOME/IP-SD, Authentication Bypass, and Remote Attack over Cellular  Network: New research reveals many technical insights into where and how  vulnerabilities in cars can be found. 

[PDF] https://sos.asrg.io/wp-content/uploads/2024/09/Amit-Geynis_Presentation-Slides_SOS-2024.pdf…",2024-10-06
"I couldn't sleep, so I made a simple, single Nuclei template to detect the Zyxel Unauthenticated Remote Command Injection vulnerability CVE-2022-30525,

https://gist.github.com/z3r0-0t/a3bd4c0015458b018308cca3360a7e24…",2022-05-13
"Remote File Inclusion

#infosec #cybersecurity #pentesting #redteam #informationsecurity #CyberSec #networking #networksecurity #infosecurity #cyberattacks #security #linux #cybersecurityawareness #bugbounty #bugbountytips",2024-03-17
"Metasploit-remote-pc-hacking

This project explores secure remote access using Metasploit's reverse TCP payloads. Ethically and responsibly, we showcase potential risks, vulnerabilities, and post-exploitation activities...

https://github.com/Sandyopna/Metasploit-remote-pc-hacking…
#infosec #pentesting #redteam",2023-08-14
"CVE-2023-46747-RCE

F5 BIG-IP unauthenticated remote code execution (RCE) and authentication bypass vulnerability.

https://github.com/W01fh4cker/CVE-2023-46747-RCE…
#cve #cybersecurity #infosec",2023-11-02
"There are reports that government forces in Puta-O are preparing a counter-attack to retake Sumprabum and the Puta-O to Myitkyina road, before the end of the year. Reinforcements and additional vehicles have been sent by plane to the remote city.

#Myanmar #Kachin",2024-09-26
"Exploiting remote code execution within VirusTotal platform in order to gain access to its various scans capabilities. 
#infosec #cybersecurity #BugBounty
https://cysrc.com/blog/virus-total-blog…",2022-04-26
"Network Attacks 

>Botnets:
A Botnet is a network of compromised computers often referred to as ‘bots’ or ‘zombies’ that are remotely controlled by hacker or malicious actor. 

>MITM Attack:
A Man-in-the Middle Attack occurs when an attacker intercepts and potentially alters",2024-07-02
"Network Attacks 

>Botnets:
A Botnet is a network of compromised computers often referred to as ‘bots’ or ‘zombies’ that are remotely controlled by hacker or malicious actor. 

>MITM Attack:
A Man-in-the Middle Attack occurs when an attacker intercepts and potentially alters",2024-06-19
"Network Attacks 

>Botnets:
A Botnet is a network of compromised computers often referred to as ‘bots’ or ‘zombies’ that are remotely controlled by hacker or malicious actor. 

>MITM Attack:
A Man-in-the Middle Attack occurs when an attacker intercepts and potentially alters",2024-06-07
