Tweet,Date
"After Bible school, David and Esther planted a church in a remote Burkina Faso village with a reputation for Islamic violence. Threats of kidnapping and violence forced the couple to move to another village, then another. They continue to share God’s love. Pray for them.",2024-08-04
IN A VIOLENT NATURE is gnarly as f*ck. A beautifully shot arthouse slasher that features some of the most graphic and insane kills I’ve seen this year(s). It also reminded me of why I avoid camping and yoga.,2024-05-14
"While violence against women is a widespread societal problem impacting everyone, women in rural/remote communities face unique challenges to getting help and/or leaving abuse. 

Our new blog explores how getting help can be hard: https://lukesplace.ca/getting-help-in-rural-remote-communities-can-be-hard/…
#supportingsurvivors",2024-08-20
"Gender-based violence takes place in ways that are both unique & disproportionately high in rural, remote & northern (RRN) communities. 

Find opportunities for mobilizing the strengths of RRN  communities to empower survivors & promote social change: https://gbvlearningnetwork.ca/our-work/issuebased_newsletters/issue-35/index.html…",2024-08-27
"188 political violence events and 242 reported fatalities from 24 August to 20 September 2024.

 Most political violence centered in Lower Shabelle region.

The most common event type was battles, with over 112 events, followed by 51 explosions/remote violence events.  #Somalia",2024-09-30
"Over 290 political violence events and over 430  reported fatalities. 

 175 events recorded, followed by battles, with 67 events. 

 75% increase in explosions/remote violence events. Most of these events were recorded in Khartoum.",2024-09-18
"There is zero violence online.

It cannot be possible to charge someone with 'online violence', as violence requires physical force.",2024-08-10
"From vaccination to Gender-Based Violence (GBV) support, @WHO-supported mobile teams are on the frontlines, providing essential healthcare services to vulnerable populations, including mothers and children across the remote security-challenged areas of BAY states.",2024-09-10
"Structural violence and direct violence are said to be highly interdependent, including  family violence, gender violence, hate crimes, 
racial violence, police & state violence, terrorism, and war. 

It is very closely linked to social & economic injustices.
 
Ref: Galtung",2022-04-12
 Join our remote Digital Ambassador team for Giving Tuesday (Dec 3)! Help us take a stand against gender-based violence and make a real impact. Apply now: https://bit.ly/4eFkFmH  #GivingTuesday #EndGBV,2024-09-28
Is bashing someone’s head in with a remote considering assault with a deadly weapon? It’s just a remote? Remotes aren’t deadly? Asking for a friend…,2022-12-22
"This idea—that distance/proximity, both geographical and cultural, is ethically significant—is an insidious one worth unpacking. Familiar claims that dropping bombs is morally superior to, say, stabbing, are again supposedly about the distance between perpetrator and victim.",2024-03-13
So what he’s not saying is that this man beat his estranged partner to death with his bare hands…Ballina 2023 - the first woman murdered by an intimate partner this year- heartbreaking ,2023-01-04
"The issue is that if you whack someone in this region TOO hard/with too big of a stick... they start believing that you *actually* intend to kill them this time.

In this case, they come back with a gun instead of a bigger stick.

See what's happening to Gaza as an example.

7/x",2024-04-13
"Let's see what the inner city blacks are up to on a fine afternoon.

They live in a 15 second world. Bouts of anger oftentimes lead to fatal altercations. 

I hope that kid feels tough for pulling out a gun and firing shots in a street brawl. His single mother raised him right.",2024-05-11
"UP : टीवी रिमोट के लिए 25 साल के शख्स ने 21 साल के छोटे भाई की चाकू से हत्या की 

◆ दोनों भाई TV के चैनल बदलने के लिए आपस में उलझ गए थे 

◆ घटना बुलंदशहर की है 

TV Remote | Crime | #Crime",2024-10-15
Remote and Toyin Abraham wan beat each other ,2023-01-11
"Two absolutely feral scholars film themselves brutally robbing two women in New York City.

I don't know who needs to hear this: AVOID CITIES. AVOID SAVAGE MONKEYS.

This behaviour is fashionable to them. I find it so absurd how they can nonchalantly carry out these vicious acts.",2023-10-14
"#viralindo #Wednesday #viralvideo #ViralVideos #Fights #viral2023 #fight #fightsvideos #Girlsfight #fightvideos #fightingvideos #streetfight #StreetFighter #fightvids #brawl #streetfights #schoolfights 
Man confronts sisters harasser abuser, breaks his ribs with a body shot.",2023-03-15
"Fulanis are busy attacking our. Meanwhile the so called Elders, governors, Senators are busy fighting sit at home. This ugly incident happened at Enu-Ugwu Ukwu where Fulani attacked these people. And nearly blind this Rev sister. Is #SitAtHome the cause?, the answer is No. @hrw",2023-07-31
This is how terrifying an attack in a remote village in the Nigeria Middle Belt looks like,2023-12-30
"What happens in the remote areas of Balochistan where the police never hesitate to use brutal violence against the students in front of the camera behest of #PakArmy ? #BalochistanIsNotPakistan
#savebalochstudents #Balochistan
#بلوچ_راجی_مُچی",2024-08-05
The Clinic is seeking volunteers to join our team of remote Digital Ambassadors for the 2024 Giving Tuesday Campaign on December 3rd. This is an opportunity to support our mission to end gender-based violence. Please visit the link to apply: https://forms.gle/WH4GRVjAQ1ajDGsp6…,2024-09-12
"Colleges in Springfield, Ohio, move to online instruction after threats targeting Haitians 

University and college campuses in Springfield, Ohio, canceled activities and moved to remote instruction on Sunday after receiving threats of violence tied to false claims about the",2024-09-16
"Had to get a treatment today and got to choose what I wanted to watch at the doctor’s office so long as it had no violence, so I went with my fav @AmirTalai

They may never give me the remote again, TBA",2024-10-04
Here is you're supporting documentation and whatnot so that you can understand how far you need to press the charges femicide genocide charges cruelty charges and attempted murder aggravated assault and battery and domestic violence and terrorism ambient remote terrorism charges,2024-08-17
"When students can be beaten mercilessly by police in broad daylight, captured on camera for all to see, what kind of inhuman violence do you think takes place in the remote regions of #Balochistan, where no cameras exist?
#BalochLivesMatter
@ArchenBaloch",2024-10-02
"Digital devices can be misused in the context of domestic violence, including the remote use of smart devices.

Dr Leonie Tanczer's research focuses on tackling tech abuse in domestic violence.

More about @leotanczt’s #UKRIFLF award winning work:",2024-08-15
this adds up to the utilities authority hole levels of tech violence and remote ambient damages that are going on with them messing with the thermostat and constantly playing with the meter and whatnot and it's a remote ambient thing that they're doing it's nothing but complete,2024-06-14
"Violence Prevention and Response Regional Lead, Central Africa
Nairobi, Dakar, or remote
(Technical expertise in 1 of the VPR Global Practice Areas relevant to Central Africa; 8 years’ experience leading and managing technical teams )
Deadline: ASAP
https://rescue.csod.com/ux/ats/careersite/1/home/requisition/48048?c=rescue&source…",2024-08-07
" #Pope_Francis visited a remote jungle-flanked community in #Papua_New_Guinea , where he urged an end to #violence, and ""#superstition and #magic"" that tarnishes a place he likened to #Eden.

#Jusoor_Post",2024-09-11
"An investigation by Lighthouse Reports uncovers the EU's involvement in systematic expulsions from Tunisia, Morocco, and Mauritania. Sub-Saharan migrants are being driven to remote, hostile regions, left exposed to extreme conditions and violence.",2024-05-27
"Meds & Food for Kids is doing even more to reach the most isolated, remote communities.

La Gonâve is an island off the coast of Port-au-Prince. Because of gang violence, the nearest ports and roads are all blocked, making access to the island almost impossible.",2024-09-17
"California passes requirements on carmakers and domestic violence 
'As automakers add ever more sophisticated technology to their cars, instances of stalking and harassment using features such as location tracking and remote controls have begun to emerge.'
https://reuters.com/legal/california-passes-requirements-carmakers-domestic-violence-2024-09-10/…",2024-09-16
"Ethiopia | Clashes in some areas affected by armed conflict and violence have severely disrupted health services, particularly in rural and remote areas.

This is how @ICRCEthiopia has been supporting the affected communities ",2024-05-29
"Good riddance to a TOTAL FAILURE!

1. Voice referendum
2. Alice Springs street violence 
3. Rural and remote community domestic violence 
4. Indigenous community sexual violence against women and children

Birney achieved an expensive designer wardrobe.

Another FAILED MINISTER!",2024-07-25
"Watching a video on workplace violence, but I work remote lol",2024-08-09
"Al-Shabaab continues to exploit local disputes in #Somalia, targeting state officials and civilians to disrupt counter-insurgency efforts. The group uses remote attacks and strategic violence to maintain control over key regions. 
Get the full insights  https://bit.ly/47dH1cA",2024-09-08
"Think facts and data say the majority of the country saw thru this racist voice vote.

Most comical part is - there is more crime, domestic violence in all the remote communities than ever before..

But clearly the “yes” voters only pretend to care all for political reasons.",2024-10-13
