Tweet,Date
"E. Jean Carroll is doing something so painful that few women ever carry sexual assault allegations to trial.

Now, Trump's lawyer Joe Tacopina is busy asking her about every known victim-blaming question.

She is one TOUGH cookie.",2023-04-27
Adding sexual assault and treat it as a comedic relief wasn’t necessary to add,2024-03-22
"TW: sexual assault 

They robbed and raped a *child* 
From the structured way they operated, I would be surprised if it was the first time. 
Stop. Giving. Badges & Uniforms. To. Rempit. Fucks. Out. Of. School.",2024-01-12
"Yesterday Trump gets a 5 million dollar judgment against him for sexual assault.

Today they’re laughing with him like he’s the most entertaining guy in the world.

I don’t understand my country anymore.

What the fuck happened?",2023-05-11
"Remember when GOP Senators dismissed Christine Blasey Ford's sexual assault allegations against Brett Kavanaugh for not being corroborated. Turns out that was the plan: the orange mob boss kneecapped the probe, buried the tipline & told the FBI to ignore corroborating evidence.",2024-10-10
"“This is so rich coming from someone who has been prosecuted for national security crimes, economic crimes, election interference, has been held liable for sexual assault. And his next big court appearance is in November at his own criminal sentencing.”

— Kamala on Donald Trump",2024-09-11
"In addition to E Jean Carroll, there are at least 19 other women who have accused Donald Trump of sexual assault.

How does that make Melania Trump feel?",2023-05-09
sexual assault is ALSO begging/ harassing a girl to have sex with you until she finally gives in. It's called COERCION. If you gotta force or beg or TRICK somebody to have sex with you it's not right.,2024-04-22
"Statement on the University of Alberta Sexual Assault Centre

The recent improper and unauthorized use of the name of the University of Alberta’s Sexual Assault Centre in endorsing an open letter has raised understandable concerns from members of our community and the public.",2023-11-18
"tw // SEXUAL ASSAULT (SA) 
.
.
.
.
WILBUR SOOT SA’D ALICE. HE IS A SEXUAL ASSAULTER. NOBODY BETTER BE FUCKING DENYING THIS NOW.",2024-03-08
"When a man commits sexual assault it's ""Not All Men"", but when a trans person commits any kind of crime it's ""All Trans People""
Make it make sense",2024-07-28
"Damn Rep. @tedlieu calls out the mainstream media for not covering the Epstein files and Donald Trump's deep involvement with the pedophile.

He also calls for Trump to drop out of the race due to his sexual assault and multiple felony convictions.
#TrumpPedoFiles",2024-07-09
6 Tourists Arrested in Mallorca on Sexual Assault Allegations http://dlvr.it/TFSJ93 via The Trent News,2024-10-17
