Tweet,Date
"See, I hate this shit.

All sexual abuse is violent. It's all violence.

But see how media is trying to enforce a hierarchy of the badness of rape, implying non-violent forms of sexual abuse exists.",2021-11-04
"Some of this new generation of boys and men finding misogyny, pedophilia, racism, sexual assault, domestic violence, and bullying funny is genuinely scary.",2024-03-04
So ⁦@X⁩ ⁦@lindayaX⁩ ⁦@elonmusk⁩ I’ve never posted at you. Now feels like the right time. So this account does not violate your TOS? Sexual violence against children?,2023-11-25
"Read Women Empowerment and Inclusion Network latest blog on Lisabi: The Uprising.

In this article, we  mentioned how women and young girls suffered rape and abuse which serves as a major theme of sexual violence against women and how sexual",2024-10-17
" Today is the last day to get your tickets for The Greatest Show On Earth!

 Don’t miss out—hurry to http://sascwr.org/gala to grab yours now.

 Help us provide care and support to survivors of sexual violence.

#sascgala #communitysupport",2024-10-17
"Dakota, a big, strong man with a wig and special pronouns, is a volunteer coordinator at our local sexual assault and domestic violence support organization, BridgesNH. Anyone surprised? #NHPolitics",2024-05-23
"Today, I signed an Executive Order strengthening how our military handles sexual assault and serious offenses.
 
Ending gender-based violence has been a priority for me throughout my career.
 
This represents a turning point for survivors of gender-based violence in the military.",2023-07-28
"Human trafficking can happen anywhere. Key signs include unexplained injuries, lack of control over ID, and fearful behavior. If you see something, say something! Reporting can save lives. Together, we can #EndHumanTrafficking. Visit https://woar.org/human-trafficking/…",2024-10-17
"5
The crimes we saw in #Tigray include murder, enforced disappearances, torture, deportation or forcible transfer, rape, sexual slavery and other sexual violence & other inhumane acts.

@Morris_Monye
#BringBackHomeTigrayRefugees
#UpholdPretoriaAgreement",2024-10-17
"The UN—still refusing to condemn Hamas—finally released a report with overwhelming evidence to confirm Hamas committed systematic, weaponized sexual violence, including the mutilation, torture and rape of Israeli girls and women.",2024-03-05
"Over 43 percent of Tigrayan women and girls reported to have experienced rape and/or other forms of sexual violence during the war.

#Justice4TigraysWomenAndGirls
#UpholdPretoriaAgreement
@Mi05Yo 
@eucopresident @EUCouncil @EU_Commission
http://logicmag.io/issue-21-medic…",2024-10-17
"“We’re here to make you HIV positive” an unimaginable horror faced by women in #Tigray. Soldiers turned sexual violence into a weapon of war. Where is the justice for these 
@WomenintheWorld
#UpholdPretoriaAgreement
#Justice4TigrayWomenAndGirls @OppoRoza",2024-10-17
