Tweet,Date
"Security forces employed excessive violence against peaceful protestors, violating their right to assemble and express their grievances.

#BanRutoAtUNGA79",2024-09-21
"This is why tribals are crying: the state is compromised! 
When violence started, it was the State Police along with the radical Meitei mobs, despite ""shoot at sight"" Orders..
Where is the state's action when it comes to law breakers among the meitei? 
#SaveManipurTribals",2023-05-20
"2. The monopoly on violence must be understood not just as a prescriptive matter (""only the state has moral authority to use violence"") but also a descriptive one (""all violence within the state flows from the state""). Crime, riot, and general anarchy are a state's responsibility",2022-01-18
"A man gets shot outside Statehouse Nakuru during anti-finance bill protests.

#NakuruMtaaWangu #Nakuru #RejectFinanceBill2024",2024-06-25
"Journalists often use the term “culture war” to describe angry political debates about LGBT people. But when politicians refer to your communities with degrading stereotypes and erode your rights with abusive policies, it isn’t an abstract ideological debate. It’s state violence.",2022-08-21
State violence is always normalised. Gardaí forcing women back to the laundries. Ignored domestic violence calls while their own have barring orders. Assaults on sex workers. Spicebag used images of gardaí at real evictions. To allow people be forced from their homes is violence.,2023-04-04
"When the media ask about violence, you have to let them know that the police/state hold a clear monopoly on violence. The state arrest, charges, imprisons and deals out the death penalty. Their very existence and control over us is because of the threat and use of violence",2023-03-07
"I am informing you, plainly, that the violence has already started. The oppressive, evil laws being passed at the state level all across the country *are* violence. The groomer and pedophile rhetoric *is* violence. People are dying. Innocent people just trying to be authentic.",2022-04-21
"Israel runs rape prisons and bombs refugee children in tent camps, it snipes Americans peacefully protesting against its Jim Crow treatment of Palestinians in the West Bank, it assassinates journalists and believes starvation is a legitimate tactic. There's your violence problem.",2024-09-12
"In a society, people give up the right to violence in favor of the State because the State is supposed to protect the people. If the State cannot protect its people, then this covenant will break. And at this rate, it might break sooner than later.",2022-08-29
"As I've long said, the US is-- still-- in a state of civil war. State decisions follow a logic of wartime violence: absent information on individual loyalties, which would be preferred, it will deliver punishment based on recently observed electoral patterns",2024-09-14
"Listen to the pain in her voice. The killed her brother.
The wife is carrying a week old baby and now Gov Peter Mbah of Enugu security men just killed a father of an innocent child and turned his young wife to a widow.

This is terrorism. 

ODUDUWA REPUBLIC NOW/BIAFRA NOW",2023-07-26
"Not right for anyone if violence breaks out anywhere. If violence breaks out, onus is on State Govt. Inquiry Commission reports of past 20-25 yrs say that if state Govts don't want it,violence doesn't break out: Asaduddin Owaisi on violence in Gujarat during Ram Navami procession",2022-04-14
"Violence is beset upon the populace without cause, crime, or threat. Through malice, hardship, racism and despair. By a state that regards a people as simple commodity to sustain a wealth and power of the few.

""Public servants"" should be so lucky it just protests.",2022-05-09
"The Colonial State monopolized forms of violence used against the population. Post-Colonial state has outsourced certain forms of violence to mobs, terrorists and gangsters. The privatisation of violence is the salient feature of the ""post-independence"" era in the sub-continent.",2022-01-03
"“Locals have confirmed to The Wire that the entire state is facing violence, with people on the ground freely roaming around with pistols, AK47s and other weapons.” https://thewire.in/politics/manipur-violence-deaths…",2023-05-05
"The state maintains order not in the courtrooms but through releasing its militarized police forces against those who protest state violence in the streets.

Notice there are no calls for police to be peaceful. The demand for the public to be peaceful is a threat.",2023-01-27
"What I’ve learned is that when people have no other solutions, their answer is often violence even when sponsored by the state. Grief often makes us stuck and unable to do or think anything else.

But: State sanctioned killing will never be acceptable under any circumstance.",2024-09-25
"Since the Israeli settlement project is the state's largest national enterprise (alongside military occupation), it would be prudent of Biden Admin to realize that settler violence is a form of state violence. Read my explainer here /6",2023-11-09
