Tweet,Date
"As a result of the overnight Russian strike on Lviv, it is known that three people have been killed and 19 others injured. 

Preliminarily, one of the victims is a 14-year-old girl. The strike targeted residential buildings.",2024-09-04
"After 6 years, YouTube has permanently suspended my channel. I didn't have one active strike, but I'm being banned for ""repeated violations"". They will also be stealing my last month's superchats.

All my platforms: https://bio.link/keithwoods
@YouTube @TeamYouTube @YouTubeCreators",2024-10-08
"New shocking footage reveals a new crime committed by Israel. 

Two CLEARLY UNARMED civilians were targeted with a strike in Rafah.

Credit: @tamerqdh",2024-09-14
": “She’s injured, now is the time to strike!”",2024-09-28
"Shits about to get crazy. 
Ports going on Strike.
Teamsters Going on Strike.",2024-09-30
"Week 317. Global climate strike with Fridays For Future Uppsala!

Today during the global day of action people have been protesting and climate striking all over the world to demand climate justice. Tomorrow we will take it to the streets in Stockholm. Dozens of different",2024-09-20
"WE ARE NOT AFRAID OF YOUR EMPTY THREATS, RUSSIA! 

Kremlin mouthpiece Tsargrad TV has published a mock up of a nuclear strike on London saying ""Russia's mission is to be the last frontier guarding the world from absolute Evil, the source of which has been the Anglo-Saxon world",2024-09-23
Update: Several events will start at the same time! Russia will destroy Kiev and Lviv once they launch NATO missiles deep inside Russia! China will invade Taiwan using Ukraine war as cover!! Then Iran will strike Israel. North Korea will also launch their offensive at that,2024-09-13
strike a nerve,2024-10-17
Don’t follow me if you do this.. A lot of you strike women. Real men don’t ever do that ,2024-08-14
"With tens of thousands of Albertans and their fellow Canadians stranded all across the world, the Westjet mechanics strike must end. 

The labour board’s decision to allow the strike to continue during binding arbitration is a clear contravention of all norms, practices, and",2024-06-30
The leader of the Longshoreman's union has met with Trump multiple times when Trump wasn't President including at that Temu Playboy Mansion Trump lives in down in Florida.  He's a total cultist and this strike is blatantly political.,2024-10-01
"Yemen has officially broken two records 

1st country to launch a drone strike on Tel-Aviv

1st country to launch a ballistic missile attack on Tel-Aviv
#Yemen",2024-09-15
I'm just spitballing here: what if the Dock Worker's Strike is related to the Child Trafficking and #Evergreen issues???,2024-10-01
"This is Kiev, not after a missile strike by Russia but after an attack by violent Ukrainians in 2014. These people were funded to bring down the elected government and put Nazis in power.

Ukraine was peaceful before the CIA got involved. Now it's people are brainwashed to dіе.",2024-09-08
"Trump WANTED the dockworkers to strike through Election Day

He WANTED the bipartisan border deal to fail

He WANTS the Middle East to blow up

He WANTS the economy to tank

He WANTS inflation to rise

He does NOT give a damn about our country

He just wants to stay out of prison",2024-10-04
"There is no authority above this 
-Israel has the right to strike Hamas wherever and whenever without hesitation.  
-Hiding among civilians doesn't give Hamas any immunity. 
-""Palestinians and Muslims need to stop exaggerating and lying about the numbers of civilian casualties to",2024-09-10
"BREAKING:

The Palestinian head of the UNRWA teachers union in Lebanon, Fathi al-Sharif, was killed by Israel in a targeted decapitation strike in Beirut last night.

Hamas then announced that he was their commander in Lebanon.

Just a reminder that UNRWA is full of terrorists.",2024-09-30
"Hassan Nasrallah was the target. 

-Hizbollah leader believed to be in an underground bunker beneath Hizbollah headquarter in the southern district of Beirut the moment of the strike. 

-The explosion created a 3.9 earthquake         magnitude. 

-Assassination weapon: 
 JDAM",2024-09-27
"Got banned from $Cattus Telegram for spamming hard rock nick memes and spamming:

/REMEMBER_TO_HAVE_YOUR_CATTUS_SPAYED_OR_NEUTERED

Some ppl so soft. 

Can Dev do smth?",2024-10-17
Massive support in Congress across chambers and parties to let Ukraine strike back,2024-09-11
