Tweet,Date
"WHAT IS HAPPENING IN LEBANON RIGHT NOW IS A LARGE SCALE TERRORIST ATTACK

Communication devices, vehicle batteries, motor and scooter batteries, solar batteries, timer batteries, computers, mobile phones, shavers, ""lithium batteries"" exploded.

Fires have broken out in homes and",2024-09-18
"The young Police Patrol woman who was murdered today in the Be’er Sheva terrorist attack has been named as Shira Chaya Soslik.

Heartbreaking 

May her memory be a blessing",2024-10-06
"BREAKING: Riot police in Melbourne Australia push over Habibah Jaghoori as she chants “Long Live The Intifada.” 

A young Islamist extremist, Habibah is best known for praising the murder of a 6 year old Jewish child in a terrorist attack.",2024-09-12
"Canadians are learning a man who allegedly dismembered someone on video on behalf of ISIS immigrated to Canada on Trudeau's watch. 

Last month, police arrested him and his son while they were allegedly planning a terrorist attack in Toronto. 

Who in Trudeau's government is",2024-08-06
Prayers for all the victims of the terrorist attack in Moscow. RIP INNOCENT SOULS. I stand with Russia!,2024-03-22
October 7 was not a military “defeat”. It was a terrorist attack on defenceless people.,2024-10-17
"A 10-year-old girl died while many civilians, doctors, teachers, women got severely wounded or lost their limbs due to Israel’s terrorist attack on Lebanon.

This is how Abhishek Asthana is celebrating it. Hope this sadism boomerangs on him in the worst possible manner.",2024-09-18
"Hamas condemns the terrorist attack in Moscow, Russia.",2024-03-23
" Terror attack on Atbara in Northern Sudan.

Dozens believed to have been killed and injured, death toll likely to rise.

Here’s what we know so far",2024-04-02
"BREAKING: Terror attack in Tel Aviv, several injured in serious condition in several locations.",2024-10-01
" Terror attack in Gush Etzion: 1 person was injured in a stabbing attack in Gush Etzion earlier today. Terrorist was shot.

This terror has to stop.",2022-03-31
Breaking news - terror attack in Jaffa/Tel Aviv (Jerusalem Blvd) approx. a dozen or so casualties are now being reported.,2024-10-01
 A combined terrorist attack of shooting and stabbing - at three different points in the central station in Be'er Sheva. Reports of one person was killed and ten wounded in various degrees of severity.,2024-10-06
"#URGENTE
Vídeo muestra como fue el atentado terrorista contra un local comercial, varias ventanas sufrieron daños debido a la onda expansiva, Ocurrió en el Tena
#SomosWeNewsEc",2024-01-15
"Terrorist attack in Bondi Junction Westfield shopping centre 

At least 4 people are dead with many more injured. 

Call this for what it is, a terrorist attack!",2024-04-13
"Terrorist attack in Paris with hammer and knife shouting ""Allah Akbar"". One dead and two injured.",2023-12-02
"BREAKING : Report of terrorist attack in France . Radical islamic terrorists stabbed multiple Paris.
The Versailles Palace near Paris is being stormed by French security forces after the stabbing incident .
Tourists are evacuated and told to avoid the area",2024-07-04
"Big terrorist attack in Karachi, Pakistan:

More than 10 terrorists entered the police headquarters in Karachi.",2023-02-18
Counter Terrorism Policing South East say last Sunday’s firebomb attack at an immigration reception centre in Dover was motivated by extreme right-wing terrorist ideology.,2022-11-05
"This is indeed a terrorist attack aimed at destroying a critically important object of civilian infrastructure - Putin

Details: https://on.rt.com/c3gn",2022-10-09
" A terrorist attack has taken place on a convoy in use by the #Pakistan Joint Security Forces in Tirah, Khyber.

Fatalities are recorded amongst the attack’s casualties.",2023-11-06
"Breaking News

Terror attack in Tel Aviv at the train station. Reports of up to 10 dead & 20 injured.",2024-10-01
A terrorist attack perpetrated by Islamic extremists. You claim you are keeping us safe whilst at the same time allowing in hundreds of them everyday.,2024-09-12
Islamists had a targeted terrorist attack aimed at Christians today and took credit for it. CTE Nazi spent the day promoting conspiracies about Jews drinking Christian blood and then blaming Jews for that attack.,2024-03-23
" Stabbing terror attack in Be'er Sheva central train station. Three injured, at least one in critical condition. Terrorist neutralized.",2024-10-06
Pakistan based terror group TTP has claimed responsibility for the terror attack in Karachi. Pakistani security forces face several casualties in the ongoing attack.,2023-02-17
Peshawar terror attack causes casualties. Scores injured. A terrible happening that coincides with a clueless govt pretending to be in charge of its affairs. Terrorism can happen anywhere; but it happens mostly when decisionmakers have no idea whether they are coming or going.,2022-03-04
"So the police commissioner just came out and said it was a terrorist attack last night at the church, no fucking shit. There will be push back, enough is enough",2024-04-15
Suicide Bomber likely blew up near Karachi International Airport in #Pakistan targeting a convoy of foreigners. Major terror attack ahead of the #SCO Heads of Government meeting which is being hosted by Pakistan. Several casualties are being reported.,2024-10-06
#BREAKING: Suicide Bomber likely blew up near Karachi International Airport in #Pakistan targeting a convoy of foreigners. Major terror attack ahead of the #SCO Heads of Government meeting which is being hosted by Pakistan. Several casualties are being reported.,2024-10-06
"BREAKING NEWS: Potential terror attack near Tel Aviv, with multiple people injured
https://trib.al/aHeTg6n",2024-10-01
"BREAKING  A terrorist attack in Givat Asaf, a truck hit a bus station.  One was critically injured. The terrorist was killed",2024-09-11
"I can tell you it’s a terror attack and I’m not a police officer, their reporting is ",2023-11-23
"Sources described the planned attack as mass casualty involving stabbing, hacking and slashing. Low tech and hard to predict or prevent- an increasing ISIS trend.

And if you thought ISIS were dead - they're not - experts we spoke to say there is a resurgence in ISIS inspired",2024-07-31
"So it's a confirmed 'terrorist attack' with One 'man' dead and 4 'men' arrested but no names, descriptions or anything else other than the terror threat level has increased. I'm still not speculating though .... No Sir .... Who could it possibly be?  #liverpool ",2021-11-15
