Tweet,Date
"Terrorism: The use of violence and intimidation, especially against civilians, in the pursuit of political aims",2024-10-17
"Unidentified uniform man beat one civilian because of house rent in Ado Ekiti. 

https://x.com/AdekolaOluwas18/status/1837105837677937146/video/1…",2024-09-20
"#Pakistan To the soldiers and police officers of Pakistan: do not obey any clearly unjust or illegal order you receive. Stop any violence against peaceful and unarmed civilians. There is no due obedience to criminal mandates. Respect human rights, democracy and rule of law.",2023-03-20
"#Russia Condemns Israel's Actions in #Gaza as Violations of International Humanitarian Law

Russia's Foreign Ministry has called Israel's actions in Gaza unlawful and immoral, stating that violence against civilians and indiscriminate attacks on populated areas cant be justified.",2024-10-17
"BREAKING: @ucl_ucu academics voted for “Intifada until victory” and a “mass uprising” against Israeli civilians. This is a horrific incitement to violence and terror.

We have written to UCL’s Provost to express disgust at the  motion & call for urgent action in the wake of this.",2023-10-30
"In a shift from previous years, state violence against civilians was concentrated in #Myanmar's heartland in 2021, with the highest levels of violence against civilians reported in the Sagaing, Mandalay, Yangon, and Magway regions https://bit.ly/3Ie4mxg",2022-02-23
"More than  million people are displaced across #Myanmar due to conflict followed by illegal military coup and their violence against civilians. 

Myanmar people need your help urgently!

Directly support aid in cooperation with @NUGMyanmar and ethnic stakeholders as most",2024-10-13
"TTP's reign of terror is an affront to humanity. Their brutality knows no bounds as they target innocent civilians, disregarding the sanctity of life. In September 2023 alone, 136 civilians lost their lives and 144 were injured in 65 attacks.",2023-10-13
"Senior junta officials have attended more than 500 of the regional bloc’s meetings in the three years since they were ostensibly excluded for ignoring calls to end violence against civilians

Read more: https://myanmar-now.org/en/news/despite-ban-regime-officials-continue-to-represent-myanmar-at-asean-meetings/…

Sign up to our newsletter: https://myanmar-now.org/en/newsletter/",2024-10-11
"Retired Colonel Hunny Bakshi highlights the severe impact of #drugs and narcoterrorism in #Manipur , particularly in #CCPUR district, which has become synonymous with #AIDS due to drug abuse. He warns that drug money fuels arms trafficking, leading to violence against civilians.",2024-10-12
"Insights into our latest publication

Since the return of #Myanmar’s Junta in a coup in 2021, the military and resistance forces have been in conflict. Since October 2023, #violence against #civilians and civilian infrastructure has escalated, with serious allegations the",2024-10-16
"#WarOnAmhara
#AmharaGenocide
#WarOnAmhara
#AbiyIsAcriminal
#AmharaStruggle
The international community must act to end the ongoing violence against Amhara civilians. Accountability for the crimes committed by the Abiy's government is long overdue.   @UNHumanRights @amnesty @hrw",2024-10-16
"Pakistan has shifted from supporting terrorist groups to becoming a terrorist state itself. Instead of relying on proxies, it is now directly targeting civilians. This alarming shift reveals Pakistan’s open use of violence and terror against innocent people, further destabilizing",2024-10-09
The Ethiopian government must take a firm stand against terrorism in all its forms. Fano’s violence against innocent civilians must stop NOW! #WarOnAmhara #JusticeForAmhara,2024-10-17
"In The Intercept, @JudithLevine declares:

""One thing is true: Hamas and other Palestinian militants committed unspeakable sexual violence against Israeli civilians on October 7."" She adds that ""some individuals and extreme-left organizations have denied these atrocities or",2023-12-26
"""The Ethiopian government must take a firm stand against terrorism in all its forms. Fano’s violence against innocent civilians must stop NOW! #WarOnAmhara #JusticeForAmhara""",2024-10-17
"The number of civilians killed in armed conflict increased by 72% last year.

An alarming lack of compliance with international humanitarian law is ramping up danger for civilians across multiple conflict areas, Security Council hears.

https://news.un.org/en/story/2024/05/1150051…",2024-05-21
"According to latest updates from @aapp_burma, at least 1499 innocent civilians had been killed and 11801 had been arrested by SAC Terrorist Group. Stop being an accomplice of Genocide by selling arms to Junta. UNSC and International Community must enforce #GlobalArmsEmbargo.",2022-01-29
"The recent killing of 11 civilians in Oting village in Nagaland is a new low in the brutality of Armed Forces. SIO stands in solidarity with the families in these calamitous times and demands immediate action against the guilty, including prosecution under criminal law. (1/2)",2021-12-05
" Urgent: Sharing a video of an injured young protester from the PTM Grand Jirga. The Pakistan government is using unprovoked violence against innocent civilians whose only demands are peace, security, and the rights to dignity and freedom. This crackdown is unacceptable and",2024-10-09
"In Odesa, people in black uniforms very similar to the police beat a civilian.",2024-06-15
"Beaten to death outside of a convenience store..

Endless bloodthirsty violence from the same suspects.

Notice the headstomping thing again? Even after he was already knocked out. 0 regard whatsoever for human life.

It's not a fight to them, it's attempted murder everytime.",2024-03-12
"The Club and our footballing family is shocked and saddened by the escalating crisis in Israel and Gaza, and strongly condemns the horrific and brutal acts of violence against innocent civilians.

Our heartfelt sympathies are with the victims, their families and the communities",2023-10-12
"I am not religious. So fair warning, if you believe violence against civilians is justified because of your religion which is skewed by your politics, stop reading this fucking post.

What is going on in #Israel is, and has been wrong for generations. Israelis kill Palestinian",2023-10-07
"T3rrorism
￼
noun:

‘The unlawful use of violence and intimidation, especially against civilians, in the pursuit of political aims’",2024-10-14
"1/ On Oct. 7, 2023, Hamas unleashed unspeakable violence against Israeli civilians, killing over 1,000. Yet, Jehad Abusalim, a Gaza-born academic, framed this massacre as an ""understandable"" act—without even condemning the brutality.",2024-10-10
"The 2020–2022 Tigray War in Ethiopia was a humanitarian catastrophe which upended the lives of millions through violence, forced displacement, and famine.
#Justice4TigrayGenocide
@UN @UNGeneva @eu_eeas @UNOSAPG @hrw @StateDept @HouseGOP @selu_su2",2024-10-11
